order_id,region,category,order_amount,paid_amount,status,order_date,customer_id,product_id
10001,华南,企业服务,64841.17,58785.1,已支付,2026-08-05,118,104
10002,华南,数据产品,39544.13,39495.34,已支付,2026-08-18,130,101
10003,华北,智能硬件,74848.92,73556.05,已支付,2026-08-15,119,107
10004,华北,数据产品,78036.38,71812.93,已支付,2026-08-05,115,103
10005,华南,智能硬件,50421.93,50372.24,已支付,2026-08-13,118,107
10006,华东,智能硬件,150952.44,142696.06,已支付,2026-08-26,101,109
10007,华东,数据产品,88385.45,79424.78,已支付,2026-08-22,129,102
10008,西南,智能硬件,51213.47,44373.56,已支付,2026-08-06,104,108
10009,华南,智能硬件,10147.64,0,已取消,2026-08-23,106,107
10010,华北,安全服务,33414.42,29964.36,已支付,2026-08-11,123,112
10011,华南,安全服务,46278.07,43944.61,已支付,2026-08-27,110,110
10012,华东,智能硬件,91638.45,79238.19,已支付,2026-08-03,109,107
10013,华东,企业服务,32291.2,0,已取消,2026-08-04,129,104
10014,西南,企业服务,73929.67,63843.47,已支付,2026-08-29,128,106
10015,西南,安全服务,85220.82,79263.11,已支付,2026-08-16,112,110
10016,西南,安全服务,206018.9,201991.39,已支付,2026-08-15,112,112
10017,华北,安全服务,86235.5,84030.76,已支付,2026-08-01,123,111
10018,华北,安全服务,67701.71,60664.05,已支付,2026-08-17,107,111
10019,华南,智能硬件,74564.45,70766.35,已支付,2026-08-31,102,108
10020,华东,企业服务,43657.11,38740.11,已支付,2026-08-21,105,105
10021,华东,安全服务,19420.53,17093.24,已支付,2026-08-24,101,112
10022,华北,数据产品,201255.03,197344.02,已支付,2026-08-18,127,102
10023,华北,智能硬件,51070.97,0,已取消,2026-08-30,115,107
10024,西南,数据产品,198472.87,186434.89,已支付,2026-08-30,116,102
10025,华北,数据产品,90659.17,88340.51,已支付,2026-08-26,115,103
10026,西南,数据产品,94507.38,91176.42,已支付,2026-08-10,112,101
10027,华东,企业服务,84319.76,82774.56,已支付,2026-08-04,129,106
10028,华南,安全服务,27685.95,24855.48,已支付,2026-08-18,110,111
10029,华南,数据产品,166465.32,0,已取消,2026-08-02,110,101
10030,华东,安全服务,203417.17,195042.32,已支付,2026-08-12,101,111
10031,华南,智能硬件,38159.48,35637.19,已支付,2026-08-13,106,107
10032,西南,安全服务,61849.76,56444.82,已支付,2026-08-29,128,111
10033,华东,智能硬件,54977.38,0,已取消,2026-08-04,117,107
10034,华南,数据产品,104437.05,101659.19,已支付,2026-08-07,118,103
10035,华南,智能硬件,77299.93,0,已退款,2026-08-09,114,108
10036,西南,企业服务,90951.63,82316.06,已支付,2026-08-24,104,105
10037,华东,智能硬件,73752.2,69683.2,已支付,2026-08-07,101,109
10038,西南,智能硬件,191650.96,180326.56,已支付,2026-08-17,112,109
10039,华南,数据产品,56763.59,48896.02,已支付,2026-08-04,118,102
10040,华东,安全服务,173090.13,149766.8,已支付,2026-08-17,101,112
10041,西南,企业服务,90452.77,78850.86,已支付,2026-08-03,104,104
10042,华东,智能硬件,131354.82,126785.41,已支付,2026-08-25,125,107
10043,华北,智能硬件,186726.26,179680.31,已支付,2026-08-01,127,109
10044,华东,智能硬件,55373.41,49508.44,已支付,2026-08-21,117,108
10045,华北,智能硬件,111281.98,101799.64,已支付,2026-08-20,111,108
10046,西南,智能硬件,136123.37,122611.18,已支付,2026-08-20,128,107
10047,华南,数据产品,59126.62,52893.05,已支付,2026-08-05,102,103
10048,华东,企业服务,93769.19,82767.4,已支付,2026-08-24,125,106
10049,华南,企业服务,102842.38,92986.98,已支付,2026-08-31,126,104
10050,华北,企业服务,28508.71,26870.05,已支付,2026-08-23,107,105
10051,华南,数据产品,73843.82,72328.94,已支付,2026-08-22,106,101
10052,华南,企业服务,36239.36,33686.52,已支付,2026-08-18,106,106
10053,华北,智能硬件,78503.81,76160.92,已支付,2026-08-02,111,107
10054,华北,企业服务,215509.47,187867.43,已支付,2026-08-03,127,104
10055,华北,数据产品,42851.28,41776.72,已支付,2026-08-21,111,102
10056,西南,企业服务,90889.39,87730.57,已支付,2026-08-24,124,105
10057,西南,智能硬件,23404.12,21008.48,已支付,2026-08-30,124,108
10058,华东,安全服务,13540.61,0,已退款,2026-08-07,129,111
10059,华东,企业服务,32682.8,31628.45,已支付,2026-08-25,125,104
10060,华南,安全服务,80082.17,75663.24,已支付,2026-08-17,118,111
10061,华东,安全服务,81632.29,75810.49,已支付,2026-08-14,109,110
10062,华南,企业服务,149691.32,0,已退款,2026-08-06,118,105
10063,华南,智能硬件,76664.82,65951.29,已支付,2026-08-15,122,109
10064,华南,企业服务,47713.16,45445.32,已支付,2026-08-16,130,104
10065,华北,智能硬件,44102.79,40481.72,已支付,2026-08-30,119,108
10066,华南,智能硬件,31320.87,27518.4,已支付,2026-08-08,130,107
10067,华南,企业服务,8193.6,7808.04,已支付,2026-08-30,122,104
10068,华北,安全服务,82140.57,74980.39,已支付,2026-08-11,107,112
10069,华南,安全服务,80352.95,75351.99,已支付,2026-08-19,118,111
10070,华南,企业服务,51828.62,0,已退款,2026-08-14,106,106
10071,华东,智能硬件,47701.09,44577.33,已支付,2026-08-29,117,108
10072,华北,安全服务,27913.13,27144.79,已支付,2026-08-09,123,110
10073,华南,安全服务,32498.38,28573.66,已支付,2026-08-11,114,110
10074,华南,企业服务,75115.81,69499.54,已支付,2026-08-07,106,104
10075,华南,智能硬件,9398.63,8177.1,已支付,2026-08-18,114,108
10076,华东,企业服务,86636.81,81786.98,已支付,2026-08-30,129,106
10077,西南,智能硬件,150088.37,0,已退款,2026-08-30,116,108
10078,西南,数据产品,86887.3,75275.87,已支付,2026-08-17,120,103
10079,西南,企业服务,160261.0,159282.02,已支付,2026-08-25,112,106
10080,华东,智能硬件,305447.03,0,已取消,2026-08-21,129,107
10081,西南,数据产品,78907.45,0,已退款,2026-08-05,112,101
10082,西南,企业服务,140830.16,139443.84,已支付,2026-08-14,128,106
10083,华东,企业服务,36919.68,36155.28,已支付,2026-08-11,129,104
10084,华东,企业服务,95284.03,88463.78,已支付,2026-08-24,121,104
10085,华北,智能硬件,52505.25,50318.31,已支付,2026-08-30,107,109
10086,华北,企业服务,33512.47,31770.61,已支付,2026-08-05,103,106
10087,华北,智能硬件,70979.69,62169.95,已支付,2026-08-23,115,107
10088,华东,智能硬件,140482.63,127417.77,已支付,2026-08-15,125,108
10089,西南,数据产品,109114.94,93850.07,已支付,2026-08-02,120,103
10090,华北,安全服务,103554.15,0,已退款,2026-08-18,103,111
10091,华南,安全服务,66819.72,65517.9,已支付,2026-08-18,102,111
10092,西南,数据产品,156102.87,138445.78,已支付,2026-08-05,112,103
10093,西南,智能硬件,140224.19,138793.41,已支付,2026-08-16,116,109
10094,华南,数据产品,99286.17,90467.33,已支付,2026-08-03,118,101
10095,华南,智能硬件,213805.84,209975.2,已支付,2026-08-13,110,107
10096,华南,安全服务,95267.47,0,已取消,2026-08-01,130,110
10097,华东,企业服务,138912.54,129447.2,已支付,2026-08-06,113,106
10098,华南,企业服务,16273.92,15862.05,已支付,2026-08-04,106,106
