order_id,region,category,order_amount,paid_amount,status,order_date,customer_id,product_id
20001,华东,企业服务,68434.11,67619.61,已支付,2026-06-15,125,106
20002,华北,企业服务,8877.24,8409.4,已支付,2026-06-14,123,106
20003,华南,智能硬件,45539.98,44810.77,已支付,2026-06-14,130,108
20004,华东,企业服务,30957.32,0,已退款,2026-06-24,125,104
20005,西南,企业服务,104057.69,101622.18,已支付,2026-07-07,116,104
20006,西南,安全服务,153214.6,153152.04,已支付,2026-06-30,128,110
20007,华南,安全服务,57921.71,57435.52,已支付,2026-06-20,130,112
20008,华东,数据产品,16858.54,16431.74,已支付,2026-06-22,125,103
20009,华东,企业服务,45416.81,39835.38,已支付,2026-07-14,121,105
20010,华北,企业服务,22939.89,19879.98,已支付,2026-07-28,123,105
20011,华东,数据产品,94005.05,93242.7,已支付,2026-06-06,101,102
20012,华东,企业服务,83324.96,79595.03,已支付,2026-06-29,129,106
20013,华北,数据产品,98859.44,98554.08,已支付,2026-06-26,127,101
20014,华北,智能硬件,49573.38,44437.67,已支付,2026-06-08,123,108
20015,华北,智能硬件,86400.8,85498.57,已支付,2026-06-11,119,109
20016,西南,安全服务,38659.64,36875.51,已支付,2026-07-17,124,112
20017,华南,智能硬件,25605.87,25442.52,已支付,2026-07-28,110,107
20018,西南,智能硬件,207147.88,191404.72,已支付,2026-06-19,120,107
20019,华南,智能硬件,52996.35,52426.97,已支付,2026-06-21,102,107
20020,华南,安全服务,38827.74,38742.64,已支付,2026-07-14,118,111
20021,华南,安全服务,94368.7,92306.83,已支付,2026-07-20,114,110
20022,西南,企业服务,215758.48,211132.84,已支付,2026-06-27,128,105
20023,华东,数据产品,92642.49,90968.74,已支付,2026-06-29,109,101
20024,华南,安全服务,45375.28,44394.73,已支付,2026-07-09,106,112
20025,西南,数据产品,8787.31,8657.51,已支付,2026-07-21,108,103
20026,华南,企业服务,20309.54,19889.14,已支付,2026-06-08,122,104
20027,华东,企业服务,195840.62,189808.56,已支付,2026-06-02,113,105
20028,华北,智能硬件,31482.43,27344.03,已支付,2026-06-17,103,109
20029,华东,企业服务,95825.16,90385.64,已支付,2026-07-25,117,104
20030,西南,企业服务,102584.81,90454.12,已支付,2026-06-01,104,106
20031,华北,安全服务,18741.93,18579.74,已支付,2026-07-02,111,110
20032,华南,智能硬件,58901.29,55258.38,已支付,2026-06-27,130,108
20033,西南,智能硬件,200197.77,182984.06,已支付,2026-06-26,128,107
20034,华东,智能硬件,46625.23,45236.92,已支付,2026-06-17,121,109
20035,华南,智能硬件,72706.29,68042.17,已支付,2026-07-07,114,108
20036,华北,企业服务,200429.91,0,已取消,2026-06-10,127,105
20037,华东,安全服务,76899.08,71442.56,已支付,2026-06-24,117,111
20038,华东,企业服务,118765.25,112409.57,已支付,2026-06-26,125,105
20039,西南,安全服务,88110.39,86730.26,已支付,2026-07-13,112,111
20040,华东,安全服务,21012.27,0,已取消,2026-07-23,125,111
20041,华北,数据产品,183108.54,165398.55,已支付,2026-07-06,127,102
20042,华北,数据产品,115457.73,101745.24,已支付,2026-07-06,127,102
20043,华东,安全服务,204420.1,195867.52,已支付,2026-06-01,113,110
20044,华北,安全服务,181605.73,0,已退款,2026-07-17,111,111
20045,西南,智能硬件,86050.94,0,已退款,2026-06-15,128,109
20046,西南,智能硬件,54657.85,48074.29,已支付,2026-06-23,108,107
20047,华北,数据产品,140137.34,0,已取消,2026-07-10,111,102
20048,华南,数据产品,18783.92,18487.91,已支付,2026-07-21,122,102
20049,华东,企业服务,13453.88,12583.67,已支付,2026-06-23,105,106
20050,西南,数据产品,25842.22,22959.72,已支付,2026-06-06,120,101
20051,西南,数据产品,177588.21,153910.55,已支付,2026-07-15,116,103
20052,华北,安全服务,169002.68,154444.79,已支付,2026-06-15,111,110
20053,华北,数据产品,166144.91,149916.24,已支付,2026-07-25,111,101
20054,华南,数据产品,79779.71,0,已退款,2026-06-23,126,101
20055,华南,数据产品,81374.22,77257.36,已支付,2026-07-10,114,102
20056,华南,智能硬件,47836.16,0,已取消,2026-07-24,130,109
20057,华北,企业服务,75642.51,74005.65,已支付,2026-06-10,123,106
20058,华东,智能硬件,134300.33,122230.79,已支付,2026-07-31,113,108
20059,西南,数据产品,168512.77,152062.97,已支付,2026-06-28,116,103
20060,华北,企业服务,18768.76,17330.25,已支付,2026-06-20,123,106
20061,华东,智能硬件,95800.07,93245.33,已支付,2026-07-14,121,109
20062,西南,数据产品,142460.29,135334.95,已支付,2026-06-11,112,103
20063,西南,数据产品,6584.02,5723.23,已支付,2026-07-11,124,101
20064,华东,安全服务,37618.35,36425.17,已支付,2026-07-05,117,110
20065,西南,企业服务,197788.87,184281.67,已支付,2026-06-27,116,105
20066,华东,安全服务,66104.97,59782.57,已支付,2026-06-17,113,111
20067,西南,企业服务,177443.05,172929.76,已支付,2026-07-25,128,106
20068,华南,安全服务,25781.57,24021.03,已支付,2026-07-01,122,112
20069,华南,数据产品,28605.98,24649.06,已支付,2026-06-02,102,101
20070,华南,数据产品,88675.48,86153.22,已支付,2026-06-03,122,103
20071,华南,企业服务,83371.46,80329.19,已支付,2026-07-23,126,106
20072,西南,企业服务,194996.06,173122.96,已支付,2026-07-01,112,105
20073,华北,安全服务,18668.81,17458.58,已支付,2026-06-06,119,110
20074,西南,数据产品,184704.92,165695.58,已支付,2026-07-23,120,102
20075,华南,企业服务,55407.55,48337.13,已支付,2026-06-17,106,105
20076,华南,智能硬件,23120.07,19902.94,已支付,2026-06-19,106,109
20077,华北,企业服务,123573.51,120372.87,已支付,2026-07-28,103,106
20078,华东,智能硬件,53030.4,51946.57,已支付,2026-07-23,109,107
20079,华东,数据产品,72675.26,68130.31,已支付,2026-06-01,117,101
20080,华南,数据产品,69560.22,0,已退款,2026-07-24,126,103
20081,华东,企业服务,111804.13,0,已退款,2026-07-09,117,106
20082,西南,企业服务,94307.55,0,已退款,2026-06-03,128,106
20083,华北,安全服务,38488.52,0,已退款,2026-06-07,115,111
20084,华南,安全服务,95071.08,89385.9,已支付,2026-07-11,122,110
20085,华北,数据产品,76081.78,70636.79,已支付,2026-06-15,107,101
20086,西南,企业服务,196504.32,188085.17,已支付,2026-07-03,128,105
20087,西南,智能硬件,94090.26,92631.29,已支付,2026-07-05,104,109
20088,华北,智能硬件,59128.12,58308.84,已支付,2026-07-19,103,109
20089,西南,安全服务,183003.0,0,已取消,2026-07-20,112,110
20090,华北,安全服务,12419.23,0,已退款,2026-07-15,115,112
20091,华北,数据产品,131556.55,117342.97,已支付,2026-06-22,103,102
20092,华南,智能硬件,108502.77,101140.44,已支付,2026-06-26,118,109
20093,华南,企业服务,57447.02,56057.47,已支付,2026-07-14,118,105
20094,华南,智能硬件,39065.07,37588.47,已支付,2026-06-09,114,107
20095,华南,企业服务,22912.5,20961.56,已支付,2026-06-10,118,105
20096,华东,智能硬件,118255.47,110064.05,已支付,2026-07-20,117,107
20097,华南,数据产品,47895.9,41948.74,已支付,2026-06-24,102,103
20098,华东,智能硬件,209663.22,0,已取消,2026-06-24,101,108
20099,华北,数据产品,68865.36,66425.69,已支付,2026-06-12,123,103
20100,华北,企业服务,33403.78,31453.72,已支付,2026-06-07,127,105
20101,华北,企业服务,114823.76,108070.55,已支付,2026-07-12,103,105
20102,华北,企业服务,65821.79,0,已取消,2026-07-29,123,105
20103,华南,安全服务,39308.67,36616.26,已支付,2026-07-15,122,111
20104,华北,智能硬件,38922.95,37425.27,已支付,2026-06-23,111,108
20105,西南,企业服务,36061.94,33632.27,已支付,2026-06-14,128,106
20106,西南,智能硬件,115159.42,99600.69,已支付,2026-06-03,128,107
20107,华东,企业服务,52090.86,50929.59,已支付,2026-07-31,125,105
20108,华北,安全服务,113264.78,109913.7,已支付,2026-07-10,127,112
20109,华南,企业服务,19214.83,17436.11,已支付,2026-06-30,106,104
20110,华东,企业服务,11496.8,10483.79,已支付,2026-07-20,121,104
20111,西南,智能硬件,173424.19,158860.17,已支付,2026-06-04,120,109
20112,华北,智能硬件,53130.72,47425.13,已支付,2026-06-13,127,109
20113,华南,数据产品,130097.55,129191.79,已支付,2026-07-12,126,103
20114,华东,数据产品,75497.71,68614.07,已支付,2026-06-08,129,103
20115,西南,智能硬件,163333.31,148468.77,已支付,2026-07-30,120,107
20116,西南,安全服务,58876.17,51023.51,已支付,2026-06-10,116,110
20117,华东,企业服务,30069.65,28886.18,已支付,2026-07-01,117,106
20118,华南,智能硬件,84455.86,74146.5,已支付,2026-07-28,126,108
20119,华南,安全服务,23363.95,22126.18,已支付,2026-06-04,130,111
20120,华东,数据产品,83366.98,75976.52,已支付,2026-06-28,129,101
20121,华东,企业服务,36067.05,35268.5,已支付,2026-07-03,109,105
20122,华南,智能硬件,52412.78,51320.28,已支付,2026-06-08,126,107
20123,西南,数据产品,169012.8,156649.43,已支付,2026-07-25,120,103
20124,华南,企业服务,60646.95,58869.77,已支付,2026-07-17,102,104
20125,华北,智能硬件,133453.4,120246.55,已支付,2026-06-27,111,109
20126,西南,智能硬件,34730.72,30624.87,已支付,2026-06-03,120,109
20127,西南,安全服务,70669.69,63605.2,已支付,2026-07-11,124,111
20128,华东,安全服务,122152.74,110876.59,已支付,2026-07-14,113,112
20129,西南,智能硬件,29066.18,28354.43,已支付,2026-06-27,116,108
20130,华南,安全服务,27228.95,25052.61,已支付,2026-06-23,122,110
20131,华北,企业服务,213095.47,183774.92,已支付,2026-07-15,127,106
20132,西南,智能硬件,34596.23,33397.8,已支付,2026-07-14,108,109
20133,华南,智能硬件,9921.71,0,已取消,2026-07-02,114,109
20134,华南,智能硬件,142700.85,123434.76,已支付,2026-06-20,126,108
20135,华北,智能硬件,47877.49,42046.21,已支付,2026-07-07,107,107
20136,华南,安全服务,12009.32,10920.27,已支付,2026-06-16,102,112
20137,华北,智能硬件,85760.8,80092.1,已支付,2026-07-14,107,109
20138,华南,智能硬件,44652.08,42550.32,已支付,2026-06-02,118,109
20139,华北,数据产品,74992.98,71058.58,已支付,2026-06-21,115,103
20140,西南,智能硬件,86683.11,76402.39,已支付,2026-06-18,116,108
20141,华南,安全服务,63390.38,55361.11,已支付,2026-07-31,102,112
20142,华北,安全服务,139404.29,131406.35,已支付,2026-06-10,111,112
20143,西南,智能硬件,47356.43,46475.66,已支付,2026-06-01,104,109
20144,西南,智能硬件,116550.25,115965.6,已支付,2026-06-29,112,108
20145,华北,智能硬件,198447.82,175495.35,已支付,2026-07-05,127,109
20146,华东,数据产品,12921.42,12554.08,已支付,2026-06-15,105,103
20147,西南,安全服务,138782.14,128386.98,已支付,2026-07-14,104,112
