ad_campaign_id,ad_campaign_name,store_id,channel_id,billing_mode,budget,start_date,end_date,status
AD00001,臻品036店投放001,S0036,CH02,ocpc,134304.91,2025-06-08,2025-07-20,finished
AD00002,星选069店投放002,S0069,CH02,cpc,139001.83,2025-06-16,2025-07-08,finished
AD00003,星选069店投放003,S0069,CH06,ocpc,145968.26,2025-08-23,2025-10-05,finished
AD00004,优品005店投放004,S0005,CH10,cpc,20465.78,2026-05-13,2026-06-27,finished
AD00005,悦享053店投放005,S0053,CH04,cpm,159047.67,2025-11-26,2026-02-20,finished
AD00006,新尚029店投放006,S0029,CH02,cpm,106047.59,2025-01-31,2025-04-11,finished
AD00007,臻品013店投放007,S0013,CH04,cpc,160163.04,2026-07-22,2026-08-22,active
AD00008,臻品061店投放008,S0061,CH02,cpc,170963.82,2026-08-21,2026-08-22,active
AD00009,优品048店投放009,S0048,CH03,cpm,27201.88,2026-05-26,2026-07-24,finished
AD00010,悦享053店投放010,S0053,CH08,ocpc,74347.46,2026-07-16,2026-08-22,active
AD00011,优品066店投放011,S0066,CH04,cpc,64700.54,2025-05-27,2025-06-19,finished
AD00012,优品078店投放012,S0078,CH09,cpc,127432.15,2026-06-21,2026-08-22,active
AD00013,臻品018店投放013,S0018,CH03,ocpc,109699.46,2026-02-19,2026-04-22,finished
AD00014,悦享011店投放014,S0011,CH08,ocpc,42686.05,2026-07-03,2026-07-15,finished
AD00015,星选069店投放015,S0069,CH09,ocpc,98481.27,2026-06-05,2026-07-24,finished
AD00016,乐购020店投放016,S0020,CH02,ocpc,91648.05,2025-01-04,2025-04-04,finished
AD00017,乐购027店投放017,S0027,CH08,ocpc,127172.71,2025-03-20,2025-05-19,finished
AD00018,臻品013店投放018,S0013,CH08,ocpc,166369.04,2026-05-03,2026-05-28,finished
AD00019,新尚050店投放019,S0050,CH05,cpc,8468.94,2025-07-29,2025-08-21,finished
AD00020,新尚024店投放020,S0024,CH06,ocpc,16543.72,2026-03-22,2026-06-12,finished
AD00021,星选051店投放021,S0051,CH03,ocpc,132460.86,2025-09-04,2025-10-03,finished
AD00022,乐购035店投放022,S0035,CH07,cpc,36289.63,2026-04-18,2026-06-16,finished
AD00023,乐购009店投放023,S0009,CH06,cpc,65555.24,2025-04-05,2025-06-16,finished
AD00024,新尚050店投放024,S0050,CH08,cpc,67915.93,2026-06-20,2026-08-07,finished
AD00025,乐购064店投放025,S0064,CH03,ocpc,115001.94,2025-01-14,2025-02-11,finished
AD00026,悦享045店投放026,S0045,CH04,ocpc,119632.62,2026-02-03,2026-03-29,finished
AD00027,优品037店投放027,S0037,CH09,cpc,95397.17,2025-11-12,2025-12-22,finished
AD00028,星选069店投放028,S0069,CH07,cpm,51440.68,2025-04-25,2025-07-02,finished
AD00029,新尚017店投放029,S0017,CH02,ocpc,172189.3,2025-10-10,2025-12-13,finished
AD00030,臻品032店投放030,S0032,CH09,ocpc,46579.95,2025-02-20,2025-04-09,finished
AD00031,臻品013店投放031,S0013,CH07,cpc,130108.44,2025-04-06,2025-06-03,finished
AD00032,优品078店投放032,S0078,CH06,cpm,58312.46,2026-08-13,2026-08-22,active
AD00033,悦享011店投放033,S0011,CH09,ocpc,32082.36,2026-02-11,2026-02-22,finished
AD00034,新尚001店投放034,S0001,CH05,ocpc,93538.13,2025-04-20,2025-07-02,finished
AD00035,星选049店投放035,S0049,CH08,cpc,82928.37,2026-01-21,2026-02-23,finished
AD00036,新尚046店投放036,S0046,CH03,ocpc,169000.74,2025-02-21,2025-04-01,finished
AD00037,乐购064店投放037,S0064,CH04,ocpc,159760.12,2026-05-01,2026-07-30,finished
AD00038,乐购059店投放038,S0059,CH08,cpc,15776.36,2026-03-25,2026-05-10,finished
AD00039,新尚024店投放039,S0024,CH03,cpm,63786.56,2026-06-02,2026-06-13,finished
AD00040,星选049店投放040,S0049,CH02,ocpc,88593.31,2025-09-22,2025-11-13,finished
AD00041,星选038店投放041,S0038,CH05,cpm,122988.94,2025-08-07,2025-08-18,finished
AD00042,新尚007店投放042,S0007,CH05,cpm,111432.03,2026-03-13,2026-05-08,finished
AD00043,乐购054店投放043,S0054,CH09,cpm,84761.2,2025-01-30,2025-04-28,finished
AD00044,乐购014店投放044,S0014,CH07,ocpc,27382.57,2026-01-16,2026-03-24,finished
AD00045,星选071店投放045,S0071,CH06,ocpc,79497.52,2026-01-04,2026-01-17,finished
AD00046,臻品025店投放046,S0025,CH02,cpc,129583.09,2025-06-23,2025-08-28,finished
AD00047,悦享045店投放047,S0045,CH03,cpm,153628.03,2025-02-23,2025-03-17,finished
AD00048,优品074店投放048,S0074,CH03,cpc,43138.88,2025-08-19,2025-10-26,finished
AD00049,乐购020店投放049,S0020,CH08,cpm,18443.9,2026-01-29,2026-03-06,finished
AD00050,悦享031店投放050,S0031,CH04,cpc,172759.26,2025-03-19,2025-05-04,finished
AD00051,星选056店投放051,S0056,CH07,cpc,149311.94,2025-03-23,2025-04-07,finished
AD00052,臻品076店投放052,S0076,CH05,cpc,134012.17,2025-10-13,2025-11-06,finished
AD00053,优品047店投放053,S0047,CH09,ocpc,6980.61,2026-01-17,2026-02-08,finished
AD00054,悦享033店投放054,S0033,CH06,cpm,89478.37,2025-07-03,2025-09-06,finished
AD00055,星选057店投放055,S0057,CH08,cpc,131861.69,2025-05-23,2025-06-19,finished
AD00056,悦享011店投放056,S0011,CH08,cpc,152267.62,2026-07-27,2026-08-10,finished
AD00057,星选039店投放057,S0039,CH04,cpc,55736.41,2025-01-09,2025-02-03,finished
AD00058,优品043店投放058,S0043,CH07,ocpc,66507.42,2025-06-24,2025-07-12,finished
AD00059,悦享062店投放059,S0062,CH04,cpc,128413.76,2026-04-25,2026-06-28,finished
AD00060,臻品030店投放060,S0030,CH05,cpc,72763.21,2025-04-28,2025-05-15,finished
AD00061,臻品042店投放061,S0042,CH04,ocpc,14588.15,2026-04-14,2026-06-17,finished
AD00062,星选004店投放062,S0004,CH08,cpm,8217.47,2026-03-15,2026-04-08,finished
AD00063,悦享045店投放063,S0045,CH05,cpc,164295.61,2025-06-23,2025-07-09,finished
AD00064,乐购020店投放064,S0020,CH04,cpc,145301.68,2025-03-06,2025-06-04,finished
AD00065,悦享062店投放065,S0062,CH02,ocpc,152416.68,2026-02-02,2026-03-24,finished
AD00066,臻品076店投放066,S0076,CH08,cpc,71962.97,2026-02-12,2026-02-28,finished
AD00067,臻品041店投放067,S0041,CH03,cpc,136799.41,2025-07-14,2025-09-04,finished
AD00068,新尚029店投放068,S0029,CH10,cpm,85937.83,2026-07-08,2026-08-07,finished
AD00069,乐购010店投放069,S0010,CH06,ocpc,116068.32,2025-08-04,2025-10-04,finished
AD00070,悦享073店投放070,S0073,CH03,ocpc,128579.98,2026-05-30,2026-07-11,finished
AD00071,星选051店投放071,S0051,CH10,ocpc,105017.63,2026-06-23,2026-08-16,finished
