ad_stat_id,ad_campaign_id,stat_date,impressions,clicks,conversions,ad_cost,attributed_revenue,roi
ADS00000001,AD00001,2025-06-11,52099,761,30,2765.04,18934.34,6.8478
ADS00000002,AD00002,2025-07-02,83923,2205,243,1516.52,109885.39,72.4589
ADS00000003,AD00003,2025-09-18,72709,5564,105,17086.65,11468.47,0.6712
ADS00000004,AD00004,2026-06-24,48973,1842,202,7220.75,127489.07,17.6559
ADS00000005,AD00005,2026-01-25,29495,467,28,1451.73,4637.1,3.1942
ADS00000006,AD00006,2025-02-02,161192,10850,1605,24326.61,921214.9,37.8686
ADS00000007,AD00007,2026-07-26,154410,7931,451,9286.73,291097.35,31.3455
ADS00000008,AD00008,2026-08-22,12699,316,31,1347.8,16925.33,12.5577
ADS00000009,AD00009,2026-07-04,35842,1943,225,5470.29,140139.25,25.6182
ADS00000010,AD00010,2026-08-16,34741,319,13,442.44,6440.75,14.5573
ADS00000011,AD00011,2025-06-17,102322,6508,793,26521.97,243917.08,9.1968
ADS00000012,AD00012,2026-08-20,127054,1929,74,9192.69,6639.94,0.7223
ADS00000013,AD00013,2026-04-14,47130,2662,225,5379.94,62528.96,11.6226
ADS00000014,AD00014,2026-07-03,174234,1803,214,2667.07,117633.56,44.1059
ADS00000015,AD00015,2026-06-17,99104,7762,737,32298.39,428614.0,13.2704
ADS00000016,AD00016,2025-03-08,112476,1827,158,5663.52,79027.62,13.9538
ADS00000017,AD00017,2025-03-30,156730,2673,52,11839.81,12270.48,1.0364
ADS00000018,AD00018,2026-05-11,108321,3301,338,10692.16,136646.09,12.78
ADS00000019,AD00019,2025-08-21,149191,2376,148,1060.46,73641.24,69.4427
ADS00000020,AD00020,2026-06-01,71439,3692,167,6969.38,23998.62,3.4434
ADS00000021,AD00021,2025-09-20,35430,289,28,458.4,9543.65,20.8195
ADS00000022,AD00022,2026-06-14,134243,3200,71,3906.57,4997.33,1.2792
ADS00000023,AD00023,2025-04-18,141792,7007,1003,3877.19,226734.5,58.4791
ADS00000024,AD00024,2026-07-24,166077,9749,155,4565.76,40963.46,8.9719
ADS00000025,AD00025,2025-01-31,114263,7434,664,17714.31,379153.89,21.4038
ADS00000026,AD00026,2026-02-24,81757,5553,576,4676.78,59557.72,12.7348
ADS00000027,AD00027,2025-11-18,144724,2212,176,4439.47,98781.9,22.2508
ADS00000028,AD00028,2025-06-16,174356,8096,861,6449.01,188276.09,29.1946
ADS00000029,AD00029,2025-12-02,39807,1325,118,2848.41,40717.4,14.2948
ADS00000030,AD00030,2025-03-29,52544,2205,174,4643.18,92863.07,19.9999
ADS00000031,AD00031,2025-05-23,51016,3316,72,10772.92,32326.4,3.0007
ADS00000032,AD00032,2026-08-16,170080,8625,891,14913.16,375170.6,25.157
ADS00000033,AD00033,2026-02-12,45701,423,40,1365.05,10756.04,7.8796
ADS00000034,AD00034,2025-04-20,81328,5701,608,3186.29,140017.29,43.9437
ADS00000035,AD00035,2026-02-21,130038,8558,1023,28613.34,114110.68,3.988
ADS00000036,AD00036,2025-04-01,165191,4109,254,18677.98,73792.97,3.9508
ADS00000037,AD00037,2026-07-21,120605,5725,705,19937.18,404632.94,20.2954
ADS00000038,AD00038,2026-05-01,94242,6768,585,6533.23,78393.8,11.9992
ADS00000039,AD00039,2026-06-10,35043,736,24,657.64,16079.26,24.4499
ADS00000040,AD00040,2025-10-07,59249,4006,547,4574.32,177781.55,38.8651
ADS00000041,AD00041,2025-08-10,46743,2114,83,1283.54,7848.43,6.1147
ADS00000042,AD00042,2026-04-11,169165,4959,650,16065.77,352723.46,21.955
ADS00000043,AD00043,2025-04-24,87711,5462,175,1941.24,118288.39,60.9344
ADS00000044,AD00044,2026-01-30,45206,1967,256,8720.45,165470.39,18.975
ADS00000045,AD00045,2026-01-07,69678,984,142,741.85,30728.81,41.4219
ADS00000046,AD00046,2025-06-29,172503,10861,1256,11509.08,152009.7,13.2078
ADS00000047,AD00047,2025-03-17,30424,300,32,586.24,2467.33,4.2087
ADS00000048,AD00048,2025-08-26,159838,5421,284,4102.48,54942.87,13.3926
ADS00000049,AD00049,2026-02-26,156926,12255,882,58142.07,251981.39,4.3339
ADS00000050,AD00050,2025-04-21,68995,4170,204,12967.43,26642.24,2.0546
ADS00000051,AD00051,2025-04-01,13188,883,93,3258.9,50711.13,15.5608
ADS00000052,AD00052,2025-10-18,80609,3837,100,5630.78,9311.25,1.6536
ADS00000053,AD00053,2026-02-07,107243,6214,458,18462.95,71159.2,3.8542
ADS00000054,AD00054,2025-07-20,153268,10501,429,45260.08,63941.89,1.4128
ADS00000055,AD00055,2025-06-11,88196,6334,698,23990.7,331246.58,13.8073
ADS00000056,AD00056,2026-07-28,158377,12504,774,12184.99,127633.45,10.4746
