brand_id,brand_name,origin_type,enabled
B0001,云谷001,国内,1
B0002,轻享002,国内,1
B0003,星辰003,进口,1
B0004,元气004,国内,1
B0005,极光005,国内,1
B0006,悦己006,国内,1
B0007,智造007,国内,1
B0008,星辰008,国内,1
B0009,星辰009,进口,1
B0010,轻享010,国内,1
B0011,轻享011,国内,1
B0012,智造012,国内,1
B0013,元气013,国内,1
B0014,悦己014,进口,1
B0015,云谷015,进口,1
B0016,本色016,国内,1
B0017,青禾017,国内,1
B0018,星辰018,国内,1
B0019,本色019,国内,1
B0020,元气020,国内,1
B0021,本色021,国内,1
B0022,轻享022,国内,1
B0023,星辰023,国内,1
B0024,星辰024,国内,1
B0025,云谷025,国内,1
B0026,智造026,国内,1
B0027,智造027,国内,1
B0028,智造028,国内,1
B0029,悦己029,国内,1
B0030,极光030,国内,1
B0031,新境031,国内,1
B0032,轻享032,国内,1
B0033,新境033,国内,1
B0034,轻享034,国内,1
B0035,悦己035,国内,1
B0036,智造036,国内,1
B0037,悦己037,国内,1
B0038,悦己038,国内,1
B0039,青禾039,国内,1
B0040,轻享040,国内,1
B0041,新境041,国内,1
B0042,星辰042,国内,1
B0043,轻享043,国内,1
B0044,智造044,国内,1
B0045,新境045,国内,1
B0046,极光046,进口,1
B0047,新境047,国内,1
B0048,轻享048,国内,1
B0049,智造049,国内,1
B0050,极光050,进口,1
B0051,元气051,国内,1
B0052,极光052,国内,1
B0053,智造053,国内,1
B0054,智造054,进口,1
B0055,元气055,国内,1
B0056,悦己056,国内,1
B0057,极光057,国内,1
B0058,智造058,国内,1
B0059,智造059,国内,1
B0060,星辰060,国内,1
B0061,青禾061,进口,1
B0062,智造062,进口,1
B0063,轻享063,国内,1
B0064,智造064,国内,1
B0065,极光065,国内,1
B0066,青禾066,国内,1
B0067,本色067,国内,1
B0068,元气068,国内,1
B0069,元气069,国内,1
B0070,本色070,国内,1
B0071,极光071,国内,1
B0072,极光072,进口,1
B0073,新境073,国内,1
B0074,悦己074,国内,1
B0075,云谷075,国内,1
B0076,极光076,进口,1
B0077,星辰077,国内,1
B0078,新境078,国内,1
B0079,轻享079,进口,1
B0080,智造080,国内,1
B0081,悦己081,进口,1
B0082,元气082,国内,1
B0083,青禾083,国内,1
B0084,元气084,进口,1
B0085,新境085,国内,1
B0086,智造086,国内,1
B0087,星辰087,进口,1
B0088,新境088,国内,1
B0089,元气089,国内,1
B0090,本色090,国内,1
B0091,轻享091,国内,1
B0092,青禾092,国内,1
B0093,悦己093,国内,1
B0094,元气094,进口,1
B0095,元气095,国内,1
B0096,星辰096,国内,1
B0097,本色097,国内,1
B0098,云谷098,国内,1
B0099,悦己099,国内,1
B0100,极光100,进口,1
B0101,星辰101,国内,1
B0102,智造102,国内,1
B0103,星辰103,国内,1
B0104,青禾104,国内,1
B0105,本色105,国内,1
B0106,元气106,国内,1
B0107,星辰107,进口,1
B0108,元气108,国内,1
B0109,智造109,国内,1
B0110,本色110,进口,1
B0111,轻享111,国内,1
B0112,星辰112,进口,1
B0113,云谷113,国内,1
B0114,星辰114,国内,1
B0115,青禾115,国内,1
B0116,星辰116,国内,1
B0117,新境117,国内,1
B0118,本色118,国内,1
B0119,轻享119,国内,1
B0120,极光120,国内,1
B0121,极光121,国内,1
B0122,星辰122,国内,1
B0123,本色123,进口,1
B0124,云谷124,国内,1
B0125,悦己125,国内,1
B0126,悦己126,国内,1
B0127,智造127,国内,1
B0128,元气128,进口,1
B0129,本色129,国内,1
B0130,悦己130,进口,1
B0131,智造131,国内,1
B0132,新境132,国内,1
B0133,本色133,进口,1
B0134,新境134,进口,1
B0135,新境135,国内,1
B0136,极光136,国内,1
B0137,新境137,国内,1
B0138,青禾138,国内,1
B0139,极光139,国内,1
B0140,智造140,国内,1
B0141,云谷141,进口,1
B0142,新境142,进口,1
B0143,新境143,国内,1
B0144,悦己144,国内,1
B0145,云谷145,国内,1
B0146,云谷146,国内,1
B0147,本色147,国内,1
B0148,悦己148,国内,1
B0149,轻享149,国内,1
B0150,新境150,国内,1
