campaign_product_id,campaign_id,product_id,campaign_price,stock_limit,per_user_limit
MCP0000001,MC0009,P000002,254.93,707,1
MCP0000002,MC0088,P000824,832.86,167,4
MCP0000003,MC0039,P001166,1373.63,129,3
MCP0000004,MC0078,P000756,1273.8,634,5
MCP0000005,MC0029,P000220,2850.81,593,2
MCP0000006,MC0087,P001260,1909.05,1060,5
MCP0000007,MC0008,P000501,965.41,276,1
MCP0000008,MC0051,P001236,1537.44,365,3
MCP0000009,MC0013,P000203,1657.8,689,3
MCP0000010,MC0045,P000400,597.14,973,1
MCP0000011,MC0057,P000644,2395.53,730,1
MCP0000012,MC0025,P000962,909.08,701,2
MCP0000013,MC0084,P000911,85.07,961,1
MCP0000014,MC0024,P001402,2691.07,255,4
MCP0000015,MC0046,P000768,627.58,800,3
MCP0000016,MC0073,P000934,2151.22,88,4
MCP0000017,MC0055,P000399,792.26,1104,5
MCP0000018,MC0036,P001326,2045.82,1050,3
MCP0000019,MC0016,P000689,2290.83,179,5
MCP0000020,MC0069,P001475,2569.21,1048,4
MCP0000021,MC0070,P001112,1166.5,103,1
MCP0000022,MC0084,P001392,1595.39,131,2
MCP0000023,MC0024,P001367,2534.2,480,5
MCP0000024,MC0084,P000551,2345.71,1189,4
MCP0000025,MC0065,P000608,2399.63,1077,5
MCP0000026,MC0003,P000337,1925.27,305,3
MCP0000027,MC0068,P000953,2692.72,203,3
MCP0000028,MC0005,P000090,937.83,87,5
MCP0000029,MC0096,P001413,2289.83,64,1
MCP0000030,MC0005,P000951,481.96,834,1
MCP0000031,MC0075,P000179,2121.16,930,4
MCP0000032,MC0009,P000605,2219.34,1105,2
MCP0000033,MC0006,P000282,2182.41,328,4
MCP0000034,MC0092,P000476,2831.53,37,1
MCP0000035,MC0084,P000945,683.53,54,3
MCP0000036,MC0070,P001479,1592.12,167,1
MCP0000037,MC0024,P001470,1223.29,527,4
MCP0000038,MC0042,P000722,1185.48,594,1
MCP0000039,MC0043,P000632,856.35,439,4
MCP0000040,MC0033,P001175,2127.46,98,1
MCP0000041,MC0093,P001483,2198.47,849,4
MCP0000042,MC0002,P001078,1918.47,1062,3
MCP0000043,MC0004,P000024,1778.03,1182,3
MCP0000044,MC0011,P000826,545.58,290,4
MCP0000045,MC0005,P000392,1489.36,700,2
MCP0000046,MC0063,P001104,826.92,426,3
MCP0000047,MC0071,P000189,826.8,55,5
MCP0000048,MC0100,P000295,2934.05,911,5
MCP0000049,MC0078,P000921,1586.91,782,1
MCP0000050,MC0026,P000408,28.34,845,2
MCP0000051,MC0075,P000395,2616.12,613,1
MCP0000052,MC0027,P001459,646.74,628,3
MCP0000053,MC0086,P001206,718.11,942,2
MCP0000054,MC0091,P001479,1526.09,533,1
MCP0000055,MC0073,P000422,1092.91,513,1
MCP0000056,MC0050,P001169,1547.69,72,5
MCP0000057,MC0099,P001423,1175.66,1029,3
MCP0000058,MC0010,P001123,2173.63,1146,3
MCP0000059,MC0026,P001217,138.06,1161,3
MCP0000060,MC0010,P000396,2503.64,92,4
MCP0000061,MC0029,P000049,1155.16,1185,1
MCP0000062,MC0048,P000351,2201.51,1028,2
MCP0000063,MC0073,P001076,349.21,572,2
MCP0000064,MC0047,P000332,422.09,45,5
MCP0000065,MC0027,P000556,2092.48,469,3
MCP0000066,MC0072,P000880,1820.86,722,5
