cart_item_id,cart_id,sku_id,quantity,unit_price,added_at,selected
CI00000001,CART0003259,SKU0000349,1,1276.85,2025-04-12 17:20:50,0
CI00000002,CART0001579,SKU0000072,4,3131.98,2026-01-18 19:23:10,1
CI00000003,CART0003504,SKU0001925,1,2465.2,2025-11-21 10:22:46,0
CI00000004,CART0001048,SKU0001110,3,1088.77,2026-01-14 15:28:04,1
CI00000005,CART0005745,SKU0001215,2,2906.63,2025-01-28 14:43:23,1
CI00000006,CART0001851,SKU0002303,1,129.91,2026-05-29 16:37:50,1
CI00000007,CART0005372,SKU0001770,1,1491.97,2025-05-19 08:53:04,1
CI00000008,CART0001328,SKU0001769,4,1678.19,2026-08-03 15:05:07,0
CI00000009,CART0004678,SKU0000908,1,1835.98,2026-02-06 16:08:49,1
CI00000010,CART0004832,SKU0000236,2,2429.95,2026-02-05 10:16:43,1
CI00000011,CART0001956,SKU0001420,2,3029.42,2026-03-24 10:10:40,0
CI00000012,CART0003203,SKU0000379,4,2375.49,2025-09-27 00:45:03,1
CI00000013,CART0003681,SKU0000792,4,3534.57,2025-11-19 06:15:42,1
CI00000014,CART0000608,SKU0001979,3,551.82,2026-04-29 14:48:15,1
CI00000015,CART0000467,SKU0000518,3,1350.68,2026-04-15 02:48:52,1
CI00000016,CART0002278,SKU0001958,2,510.89,2026-03-25 13:46:40,1
CI00000017,CART0002418,SKU0001373,1,1205.7,2025-01-22 16:26:54,1
CI00000018,CART0004156,SKU0000047,4,2143.81,2025-09-06 05:59:06,1
CI00000019,CART0004212,SKU0001326,4,37.94,2025-02-22 05:53:03,1
CI00000020,CART0002901,SKU0000409,1,1816.96,2025-04-23 15:44:04,1
CI00000021,CART0000064,SKU0000950,4,2730.68,2026-02-05 12:52:02,1
CI00000022,CART0001449,SKU0001743,2,3420.98,2025-08-26 11:24:49,1
CI00000023,CART0002824,SKU0001155,3,1178.07,2026-05-10 09:55:42,1
CI00000024,CART0001626,SKU0001631,1,871.51,2025-01-04 16:30:02,0
CI00000025,CART0002493,SKU0000407,2,73.6,2026-05-04 04:59:43,1
CI00000026,CART0000445,SKU0002778,1,655.99,2025-07-08 22:29:55,1
CI00000027,CART0001042,SKU0001985,1,2518.05,2025-11-14 03:42:46,1
CI00000028,CART0005704,SKU0000384,3,1399.24,2026-05-29 03:05:18,0
CI00000029,CART0001441,SKU0000895,4,409.49,2025-05-27 01:48:50,1
CI00000030,CART0001533,SKU0000152,1,1986.34,2026-06-16 01:35:01,0
CI00000031,CART0003868,SKU0001785,2,881.03,2024-12-30 16:19:05,0
CI00000032,CART0005834,SKU0002118,4,541.07,2025-01-01 01:33:41,1
CI00000033,CART0001949,SKU0001382,1,2187.33,2025-12-13 17:25:13,0
