receipt_id,coupon_id,user_id,received_at,receipt_status,source
CR00000001,CP00069,U001527,2026-08-21 00:16:43,expired,member_center
CR00000002,CP00173,U000242,2025-07-16 02:53:27,used,new_user
CR00000003,CP00111,U004914,2025-10-08 00:27:10,unused,new_user
CR00000004,CP00096,U002418,2025-09-25 18:38:20,expired,campaign
CR00000005,CP00067,U001891,2025-08-12 10:16:57,expired,campaign
CR00000006,CP00082,U004493,2026-04-01 05:30:34,used,campaign
CR00000007,CP00171,U001599,2025-10-31 20:07:07,used,member_center
CR00000008,CP00064,U004722,2026-02-15 16:20:09,used,new_user
CR00000009,CP00115,U002071,2025-07-21 10:56:51,unused,new_user
CR00000010,CP00135,U001606,2025-11-21 17:13:27,expired,push
CR00000011,CP00120,U003664,2026-05-27 02:44:29,used,campaign
CR00000012,CP00148,U001391,2025-07-22 19:44:40,used,member_center
CR00000013,CP00012,U003786,2025-07-24 23:40:28,unused,campaign
CR00000014,CP00062,U004358,2026-04-12 20:12:26,used,campaign
CR00000015,CP00055,U001850,2026-02-14 16:09:54,used,member_center
CR00000016,CP00063,U000155,2026-01-11 14:06:03,unused,campaign
CR00000017,CP00096,U000284,2025-10-02 05:07:27,used,member_center
CR00000018,CP00064,U004972,2026-03-03 21:29:06,unused,push
CR00000019,CP00011,U001601,2026-01-08 21:44:19,expired,campaign
CR00000020,CP00178,U002393,2025-10-10 19:45:34,used,member_center
CR00000021,CP00098,U004744,2025-07-18 23:58:06,unused,member_center
CR00000022,CP00044,U000010,2025-08-10 18:02:54,used,campaign
CR00000023,CP00128,U003890,2026-07-07 13:05:30,expired,member_center
CR00000024,CP00026,U002727,2025-03-03 02:29:31,used,member_center
CR00000025,CP00066,U004356,2026-03-25 00:41:31,used,campaign
CR00000026,CP00107,U004885,2026-07-21 11:59:22,expired,push
CR00000027,CP00017,U002917,2025-07-07 22:51:44,unused,new_user
CR00000028,CP00179,U000507,2026-04-05 04:24:18,used,push
CR00000029,CP00130,U003435,2026-07-09 14:09:36,unused,campaign
CR00000030,CP00176,U004507,2025-05-18 11:07:33,expired,campaign
CR00000031,CP00057,U003674,2025-06-05 05:42:40,used,campaign
CR00000032,CP00168,U002587,2026-02-17 18:42:36,used,member_center
CR00000033,CP00123,U002102,2025-07-24 15:59:41,used,campaign
CR00000034,CP00110,U004681,2025-09-27 07:04:04,expired,push
CR00000035,CP00088,U000567,2026-06-24 06:20:08,unused,campaign
CR00000036,CP00011,U002635,2026-01-13 04:28:12,used,campaign
CR00000037,CP00054,U001949,2025-06-19 11:22:08,used,member_center
CR00000038,CP00155,U000100,2026-08-21 23:28:46,unused,push
CR00000039,CP00093,U001176,2026-07-14 00:40:26,used,push
CR00000040,CP00134,U004025,2025-07-20 17:19:41,used,campaign
CR00000041,CP00008,U001495,2025-06-06 08:45:53,used,member_center
CR00000042,CP00081,U003699,2025-10-27 12:34:31,unused,member_center
CR00000043,CP00046,U004353,2026-08-11 01:45:35,expired,campaign
CR00000044,CP00053,U004913,2025-05-05 13:51:19,unused,campaign
CR00000045,CP00168,U000727,2026-02-17 02:48:06,used,push
CR00000046,CP00098,U001611,2025-07-02 15:29:33,expired,campaign
CR00000047,CP00051,U001708,2025-12-01 22:41:16,expired,member_center
CR00000048,CP00043,U001838,2025-03-18 07:45:35,used,campaign
CR00000049,CP00112,U004994,2025-12-25 07:04:53,used,push
CR00000050,CP00034,U003701,2026-05-13 10:41:20,expired,campaign
CR00000051,CP00095,U004392,2025-01-26 11:57:46,unused,member_center
CR00000052,CP00058,U002825,2026-07-16 16:42:18,used,new_user
CR00000053,CP00088,U002195,2026-06-30 17:55:12,unused,campaign
CR00000054,CP00098,U002794,2025-07-08 20:52:27,unused,campaign
CR00000055,CP00037,U003378,2026-04-28 14:32:29,unused,member_center
CR00000056,CP00028,U003121,2025-11-11 17:03:17,unused,push
CR00000057,CP00158,U003973,2025-08-25 23:16:50,used,new_user
CR00000058,CP00015,U001570,2026-04-24 10:32:25,unused,campaign
CR00000059,CP00050,U004647,2025-08-31 07:32:33,unused,push
CR00000060,CP00122,U001535,2025-01-25 14:23:42,expired,campaign
CR00000061,CP00119,U000496,2026-05-13 02:32:43,unused,campaign
CR00000062,CP00090,U002301,2025-05-01 05:08:55,expired,push
CR00000063,CP00037,U003227,2026-04-28 09:03:19,used,new_user
CR00000064,CP00141,U002422,2026-01-03 04:16:45,used,push
CR00000065,CP00166,U004525,2026-08-09 13:15:47,used,new_user
CR00000066,CP00144,U002063,2026-06-19 21:18:45,used,member_center
CR00000067,CP00161,U000530,2026-04-13 21:03:37,unused,campaign
CR00000068,CP00167,U004823,2025-06-24 23:54:16,unused,push
CR00000069,CP00043,U001553,2025-03-16 02:23:04,used,member_center
CR00000070,CP00074,U003124,2025-12-02 07:03:22,used,member_center
CR00000071,CP00127,U004231,2025-04-20 18:17:08,used,campaign
CR00000072,CP00169,U002758,2025-06-16 00:50:58,used,campaign
CR00000073,CP00019,U002030,2026-05-06 00:20:46,used,campaign
CR00000074,CP00064,U000935,2026-02-13 02:27:57,expired,campaign
CR00000075,CP00063,U000923,2026-01-19 22:04:17,unused,member_center
CR00000076,CP00123,U002373,2025-08-10 09:30:52,used,member_center
CR00000077,CP00139,U004107,2025-11-23 12:00:46,used,campaign
CR00000078,CP00084,U003275,2025-10-07 21:25:30,used,campaign
CR00000079,CP00016,U002557,2025-12-24 19:55:00,unused,campaign
CR00000080,CP00094,U004625,2025-03-27 17:34:47,expired,push
CR00000081,CP00117,U000256,2025-09-21 10:23:47,used,campaign
CR00000082,CP00109,U003981,2026-04-24 07:06:28,used,campaign
CR00000083,CP00036,U003492,2026-08-04 09:00:50,unused,campaign
CR00000084,CP00119,U002492,2026-05-13 16:27:50,expired,new_user
CR00000085,CP00110,U003545,2025-09-28 02:46:42,used,new_user
CR00000086,CP00149,U003309,2025-12-15 23:09:53,unused,new_user
CR00000087,CP00079,U003153,2026-01-30 17:57:15,used,new_user
CR00000088,CP00151,U000667,2025-06-27 22:28:41,used,campaign
CR00000089,CP00156,U003520,2025-03-30 10:53:51,expired,push
CR00000090,CP00092,U004481,2025-04-02 14:02:41,unused,campaign
CR00000091,CP00025,U001128,2025-08-14 21:31:32,unused,member_center
CR00000092,CP00023,U003388,2025-01-17 02:51:47,used,member_center
CR00000093,CP00003,U001421,2025-10-03 02:51:12,used,member_center
CR00000094,CP00130,U004092,2026-06-27 22:14:36,expired,campaign
CR00000095,CP00020,U004696,2025-03-27 02:06:06,unused,member_center
CR00000096,CP00095,U003633,2025-01-20 19:28:28,used,member_center
CR00000097,CP00140,U004424,2025-05-28 12:50:26,unused,campaign
CR00000098,CP00056,U003282,2026-06-26 11:05:01,used,member_center
