usage_id,receipt_id,coupon_id,order_id,user_id,discount_amount,used_at
CU00000001,CR00000002,CP00173,O00008901,U000242,6.3,2025-11-12 13:38:44
CU00000002,CR00000006,CP00082,O00005338,U004493,9.28,2025-09-08 04:16:13
CU00000003,CR00000007,CP00171,O00002830,U001599,79.44,2025-11-20 08:28:00
CU00000004,CR00000008,CP00064,O00006593,U004722,55.92,2025-02-19 02:43:05
CU00000005,CR00000011,CP00120,O00001117,U003664,79.58,2026-03-09 06:51:22
CU00000006,CR00000012,CP00148,O00004360,U001391,17.13,2026-02-11 22:33:55
CU00000007,CR00000014,CP00062,O00000464,U004358,6.55,2025-05-12 20:58:03
CU00000008,CR00000015,CP00055,O00002391,U001850,123.44,2026-05-09 12:07:07
CU00000009,CR00000017,CP00096,O00004859,U000284,23.59,2025-10-29 10:23:23
CU00000010,CR00000020,CP00178,O00008667,U002393,41.84,2025-05-16 19:06:16
CU00000011,CR00000022,CP00044,O00010458,U000010,6.69,2026-07-19 09:51:51
CU00000012,CR00000024,CP00026,O00009693,U002727,103.86,2026-03-05 14:38:56
CU00000013,CR00000025,CP00066,O00009871,U004356,117.08,2026-02-24 04:08:35
CU00000014,CR00000028,CP00179,O00002654,U000507,32.09,2026-05-21 05:00:53
CU00000015,CR00000031,CP00057,O00003538,U003674,5.78,2026-06-25 06:22:08
CU00000016,CR00000032,CP00168,O00001213,U002587,28.1,2026-06-27 23:15:02
CU00000017,CR00000033,CP00123,O00011098,U002102,73.75,2025-12-25 11:09:41
CU00000018,CR00000036,CP00011,O00009722,U002635,32.73,2025-02-21 22:37:24
CU00000019,CR00000037,CP00054,O00000038,U001949,31.25,2026-03-11 10:13:21
CU00000020,CR00000039,CP00093,O00011527,U001176,27.11,2025-10-16 13:09:06
CU00000021,CR00000040,CP00134,O00006547,U004025,28.03,2025-01-22 11:07:10
CU00000022,CR00000041,CP00008,O00005806,U001495,101.76,2025-05-27 13:59:39
CU00000023,CR00000045,CP00168,O00008135,U000727,28.1,2025-02-07 11:26:57
CU00000024,CR00000048,CP00043,O00006004,U001838,88.16,2025-02-08 15:00:37
CU00000025,CR00000049,CP00112,O00010516,U004994,36.64,2025-10-18 03:43:53
CU00000026,CR00000052,CP00058,O00008062,U002825,99.78,2026-05-28 08:58:33
CU00000027,CR00000057,CP00158,O00010098,U003973,8.87,2025-05-24 07:20:19
CU00000028,CR00000063,CP00037,O00005293,U003227,62.74,2026-02-23 16:51:58
CU00000029,CR00000064,CP00141,O00011082,U002422,109.53,2025-12-03 19:30:05
CU00000030,CR00000065,CP00166,O00000226,U004525,95.09,2025-11-25 10:23:34
CU00000031,CR00000066,CP00144,O00006278,U002063,25.86,2025-09-05 06:29:18
CU00000032,CR00000069,CP00043,O00006266,U001553,88.16,2026-01-05 09:17:54
CU00000033,CR00000070,CP00074,O00003773,U003124,48.37,2026-06-28 05:31:41
CU00000034,CR00000071,CP00127,O00011760,U004231,8.98,2026-06-01 14:39:19
CU00000035,CR00000072,CP00169,O00011784,U002758,16.12,2025-06-06 14:04:01
CU00000036,CR00000073,CP00019,O00009488,U002030,82.27,2025-02-27 05:34:54
CU00000037,CR00000076,CP00123,O00011509,U002373,73.75,2026-06-05 11:21:19
CU00000038,CR00000077,CP00139,O00007424,U004107,60.24,2025-02-24 06:23:49
CU00000039,CR00000078,CP00084,O00007651,U003275,5.39,2025-12-30 10:13:29
CU00000040,CR00000081,CP00117,O00010049,U000256,7.89,2025-07-02 19:43:16
CU00000041,CR00000082,CP00109,O00000121,U003981,52.92,2025-05-21 22:02:40
CU00000042,CR00000085,CP00110,O00004985,U003545,20.65,2026-03-15 09:07:46
CU00000043,CR00000087,CP00079,O00006656,U003153,6.82,2025-10-01 02:23:59
CU00000044,CR00000088,CP00151,O00010657,U000667,48.68,2025-12-02 01:27:23
CU00000045,CR00000092,CP00023,O00003248,U003388,106.03,2026-04-16 18:07:10
CU00000046,CR00000093,CP00003,O00003366,U001421,14.49,2025-02-24 21:52:54
CU00000047,CR00000096,CP00095,O00005390,U003633,35.84,2025-09-14 13:08:19
CU00000048,CR00000098,CP00056,O00006066,U003282,9.18,2025-07-10 18:35:14
CU00000049,CR00000099,CP00139,O00005043,U001533,60.24,2026-01-04 14:42:31
CU00000050,CR00000104,CP00109,O00003498,U002632,52.92,2026-04-03 22:25:57
CU00000051,CR00000106,CP00148,O00010112,U001419,17.13,2025-10-21 19:51:31
CU00000052,CR00000107,CP00108,O00001821,U000570,32.8,2026-03-24 03:22:23
CU00000053,CR00000114,CP00126,O00008640,U000901,76.27,2026-01-24 20:05:29
CU00000054,CR00000115,CP00065,O00004833,U001592,47.93,2026-03-26 12:40:50
CU00000055,CR00000120,CP00040,O00005016,U001475,22.44,2025-05-08 14:17:00
CU00000056,CR00000121,CP00092,O00001172,U004489,104.3,2025-11-28 21:25:29
CU00000057,CR00000122,CP00114,O00010236,U004982,29.15,2025-07-07 09:04:09
CU00000058,CR00000124,CP00012,O00006138,U004332,22.74,2025-01-14 11:29:44
CU00000059,CR00000126,CP00031,O00000802,U001537,18.52,2025-11-12 17:51:49
CU00000060,CR00000127,CP00077,O00006576,U000635,13.83,2025-09-04 09:50:32
CU00000061,CR00000133,CP00016,O00009431,U002547,13.42,2025-06-16 21:46:58
CU00000062,CR00000135,CP00145,O00003009,U003462,10.69,2026-02-05 19:10:05
CU00000063,CR00000137,CP00165,O00009681,U002282,5.64,2026-04-06 18:06:39
CU00000064,CR00000144,CP00082,O00001615,U002636,9.28,2025-08-06 12:45:22
CU00000065,CR00000145,CP00008,O00006819,U003000,101.76,2025-07-19 21:10:42
