coupon_id,coupon_name,coupon_type,threshold_amount,discount_amount,valid_from,valid_to,issue_limit,scope_type,status
CP00001,折扣券001,折扣券,399,57.84,2025-07-04,2025-07-29,9553,all,finished
CP00002,无门槛券002,无门槛券,0,5.62,2026-08-03,2026-08-22,6870,category,active
CP00003,满减券003,满减券,399,14.49,2025-09-14,2025-10-03,6820,all,finished
CP00004,满减券004,满减券,199,19.05,2025-06-14,2025-06-26,13076,all,finished
CP00005,满减券005,满减券,99,20.33,2025-10-06,2025-11-09,11048,all,finished
CP00006,无门槛券006,无门槛券,399,107.26,2025-07-13,2025-08-04,19125,all,finished
CP00007,满减券007,满减券,399,82.38,2026-04-26,2026-05-26,16714,category,finished
CP00008,满减券008,满减券,399,101.76,2025-06-05,2025-06-27,6419,category,finished
CP00009,运费券009,运费券,199,22.92,2025-06-08,2025-07-12,17855,all,finished
CP00010,无门槛券010,无门槛券,99,8.57,2025-11-06,2025-11-24,1362,category,finished
CP00011,无门槛券011,无门槛券,699,32.73,2026-01-02,2026-01-17,12219,all,finished
CP00012,无门槛券012,无门槛券,99,22.74,2025-07-08,2025-08-04,1816,all,finished
CP00013,无门槛券013,无门槛券,399,27.35,2026-07-29,2026-08-22,14189,all,active
CP00014,满减券014,满减券,699,56.4,2025-10-23,2025-11-05,6568,store,finished
CP00015,满减券015,满减券,199,26.99,2026-04-07,2026-04-26,17792,all,finished
CP00016,满减券016,满减券,99,13.42,2025-12-23,2026-01-07,15749,all,finished
CP00017,无门槛券017,无门槛券,199,12.1,2025-06-28,2025-07-26,16542,store,finished
CP00018,无门槛券018,无门槛券,199,34.59,2026-04-06,2026-05-01,7400,all,finished
CP00019,运费券019,运费券,399,82.27,2026-05-02,2026-05-09,18350,all,finished
CP00020,满减券020,满减券,199,32.45,2025-02-26,2025-04-02,8439,category,finished
CP00021,满减券021,满减券,699,24.2,2026-01-13,2026-02-20,19669,all,finished
CP00022,折扣券022,折扣券,199,38.59,2026-03-24,2026-04-11,758,category,finished
CP00023,满减券023,满减券,399,106.03,2025-01-13,2025-02-08,9781,all,finished
CP00024,运费券024,运费券,199,54.73,2026-08-15,2026-08-22,17559,store,active
CP00025,满减券025,满减券,399,26.85,2025-08-09,2025-08-24,12280,all,finished
CP00026,折扣券026,折扣券,699,103.86,2025-02-26,2025-03-16,8487,store,finished
CP00027,运费券027,运费券,199,42.99,2026-03-23,2026-04-03,11971,all,finished
CP00028,满减券028,满减券,399,57.77,2025-11-04,2025-11-15,13128,all,finished
CP00029,运费券029,运费券,99,12.24,2025-09-19,2025-10-17,19355,category,finished
CP00030,满减券030,满减券,399,102.7,2025-07-09,2025-08-09,3925,all,finished
CP00031,运费券031,运费券,99,18.52,2026-05-11,2026-05-23,16287,store,finished
CP00032,满减券032,满减券,99,12.36,2026-01-08,2026-02-12,10617,category,finished
