metric_id,stat_date,product_id,store_id,impressions,page_views,unique_visitors,buyers,paid_orders,gmv,refund_orders,favorite_additions
DPM000000001,2025-11-15,P000767,S0047,5604,1303,1087,95,93,180528.06,6,107
DPM000000002,2025-11-19,P000701,S0061,20828,4733,3196,265,252,388696.27,27,280
DPM000000003,2025-09-03,P001056,S0016,10131,2365,1359,117,136,111507.06,15,35
DPM000000004,2025-11-26,P001149,S0029,16644,3882,3259,30,33,6852.36,0,137
DPM000000005,2026-08-20,P001211,S0011,15499,4892,4004,362,347,956565.89,2,111
DPM000000006,2025-12-04,P000537,S0057,6561,2216,1585,124,143,17380.0,8,134
DPM000000007,2026-08-13,P000918,S0038,17341,911,751,44,37,70490.42,3,12
DPM000000008,2026-05-05,P001087,S0047,10906,2107,1300,116,117,89669.46,1,54
DPM000000009,2026-05-17,P000157,S0077,772,29,23,2,2,4560.01,1,1
DPM000000010,2026-06-26,P001156,S0036,4518,1488,1011,87,76,168884.82,5,114
DPM000000011,2026-05-18,P000421,S0021,659,189,164,11,10,27755.2,0,6
DPM000000012,2026-07-15,P000390,S0070,13872,2595,2016,213,183,630725.94,16,105
DPM000000013,2026-06-22,P001178,S0058,19952,1379,1089,116,112,183468.35,12,93
DPM000000014,2026-02-03,P001495,S0055,3631,454,263,2,1,402.06,0,14
DPM000000015,2025-12-31,P000682,S0042,22895,3580,2338,198,221,538486.9,17,183
DPM000000016,2026-08-21,P000734,S0014,16903,4536,3753,99,92,152503.86,10,108
DPM000000017,2026-05-26,P000834,S0034,16195,558,481,25,20,13424.21,1,25
DPM000000018,2026-02-24,P000386,S0066,5218,528,376,17,16,56323.14,1,25
DPM000000019,2026-06-22,P001324,S0044,7757,1886,1198,56,66,228506.43,3,40
DPM000000020,2026-04-16,P001214,S0014,22680,2216,1661,83,67,71959.02,5,175
DPM000000021,2026-03-05,P000184,S0024,13558,3800,2100,131,123,357078.22,13,289
DPM000000022,2026-06-22,P000998,S0038,23783,1058,669,21,19,43427.19,0,21
DPM000000023,2026-06-05,P000937,S0057,20565,4372,2587,198,233,149396.85,26,274
DPM000000024,2026-07-14,P000048,S0048,21133,5362,3234,276,297,58347.23,13,300
DPM000000025,2026-03-03,P000430,S0030,10713,789,657,51,59,132062.7,5,5
DPM000000026,2026-06-26,P000918,S0038,14819,2791,2219,213,244,675269.04,25,15
DPM000000027,2026-07-22,P000329,S0009,4110,1067,703,67,66,233462.98,8,49
DPM000000028,2026-04-19,P000659,S0019,19597,2241,1791,65,70,192837.52,8,111
DPM000000029,2026-05-26,P000722,S0002,8913,562,395,8,7,10388.74,1,30
DPM000000030,2026-04-09,P001057,S0017,16218,2695,2212,144,143,52075.52,12,158
DPM000000031,2025-11-09,P000403,S0003,18011,684,396,25,23,89956.15,2,12
DPM000000032,2025-10-26,P000445,S0045,3996,372,327,21,20,8586.13,1,22
DPM000000033,2025-12-20,P000443,S0043,7335,2559,1893,58,48,1282.49,5,118
DPM000000034,2025-12-29,P000763,S0043,18446,858,709,62,57,168982.27,1,24
DPM000000035,2025-11-07,P000894,S0014,11463,3252,1983,63,71,194952.11,2,60
DPM000000036,2026-02-06,P000838,S0038,3382,312,209,21,18,22415.89,1,24
DPM000000037,2025-10-12,P000335,S0015,8346,2679,1702,70,56,261607.53,3,158
DPM000000038,2025-12-26,P000455,S0055,18739,2590,2164,89,99,64267.13,11,103
DPM000000039,2026-01-31,P000197,S0037,22089,2652,1892,82,84,169607.42,10,207
DPM000000040,2026-02-24,P001030,S0070,18643,1281,826,57,68,217987.63,5,31
DPM000000041,2025-11-29,P000002,S0002,7640,1577,1210,16,18,6073.62,0,62
DPM000000042,2026-06-05,P001326,S0046,15147,2619,2179,90,79,161077.66,5,204
DPM000000043,2026-06-06,P000666,S0026,1808,501,377,45,48,40578.28,4,17
DPM000000044,2026-05-03,P000318,S0078,15693,3549,2544,302,267,272330.52,8,134
DPM000000045,2026-03-23,P000963,S0003,13278,2561,1422,92,106,298358.39,5,128
DPM000000046,2026-05-30,P001043,S0003,9168,920,570,14,11,39779.87,1,18
DPM000000047,2026-06-20,P001465,S0025,7034,1547,1320,158,126,232054.85,5,26
DPM000000048,2026-01-01,P001122,S0002,4749,827,744,72,62,94427.74,7,28
DPM000000049,2025-10-31,P001253,S0053,3130,984,663,46,49,97596.93,6,80
DPM000000050,2026-04-29,P001464,S0024,6389,2049,1363,8,9,10244.33,0,64
DPM000000051,2026-06-06,P000276,S0036,697,159,118,10,11,28371.53,0,4
DPM000000052,2026-08-03,P001049,S0009,11274,1167,899,7,7,12026.17,1,49
DPM000000053,2026-07-01,P000845,S0045,8442,1241,939,110,104,309136.05,1,101
DPM000000054,2025-12-14,P001351,S0071,1587,354,257,17,13,34813.7,0,6
DPM000000055,2026-06-17,P000263,S0023,15759,2411,1957,154,168,239716.62,17,138
DPM000000056,2025-10-04,P000003,S0003,13214,3875,3232,273,267,547310.97,25,141
DPM000000057,2025-12-10,P000574,S0014,20769,3664,2498,182,170,646074.94,12,210
DPM000000058,2026-05-03,P000640,S0080,22626,7588,5427,264,244,353491.93,7,262
DPM000000059,2025-11-17,P000724,S0004,9502,2164,1506,162,165,91039.92,8,35
DPM000000060,2026-08-14,P000210,S0050,12757,3998,3025,213,207,826446.68,11,116
DPM000000061,2026-03-05,P000561,S0001,18311,2428,1904,120,101,345404.6,2,14
DPM000000062,2026-03-10,P000367,S0047,20056,5800,4090,203,215,492447.72,8,274
DPM000000063,2026-07-05,P000515,S0035,24494,3381,2296,268,314,1210431.52,11,210
DPM000000064,2026-01-28,P001424,S0064,11493,631,561,51,44,180242.52,2,1
DPM000000065,2026-06-07,P001362,S0002,1764,161,91,10,8,31105.5,0,4
DPM000000066,2026-05-19,P000890,S0010,5821,232,169,17,20,6872.63,1,4
DPM000000067,2025-11-09,P001013,S0053,13754,743,535,16,15,58767.49,1,45
DPM000000068,2026-07-14,P000401,S0001,20116,3458,2631,34,37,140168.66,4,202
DPM000000069,2025-12-06,P001150,S0030,18738,788,457,5,4,1027.53,1,32
DPM000000070,2025-09-20,P001274,S0074,19971,5779,3274,212,240,698188.09,24,43
DPM000000071,2025-09-21,P001253,S0053,15616,5151,3996,150,146,422981.94,2,19
DPM000000072,2026-05-27,P001047,S0007,12723,3210,2642,182,148,367733.26,16,227
DPM000000073,2026-07-08,P000466,S0066,4328,1188,823,82,75,180062.36,2,31
DPM000000074,2026-02-21,P001044,S0004,11990,2518,2041,135,125,87713.86,2,141
DPM000000075,2026-03-05,P000829,S0029,20372,5234,3545,347,355,217705.31,19,64
DPM000000076,2026-03-01,P000811,S0011,2112,158,108,1,1,2042.47,0,8
DPM000000077,2025-09-01,P000958,S0078,6824,381,280,19,22,50172.76,2,28
DPM000000078,2025-11-19,P000691,S0051,24678,5866,5242,465,428,806769.36,2,473
DPM000000079,2026-06-09,P000343,S0023,22849,7613,6634,737,883,198630.14,77,221
DPM000000080,2025-11-22,P001270,S0070,12442,3354,2519,62,68,24203.88,0,182
DPM000000081,2025-10-20,P001442,S0002,7650,1996,1607,56,58,89042.56,0,9
DPM000000082,2025-11-08,P000690,S0050,23934,1227,1094,114,108,469745.29,1,62
DPM000000083,2026-03-17,P000747,S0027,9119,3026,1962,220,208,726489.04,10,9
DPM000000084,2025-09-12,P000701,S0061,8748,2137,1645,47,45,88891.81,1,118
DPM000000085,2026-07-22,P001248,S0048,12644,3384,2665,64,61,214272.24,7,239
DPM000000086,2026-01-16,P000609,S0049,11109,3260,2634,46,46,95539.89,0,224
DPM000000087,2025-10-10,P000102,S0022,10974,3438,2159,172,140,343199.21,13,222
DPM000000088,2026-05-01,P001319,S0039,24128,3990,2415,86,94,204539.83,3,73
DPM000000089,2025-12-31,P000877,S0077,4386,877,495,35,28,104022.3,3,11
DPM000000090,2025-10-09,P000948,S0068,8032,399,263,4,3,7847.33,1,31
DPM000000091,2026-05-23,P000797,S0077,18705,5074,3380,321,326,68594.54,7,214
DPM000000092,2025-11-05,P001195,S0075,552,185,133,11,11,18928.18,1,9
DPM000000093,2026-07-27,P000023,S0023,14884,561,336,39,41,100284.44,2,44
DPM000000094,2025-11-02,P000825,S0025,16495,4795,3195,259,219,482861.45,4,219
DPM000000095,2026-03-22,P000345,S0025,2680,460,330,39,45,189692.54,2,12
DPM000000096,2026-08-15,P001361,S0001,15668,2121,1213,40,45,170581.1,0,86
DPM000000097,2025-11-01,P000990,S0030,17338,3465,2332,30,30,21090.46,3,189
DPM000000098,2025-09-13,P000649,S0009,13556,3739,2349,198,209,706315.04,6,18
DPM000000099,2026-08-07,P000237,S0077,23184,3522,2757,178,188,410604.55,7,16
DPM000000100,2025-09-28,P001343,S0063,2824,485,426,6,6,190.26,1,16
DPM000000101,2025-12-08,P001208,S0008,1663,365,226,7,6,590.23,0,25
DPM000000102,2026-03-19,P000681,S0041,18418,1045,930,14,11,15695.41,0,86
DPM000000103,2025-10-07,P001363,S0003,2215,745,454,43,47,36460.08,3,56
DPM000000104,2025-12-30,P000674,S0034,7083,762,522,31,33,50246.19,3,27
DPM000000105,2025-10-20,P001410,S0050,7798,755,584,67,62,214842.25,4,10
DPM000000106,2026-06-09,P001284,S0004,1750,106,79,7,7,24358.54,1,7
