favorite_id,user_id,product_id,favorited_at,source_page
FAV00000001,U004063,P001285,2026-06-04 14:53:59,product
FAV00000002,U002222,P000275,2026-01-12 15:37:07,product
FAV00000003,U003441,P000616,2025-03-18 07:21:56,product
FAV00000004,U000939,P000525,2026-03-29 08:20:07,recommendation
FAV00000005,U003555,P001480,2026-08-20 00:13:16,search
FAV00000006,U004233,P000200,2026-04-12 23:07:22,product
FAV00000007,U003168,P000840,2025-01-06 01:33:34,product
FAV00000008,U004548,P000201,2026-03-04 08:30:01,product
FAV00000009,U004069,P000723,2025-03-14 02:04:45,product
FAV00000010,U002818,P000134,2026-01-02 09:59:34,product
FAV00000011,U002081,P000201,2025-02-02 19:46:37,product
FAV00000012,U003872,P000050,2025-01-13 23:59:59,campaign
FAV00000013,U002927,P000850,2025-04-05 00:40:46,recommendation
FAV00000014,U000495,P000194,2026-07-13 05:21:33,product
FAV00000015,U001732,P000916,2026-02-11 14:40:27,product
FAV00000016,U004504,P001120,2026-06-13 11:39:37,campaign
FAV00000017,U000349,P000165,2025-01-20 12:46:41,campaign
FAV00000018,U003505,P000446,2026-07-28 14:55:47,product
FAV00000019,U003555,P000773,2026-02-08 14:22:25,product
FAV00000020,U003719,P000792,2025-07-08 06:56:02,recommendation
FAV00000021,U003276,P000998,2025-12-16 00:53:33,campaign
FAV00000022,U002382,P001102,2025-04-22 08:30:41,product
FAV00000023,U000530,P001156,2025-04-22 04:07:24,product
FAV00000024,U002072,P000273,2025-08-22 13:57:05,product
FAV00000025,U000005,P001479,2025-08-28 22:22:33,product
FAV00000026,U002085,P000161,2026-03-24 01:01:49,product
FAV00000027,U002109,P000581,2025-02-24 03:46:33,recommendation
FAV00000028,U003717,P000727,2025-12-08 19:15:26,recommendation
FAV00000029,U001469,P001084,2025-11-28 11:43:36,product
FAV00000030,U001920,P000040,2025-12-09 20:35:02,product
FAV00000031,U000058,P000828,2026-03-29 18:21:44,recommendation
FAV00000032,U003462,P000288,2025-07-01 15:13:08,recommendation
FAV00000033,U003054,P001317,2025-12-08 21:08:28,product
FAV00000034,U002163,P001120,2026-06-20 16:11:26,search
FAV00000035,U002243,P000593,2025-10-06 11:12:52,recommendation
FAV00000036,U002253,P000629,2026-06-01 09:03:39,product
FAV00000037,U002639,P001119,2025-11-21 13:50:26,campaign
FAV00000038,U003361,P000266,2025-10-21 01:23:23,search
FAV00000039,U000521,P001291,2026-08-12 19:37:19,campaign
FAV00000040,U002408,P001025,2025-10-08 16:50:09,recommendation
FAV00000041,U000704,P000972,2026-04-04 06:32:50,product
FAV00000042,U001540,P000332,2025-10-25 16:42:21,search
FAV00000043,U000330,P000939,2026-05-16 23:52:46,product
FAV00000044,U004742,P000003,2026-08-09 12:57:11,campaign
FAV00000045,U002846,P000889,2025-05-04 11:48:04,product
FAV00000046,U001538,P001076,2025-04-30 01:50:38,product
FAV00000047,U003203,P000733,2025-10-01 13:01:05,product
FAV00000048,U003551,P001183,2025-05-03 16:50:09,campaign
FAV00000049,U003616,P001253,2025-05-20 02:44:00,product
FAV00000050,U002120,P001213,2025-03-19 22:55:44,product
FAV00000051,U000398,P000350,2026-05-22 11:29:48,search
FAV00000052,U002253,P000603,2026-04-12 01:30:51,product
FAV00000053,U004863,P001132,2025-10-18 05:27:49,campaign
FAV00000054,U001573,P000237,2025-10-31 00:10:44,product
