movement_id,sku_id,warehouse_id,movement_type,quantity_delta,occurred_at,reference_no,source_system
IM00000001,SKU0000213,W013,sale_out,-17,2025-03-26 10:14:00,REF00002304,order
IM00000002,SKU0002053,W016,purchase_in,1,2026-04-05 23:13:24,REF00009355,order
IM00000003,SKU0001962,W003,adjustment,66,2025-06-19 11:11:17,REF00014381,order
IM00000004,SKU0000366,W001,sale_out,-15,2026-06-21 17:16:39,REF00013157,order
IM00000005,SKU0000286,W006,transfer_in,56,2025-06-21 06:46:56,REF00009382,purchase
IM00000006,SKU0000856,W005,sale_out,-43,2025-05-02 17:10:13,REF00004819,system
IM00000007,SKU0002604,W004,sale_out,-43,2026-06-08 02:22:22,REF00003044,order
IM00000008,SKU0001410,W015,sale_out,-52,2025-09-18 11:43:29,REF00006295,purchase
IM00000009,SKU0002323,W015,sale_out,-4,2026-02-09 16:29:14,REF00012652,order
IM00000010,SKU0001560,W007,sale_out,-51,2025-06-10 22:33:02,REF00009623,order
IM00000011,SKU0000879,W001,sale_out,-12,2026-05-05 10:35:11,REF00008074,purchase
IM00000012,SKU0002819,W014,purchase_in,62,2026-03-29 09:56:50,REF00013855,order
IM00000013,SKU0001656,W007,transfer_out,-10,2026-02-26 21:13:19,REF00011661,order
IM00000014,SKU0000336,W006,purchase_in,38,2025-07-14 00:39:41,REF00012233,purchase
IM00000015,SKU0000191,W016,sale_out,-43,2025-05-20 12:41:37,REF00013766,order
IM00000016,SKU0002252,W008,sale_out,-28,2026-08-04 09:54:23,REF00000383,order
IM00000017,SKU0002523,W014,sale_out,-17,2025-08-24 14:49:02,REF00002522,purchase
IM00000018,SKU0002186,W012,purchase_in,9,2026-01-08 05:43:54,REF00010458,purchase
IM00000019,SKU0002168,W006,purchase_in,64,2026-01-13 22:15:30,REF00004191,order
IM00000020,SKU0001867,W005,return_in,80,2026-07-02 19:39:31,REF00009776,system
IM00000021,SKU0002027,W016,sale_out,-61,2025-02-02 21:01:00,REF00010159,order
IM00000022,SKU0001447,W002,sale_out,-45,2026-07-11 16:04:18,REF00004527,order
IM00000023,SKU0000133,W015,sale_out,-39,2026-03-02 04:49:01,REF00007145,order
IM00000024,SKU0000518,W004,purchase_in,52,2026-02-02 05:58:07,REF00014605,warehouse
IM00000025,SKU0000008,W015,sale_out,-27,2026-04-03 00:42:51,REF00005452,warehouse
IM00000026,SKU0001960,W009,sale_out,-37,2026-06-19 07:57:03,REF00007481,warehouse
IM00000027,SKU0001277,W001,purchase_in,80,2025-09-29 21:41:00,REF00012155,system
IM00000028,SKU0001746,W009,sale_out,-63,2026-05-25 01:10:33,REF00007262,order
IM00000029,SKU0000619,W013,purchase_in,1,2026-05-31 21:51:00,REF00013893,order
IM00000030,SKU0001990,W007,sale_out,-51,2026-04-04 06:31:27,REF00011002,purchase
IM00000031,SKU0000589,W001,sale_out,-62,2026-02-01 02:31:59,REF00004849,order
IM00000032,SKU0000502,W010,sale_out,-61,2025-04-25 22:35:31,REF00008507,warehouse
IM00000033,SKU0001515,W001,sale_out,-55,2025-11-17 15:13:38,REF00011851,warehouse
IM00000034,SKU0001312,W009,transfer_out,-71,2026-08-07 18:40:16,REF00007754,order
IM00000035,SKU0000703,W004,sale_out,-10,2025-07-09 00:14:58,REF00001160,system
IM00000036,SKU0002846,W016,purchase_in,4,2025-01-07 07:54:45,REF00001197,order
IM00000037,SKU0002210,W004,transfer_in,50,2025-05-28 17:34:31,REF00013148,order
IM00000038,SKU0001197,W003,sale_out,-37,2026-05-20 20:44:32,REF00013122,purchase
IM00000039,SKU0001017,W016,purchase_in,15,2025-04-08 18:00:39,REF00008866,order
IM00000040,SKU0001914,W014,sale_out,-53,2026-02-14 00:19:55,REF00009180,purchase
IM00000041,SKU0002660,W015,sale_out,-7,2026-06-02 01:58:38,REF00001859,order
IM00000042,SKU0002046,W007,purchase_in,78,2025-09-17 02:06:01,REF00004983,order
IM00000043,SKU0002784,W009,purchase_in,29,2025-03-11 11:34:18,REF00004694,order
IM00000044,SKU0001613,W013,sale_out,-18,2026-04-03 19:38:42,REF00009147,warehouse
IM00000045,SKU0001926,W016,purchase_in,16,2026-01-26 21:10:11,REF00008028,system
IM00000046,SKU0000054,W005,sale_out,-22,2026-03-12 17:20:51,REF00007688,warehouse
IM00000047,SKU0001082,W008,sale_out,-27,2025-10-04 04:55:27,REF00008626,warehouse
IM00000048,SKU0002315,W001,purchase_in,54,2025-05-12 05:33:40,REF00008626,order
IM00000049,SKU0002321,W005,adjustment,41,2026-04-24 05:10:56,REF00011928,purchase
IM00000050,SKU0002463,W014,purchase_in,13,2025-09-19 18:48:56,REF00002788,order
IM00000051,SKU0001029,W008,sale_out,-74,2026-06-27 22:59:49,REF00000503,order
IM00000052,SKU0002949,W016,sale_out,-74,2026-03-02 14:18:13,REF00001318,purchase
IM00000053,SKU0000012,W014,sale_out,-10,2025-06-21 18:33:45,REF00005262,system
IM00000054,SKU0002334,W010,sale_out,-67,2026-06-22 17:48:23,REF00009468,order
IM00000055,SKU0001046,W014,sale_out,-58,2026-06-23 17:41:10,REF00000339,warehouse
IM00000056,SKU0000636,W005,purchase_in,63,2025-03-20 16:03:05,REF00010147,order
IM00000057,SKU0002818,W012,sale_out,-62,2025-11-26 04:34:49,REF00013018,warehouse
IM00000058,SKU0000446,W009,sale_out,-56,2025-08-27 20:02:19,REF00009195,order
IM00000059,SKU0001415,W011,transfer_in,27,2026-07-23 11:18:36,REF00009833,warehouse
IM00000060,SKU0002272,W013,sale_out,-52,2025-11-08 15:55:51,REF00005891,warehouse
IM00000061,SKU0001338,W008,sale_out,-26,2026-02-09 03:02:09,REF00001600,order
IM00000062,SKU0000360,W004,sale_out,-66,2026-01-02 15:31:51,REF00002576,order
IM00000063,SKU0000643,W005,purchase_in,61,2025-08-09 19:43:26,REF00000787,order
IM00000064,SKU0001633,W002,return_in,69,2026-03-08 12:46:04,REF00003185,order
IM00000065,SKU0001833,W014,purchase_in,42,2025-09-12 15:23:36,REF00007743,system
IM00000066,SKU0001615,W003,return_in,55,2025-11-12 04:32:29,REF00004468,order
IM00000067,SKU0002546,W013,purchase_in,59,2025-11-18 17:29:50,REF00010941,warehouse
IM00000068,SKU0000842,W016,sale_out,-76,2026-02-12 11:31:35,REF00006722,order
IM00000069,SKU0002062,W007,return_in,5,2025-07-01 14:04:15,REF00000736,order
IM00000070,SKU0002917,W010,sale_out,-70,2025-08-09 22:06:35,REF00006657,warehouse
IM00000071,SKU0001941,W008,sale_out,-64,2026-02-18 14:39:39,REF00013252,purchase
IM00000072,SKU0001568,W006,transfer_in,40,2025-10-10 05:43:57,REF00011091,system
IM00000073,SKU0002845,W003,purchase_in,70,2025-07-03 00:27:22,REF00013652,purchase
IM00000074,SKU0000089,W009,return_in,61,2025-12-07 02:00:06,REF00007106,order
IM00000075,SKU0000133,W015,purchase_in,57,2025-03-11 13:45:42,REF00007183,system
IM00000076,SKU0000603,W011,sale_out,-22,2026-01-09 00:36:05,REF00001951,warehouse
IM00000077,SKU0000344,W004,sale_out,-26,2025-03-22 16:39:14,REF00000998,order
IM00000078,SKU0001376,W009,return_in,3,2026-04-05 03:45:50,REF00008816,order
