campaign_id,campaign_name,campaign_type,starts_at,ends_at,budget,sponsor_type,status
MC0001,202510新品首发001,品类日,2025-10-08 12:38:48,2025-10-17 12:38:48,220801.64,platform,finished
MC0002,202508新品首发002,平台满减,2025-08-12 07:50:56,2025-08-13 07:50:56,392953.1,store,finished
MC0003,202512限时秒杀003,品牌日,2025-12-05 18:53:38,2025-12-07 18:53:38,47141.13,platform,finished
MC0004,202509会员专享004,品类日,2025-09-15 20:59:37,2025-10-03 20:59:37,82427.51,platform,finished
MC0005,202510限时秒杀005,新品首发,2025-10-21 03:12:27,2025-11-02 03:12:27,518881.14,platform,finished
MC0006,202505品类日006,平台满减,2025-05-29 07:26:13,2025-05-31 07:26:13,692460.06,platform,finished
MC0007,202505新品首发007,品牌日,2025-05-06 04:21:38,2025-05-23 04:21:38,577027.22,platform,finished
MC0008,202509限时秒杀008,会员专享,2025-09-02 09:38:19,2025-09-04 09:38:19,568924.08,platform,finished
MC0009,202508平台满减009,会员专享,2025-08-21 00:01:10,2025-08-23 00:01:10,627542.09,platform,finished
MC0010,202502品类日010,品牌日,2025-02-08 21:49:56,2025-02-18 21:49:56,153013.18,platform,finished
MC0011,202502会员专享011,会员专享,2025-02-22 05:32:48,2025-03-12 05:32:48,139123.25,store,finished
MC0012,202607限时秒杀012,限时秒杀,2026-07-07 20:38:15,2026-07-08 20:38:15,430142.14,store,finished
MC0013,202512品牌日013,品类日,2025-12-01 04:29:49,2025-12-05 04:29:49,126085.21,platform,finished
MC0014,202601新品首发014,新品首发,2026-01-04 05:14:28,2026-01-22 05:14:28,354170.04,joint,finished
MC0015,202608新品首发015,会员专享,2026-08-16 08:42:27,2026-08-19 08:42:27,795368.33,platform,finished
MC0016,202604会员专享016,品牌日,2026-04-18 02:17:36,2026-04-20 02:17:36,479793.25,store,finished
MC0017,202601限时秒杀017,平台满减,2026-01-23 15:56:09,2026-01-26 15:56:09,676591.85,store,finished
MC0018,202608品类日018,平台满减,2026-08-19 18:57:26,2026-08-22 23:59:59,541923.35,platform,active
MC0019,202503限时秒杀019,新品首发,2025-03-18 06:31:38,2025-03-28 06:31:38,625601.38,store,finished
MC0020,202505会员专享020,品类日,2025-05-16 23:32:44,2025-05-30 23:32:44,737621.1,platform,finished
MC0021,202511会员专享021,会员专享,2025-11-15 00:05:05,2025-11-29 00:05:05,276586.3,store,finished
MC0022,202601新品首发022,品类日,2026-01-09 04:04:32,2026-01-27 04:04:32,140820.72,store,finished
MC0023,202608限时秒杀023,品牌日,2026-08-21 21:23:30,2026-08-22 23:59:59,355172.51,store,active
MC0024,202512新品首发024,品牌日,2025-12-20 21:47:57,2026-01-01 21:47:57,59825.35,store,finished
MC0025,202511新品首发025,会员专享,2025-11-02 14:34:41,2025-11-07 14:34:41,515264.42,platform,finished
MC0026,202507平台满减026,平台满减,2025-07-10 07:20:39,2025-07-22 07:20:39,248802.88,store,finished
MC0027,202606平台满减027,新品首发,2026-06-19 04:13:47,2026-07-06 04:13:47,238655.58,store,finished
MC0028,202506品牌日028,品牌日,2025-06-08 19:44:26,2025-06-26 19:44:26,616686.82,joint,finished
MC0029,202606会员专享029,限时秒杀,2026-06-01 12:52:53,2026-06-19 12:52:53,133859.86,platform,finished
MC0030,202606品类日030,品牌日,2026-06-08 17:25:12,2026-06-23 17:25:12,112232.86,joint,finished
MC0031,202601新品首发031,品类日,2026-01-03 16:30:58,2026-01-08 16:30:58,168337.51,platform,finished
MC0032,202606限时秒杀032,平台满减,2026-06-27 17:50:13,2026-07-13 17:50:13,27018.43,platform,finished
MC0033,202510平台满减033,会员专享,2025-10-25 13:38:53,2025-11-06 13:38:53,655785.13,store,finished
MC0034,202605品类日034,品牌日,2026-05-28 00:40:22,2026-06-01 00:40:22,350273.05,store,finished
MC0035,202511平台满减035,新品首发,2025-11-10 21:35:42,2025-11-12 21:35:42,66419.38,store,finished
MC0036,202503平台满减036,限时秒杀,2025-03-16 07:43:35,2025-03-26 07:43:35,60036.3,store,finished
MC0037,202605品牌日037,新品首发,2026-05-29 22:09:56,2026-06-13 22:09:56,380648.1,platform,finished
MC0038,202606新品首发038,限时秒杀,2026-06-06 18:27:00,2026-06-21 18:27:00,574965.91,platform,finished
MC0039,202602限时秒杀039,平台满减,2026-02-01 18:46:49,2026-02-12 18:46:49,64389.74,platform,finished
MC0040,202507会员专享040,限时秒杀,2025-07-06 02:48:13,2025-07-20 02:48:13,546774.59,store,finished
MC0041,202608品牌日041,限时秒杀,2026-08-22 04:31:15,2026-08-22 23:59:59,484612.25,platform,active
MC0042,202607品类日042,新品首发,2026-07-25 19:24:11,2026-08-01 19:24:11,265008.92,store,finished
MC0043,202501平台满减043,会员专享,2025-01-09 00:23:14,2025-01-22 00:23:14,386112.62,platform,finished
MC0044,202501品类日044,品类日,2025-01-25 20:25:33,2025-02-08 20:25:33,761483.05,platform,finished
MC0045,202605平台满减045,品牌日,2026-05-16 23:46:27,2026-05-25 23:46:27,597826.74,platform,finished
