resource_id,cn_file_name,file_name,image_path,artist,album,category,updated_at
MR0001,星光小船,MR0001.mp3,public_third_part.jpeg,林间合唱团,晚安童谣,睡前,2026-01-08 10:20:00
MR0002,云朵旅行,MR0002.mp3,public_third_part.jpeg,青禾,自然儿歌,启蒙,2026-02-11 09:30:00
MR0003,小熊早安,MR0003.wav,xiaoxiongzaoan.jpeg,童声计划,快乐清晨,生活,2026-05-16 14:10:00
MR0004,月亮邮差,MR0004.mp3,public_third_part.jpeg,白帆,晚安童谣,睡前,2026-03-22 18:40:00
MR0005,森林音乐会,MR0005.mp3,senlinyinyuehui.jpeg,林间合唱团,动物乐园,自然,2026-06-09 11:25:00
MR0006,数字小火车,MR0006.mp3,public_third_part.jpeg,童声计划,快乐学习,启蒙,2026-04-03 16:15:00
MR0007,海边的风,MR0007.wav,haibiandefeng.jpeg,青禾,自然儿歌,自然,2026-07-12 13:05:00
MR0008,彩虹桥,MR0008.mp3,public_third_part.jpeg,橙子姐姐,想象世界,成长,2026-05-28 08:50:00
MR0009,晚安小星星,MR0009.mp3,wananxiaoxingxing.jpeg,白帆,晚安童谣,睡前,2026-07-30 20:10:00
MR0010,勇气气球,MR0010.mp3,public_third_part.jpeg,橙子姐姐,想象世界,成长,2026-06-18 15:45:00
MR0011,春天在哪里,MR0011.mp3,chuntianzainali.jpeg,童声计划,四季童谣,自然,2026-08-01 09:00:00
MR0012,礼貌歌,MR0012.wav,public_third_part.jpeg,可可老师,习惯养成,生活,2026-07-02 17:30:00
MR0013,洗手歌,MR0013.mp3,xishouge.jpeg,可可老师,习惯养成,生活,2026-07-19 12:00:00
MR0014,小小宇航员,MR0014.mp3,public_third_part.jpeg,星球乐队,科学幻想,科普,2026-08-05 10:35:00
MR0015,雪花舞会,MR0015.mp3,xuehuawuhui.jpeg,青禾,四季童谣,自然,2026-08-12 19:20:00
