point_transaction_id,user_id,change_type,point_delta,occurred_at,reference_no
PT00000001,U001503,refund_deduct,-472,2025-08-01 09:02:38,MOCK0011287
PT00000002,U002431,order_reward,201,2026-07-10 06:57:33,MOCK0011576
PT00000003,U004257,refund_deduct,-206,2026-03-18 21:41:08,MOCK0003438
PT00000004,U001720,order_reward,5,2026-08-02 03:28:27,MOCK0002015
PT00000005,U000564,refund_deduct,-199,2026-06-12 00:58:09,MOCK0005441
PT00000006,U003932,redeem,-166,2026-07-17 23:32:25,MOCK0007784
PT00000007,U004367,redeem,-618,2025-04-05 08:11:02,MOCK0010919
PT00000008,U002336,order_reward,300,2025-04-01 05:08:59,MOCK0005849
PT00000009,U001933,order_reward,408,2026-05-28 12:09:46,MOCK0011365
PT00000010,U004149,order_reward,220,2026-08-13 23:15:58,MOCK0003717
PT00000011,U001060,redeem,-41,2025-02-09 13:45:52,MOCK0005366
PT00000012,U004360,redeem,-602,2025-11-08 15:30:35,MOCK0006597
PT00000013,U000388,expire,-107,2026-03-01 05:35:24,MOCK0008878
PT00000014,U003867,campaign_reward,788,2025-11-25 06:11:50,MOCK0008334
PT00000015,U003838,refund_deduct,-226,2025-07-14 06:07:22,MOCK0003847
PT00000016,U001553,redeem,-87,2026-06-08 08:08:20,MOCK0009969
PT00000017,U001082,campaign_reward,205,2025-11-23 18:33:37,MOCK0009178
PT00000018,U003786,redeem,-44,2025-11-21 13:45:51,MOCK0003565
PT00000019,U002079,order_reward,169,2026-04-30 07:31:05,MOCK0006450
PT00000020,U004994,order_reward,436,2026-05-22 14:11:36,MOCK0006182
PT00000021,U004000,order_reward,76,2025-06-19 11:54:57,MOCK0011567
PT00000022,U003689,expire,-601,2025-12-15 09:51:01,MOCK0006816
PT00000023,U001797,order_reward,498,2025-03-01 12:34:04,MOCK0002035
PT00000024,U003497,order_reward,269,2026-01-30 10:01:44,MOCK0006674
PT00000025,U000424,order_reward,618,2026-04-18 23:07:10,MOCK0002508
PT00000026,U002030,redeem,-89,2025-08-15 05:23:51,MOCK0005887
PT00000027,U003000,order_reward,650,2025-04-02 07:08:07,MOCK0010726
PT00000028,U004120,refund_deduct,-598,2026-02-17 12:39:25,MOCK0000254
PT00000029,U001399,redeem,-276,2026-01-30 02:07:37,MOCK0010832
PT00000030,U001098,order_reward,753,2025-08-15 09:34:13,MOCK0009831
PT00000031,U003139,order_reward,646,2025-04-05 03:04:31,MOCK0008474
PT00000032,U003873,order_reward,767,2025-04-03 19:09:10,MOCK0004970
PT00000033,U002111,order_reward,678,2026-03-05 18:04:14,MOCK0008117
PT00000034,U004816,campaign_reward,448,2026-06-09 03:18:55,MOCK0007850
PT00000035,U004033,redeem,-685,2025-06-02 16:16:00,MOCK0010265
PT00000036,U000239,refund_deduct,-360,2026-01-03 12:14:27,MOCK0007383
PT00000037,U001763,refund_deduct,-373,2026-03-01 07:13:53,MOCK0001163
PT00000038,U002786,order_reward,88,2025-04-02 18:49:35,MOCK0007414
PT00000039,U003424,order_reward,544,2025-08-17 10:24:50,MOCK0011303
PT00000040,U003690,redeem,-657,2025-01-28 11:40:10,MOCK0000473
PT00000041,U003662,redeem,-624,2025-02-08 05:19:22,MOCK0006098
PT00000042,U003312,campaign_reward,532,2025-05-17 10:59:44,MOCK0002121
PT00000043,U004236,order_reward,457,2026-06-29 16:33:14,MOCK0004391
PT00000044,U001389,refund_deduct,-46,2025-01-27 18:01:20,MOCK0006339
PT00000045,U003114,redeem,-296,2025-09-01 11:07:18,MOCK0011828
PT00000046,U000802,redeem,-651,2026-08-02 05:31:11,MOCK0010810
PT00000047,U001554,redeem,-119,2026-05-13 02:06:26,MOCK0010748
PT00000048,U004581,refund_deduct,-572,2026-06-26 00:12:15,MOCK0004123
PT00000049,U001352,order_reward,231,2025-12-10 15:05:35,MOCK0007866
PT00000050,U002675,redeem,-381,2025-12-06 17:12:27,MOCK0008034
PT00000051,U004864,campaign_reward,492,2026-08-18 01:46:49,MOCK0009317
PT00000052,U002806,refund_deduct,-764,2025-03-11 12:55:37,MOCK0001596
PT00000053,U004943,order_reward,654,2026-06-20 10:48:56,MOCK0004543
PT00000054,U003973,order_reward,479,2025-07-22 09:04:51,MOCK0005531
PT00000055,U003240,campaign_reward,449,2025-01-12 06:12:18,MOCK0000218
PT00000056,U000273,order_reward,331,2025-03-28 06:32:58,MOCK0009863
PT00000057,U002322,order_reward,532,2025-09-30 18:22:12,MOCK0008513
PT00000058,U004559,redeem,-488,2025-11-30 10:52:24,MOCK0009290
PT00000059,U001741,order_reward,702,2025-01-21 09:48:57,MOCK0006121
PT00000060,U003185,expire,-369,2026-08-22 08:12:31,MOCK0003722
PT00000061,U001798,order_reward,62,2025-11-05 12:26:09,MOCK0006859
PT00000062,U001369,order_reward,755,2026-08-04 19:29:07,MOCK0008027
PT00000063,U001408,order_reward,7,2025-07-10 08:00:46,MOCK0010380
PT00000064,U002724,order_reward,182,2025-09-11 20:32:31,MOCK0006934
PT00000065,U000014,refund_deduct,-576,2025-03-13 03:54:45,MOCK0002343
PT00000066,U002051,order_reward,611,2025-11-27 05:33:58,MOCK0005517
PT00000067,U000335,refund_deduct,-732,2026-06-30 16:36:37,MOCK0009896
PT00000068,U000590,refund_deduct,-313,2026-02-20 16:08:47,MOCK0000323
PT00000069,U002363,refund_deduct,-511,2025-05-06 02:22:57,MOCK0003934
PT00000070,U004536,refund_deduct,-602,2026-05-04 08:38:37,MOCK0007211
PT00000071,U002600,order_reward,565,2025-10-16 03:53:08,MOCK0000208
PT00000072,U002519,refund_deduct,-264,2026-03-25 07:18:52,MOCK0011479
PT00000073,U002493,order_reward,756,2025-03-23 21:41:57,MOCK0011560
PT00000074,U004783,order_reward,527,2026-06-25 04:59:31,MOCK0003210
PT00000075,U002843,order_reward,237,2025-10-02 08:58:32,MOCK0011359
PT00000076,U002771,campaign_reward,334,2025-07-21 18:09:10,MOCK0003908
PT00000077,U004836,refund_deduct,-475,2025-12-18 04:33:41,MOCK0003680
PT00000078,U003323,campaign_reward,703,2026-07-06 05:02:00,MOCK0003266
PT00000079,U003516,expire,-222,2026-05-10 16:08:28,MOCK0008961
PT00000080,U004262,redeem,-29,2025-11-13 14:32:38,MOCK0000098
PT00000081,U000558,order_reward,384,2025-03-31 03:26:17,MOCK0009306
PT00000082,U003031,refund_deduct,-713,2025-11-21 00:44:19,MOCK0005756
PT00000083,U003131,campaign_reward,131,2026-04-21 02:31:41,MOCK0011855
PT00000084,U003462,order_reward,194,2026-06-07 17:48:18,MOCK0003777
PT00000085,U001736,refund_deduct,-574,2026-01-17 12:27:40,MOCK0007993
PT00000086,U002759,order_reward,88,2025-11-13 16:43:22,MOCK0008154
PT00000087,U001518,order_reward,452,2025-01-10 16:48:37,MOCK0010870
PT00000088,U001996,campaign_reward,389,2025-07-17 11:58:18,MOCK0008684
PT00000089,U003418,campaign_reward,558,2026-02-12 19:45:15,MOCK0004609
PT00000090,U002565,refund_deduct,-463,2025-01-29 07:32:44,MOCK0001078
PT00000091,U001131,order_reward,794,2026-07-11 01:08:04,MOCK0011157
PT00000092,U002470,order_reward,420,2026-05-03 16:24:31,MOCK0005444
PT00000093,U001610,order_reward,698,2025-02-11 03:32:13,MOCK0006616
PT00000094,U004701,order_reward,180,2025-08-06 11:50:13,MOCK0000691
PT00000095,U003027,order_reward,520,2025-12-08 23:43:45,MOCK0001570
PT00000096,U000536,campaign_reward,767,2025-08-30 04:58:08,MOCK0005446
PT00000097,U000424,campaign_reward,764,2025-07-18 16:22:58,MOCK0010443
PT00000098,U002235,order_reward,734,2025-03-17 22:36:53,MOCK0006674
PT00000099,U004070,campaign_reward,662,2026-04-03 19:19:10,MOCK0008637
PT00000100,U004770,expire,-219,2026-05-05 00:06:08,MOCK0002498
PT00000101,U002803,redeem,-386,2025-05-30 21:32:39,MOCK0005438
PT00000102,U002923,redeem,-159,2025-03-08 18:56:21,MOCK0007197
PT00000103,U003740,order_reward,98,2026-05-14 22:12:19,MOCK0002141
PT00000104,U003529,redeem,-240,2025-10-06 02:35:38,MOCK0001930
PT00000105,U004623,campaign_reward,341,2025-07-23 22:36:31,MOCK0003922
PT00000106,U004865,order_reward,101,2025-09-27 02:31:18,MOCK0004422
PT00000107,U000782,redeem,-194,2025-09-19 06:56:41,MOCK0005303
PT00000108,U002392,redeem,-275,2026-07-07 10:21:37,MOCK0004688
PT00000109,U003006,redeem,-112,2025-10-12 03:09:54,MOCK0009475
PT00000110,U004501,order_reward,693,2025-08-18 02:40:31,MOCK0002026
PT00000111,U001519,order_reward,251,2025-11-19 07:17:38,MOCK0009861
PT00000112,U000695,redeem,-748,2026-05-01 17:02:21,MOCK0003704
PT00000113,U004615,order_reward,611,2025-11-12 19:52:56,MOCK0007124
PT00000114,U004051,order_reward,101,2025-03-25 12:49:38,MOCK0004499
PT00000115,U004022,expire,-518,2025-07-21 03:00:45,MOCK0010000
PT00000116,U001722,order_reward,115,2026-02-22 19:14:40,MOCK0002409
PT00000117,U001830,order_reward,16,2025-12-17 17:43:05,MOCK0001095
PT00000118,U001392,redeem,-361,2025-08-16 16:09:27,MOCK0005789
PT00000119,U004236,order_reward,314,2026-02-09 05:20:36,MOCK0008269
PT00000120,U004366,redeem,-429,2025-01-14 06:59:26,MOCK0006360
PT00000121,U003100,redeem,-744,2025-05-19 01:55:17,MOCK0007052
PT00000122,U004252,redeem,-82,2026-07-30 22:55:38,MOCK0002859
PT00000123,U000337,redeem,-166,2026-05-24 22:37:06,MOCK0003462
PT00000124,U002976,campaign_reward,780,2025-06-16 02:16:21,MOCK0003972
PT00000125,U003435,order_reward,500,2025-05-17 12:09:17,MOCK0011250
PT00000126,U004304,order_reward,32,2025-11-14 05:18:55,MOCK0011880
PT00000127,U001792,order_reward,294,2026-01-06 09:24:38,MOCK0007090
PT00000128,U001563,campaign_reward,780,2025-04-12 00:41:17,MOCK0009569
PT00000129,U002891,order_reward,464,2026-03-10 07:13:45,MOCK0007911
PT00000130,U002559,redeem,-619,2025-11-12 03:56:14,MOCK0001376
PT00000131,U002606,campaign_reward,29,2025-12-07 23:06:40,MOCK0003154
PT00000132,U002719,order_reward,650,2026-02-24 17:21:58,MOCK0011034
PT00000133,U002245,redeem,-576,2025-03-24 21:36:13,MOCK0002514
PT00000134,U004766,redeem,-539,2026-06-26 00:55:15,MOCK0010688
PT00000135,U000667,order_reward,389,2025-09-26 14:52:38,MOCK0002688
PT00000136,U001186,campaign_reward,140,2025-09-18 07:53:57,MOCK0010611
PT00000137,U003624,redeem,-6,2025-10-03 12:54:12,MOCK0003486
PT00000138,U001099,order_reward,678,2026-04-03 10:29:53,MOCK0001362
PT00000139,U003284,campaign_reward,337,2026-02-09 15:25:19,MOCK0003751
PT00000140,U000757,order_reward,341,2025-10-04 14:30:46,MOCK0003600
PT00000141,U003503,campaign_reward,49,2026-01-02 20:43:21,MOCK0006124
PT00000142,U003415,campaign_reward,387,2025-03-10 14:36:33,MOCK0008068
PT00000143,U000905,order_reward,562,2025-05-07 13:52:06,MOCK0004617
PT00000144,U004592,order_reward,732,2025-08-26 09:16:48,MOCK0004581
PT00000145,U001951,order_reward,29,2025-01-08 14:18:16,MOCK0009339
PT00000146,U002644,campaign_reward,562,2025-11-27 14:04:20,MOCK0003357
PT00000147,U002825,refund_deduct,-693,2025-01-18 23:48:02,MOCK0004996
PT00000148,U000055,order_reward,610,2025-06-07 15:18:48,MOCK0001279
PT00000149,U000179,order_reward,453,2025-09-17 11:00:36,MOCK0010420
PT00000150,U003649,order_reward,378,2026-03-15 16:01:41,MOCK0007313
PT00000151,U004928,order_reward,506,2025-06-13 18:44:42,MOCK0005256
PT00000152,U004033,order_reward,297,2025-08-06 05:05:48,MOCK0011021
PT00000153,U003544,order_reward,500,2025-08-08 13:58:03,MOCK0000886
PT00000154,U003915,redeem,-58,2025-09-22 02:54:50,MOCK0000710
PT00000155,U001829,redeem,-712,2025-04-04 15:52:37,MOCK0002325
PT00000156,U000773,campaign_reward,595,2025-06-10 05:11:36,MOCK0002207
PT00000157,U003831,order_reward,143,2025-09-27 10:10:36,MOCK0003585
PT00000158,U001136,order_reward,371,2026-04-09 16:00:49,MOCK0009245
PT00000159,U001362,redeem,-723,2025-05-19 09:26:02,MOCK0005082
PT00000160,U000444,order_reward,109,2025-05-18 00:43:31,MOCK0004895
PT00000161,U003732,expire,-217,2025-06-20 05:15:06,MOCK0003747
PT00000162,U000644,refund_deduct,-439,2025-10-09 05:47:29,MOCK0003996
PT00000163,U001128,refund_deduct,-531,2026-03-28 17:31:14,MOCK0011873
PT00000164,U004377,campaign_reward,673,2026-07-22 07:02:08,MOCK0007253
PT00000165,U001074,redeem,-430,2025-11-08 01:04:29,MOCK0003637
PT00000166,U001176,redeem,-609,2025-05-12 01:07:34,MOCK0009629
PT00000167,U003033,campaign_reward,321,2026-03-07 12:16:16,MOCK0011290
PT00000168,U002250,campaign_reward,208,2025-11-27 10:17:22,MOCK0002473
PT00000169,U002521,campaign_reward,700,2026-01-20 15:39:06,MOCK0007659
PT00000170,U003616,order_reward,107,2025-05-23 12:29:03,MOCK0003980
PT00000171,U000078,order_reward,120,2025-02-22 14:17:26,MOCK0009434
PT00000172,U001574,order_reward,611,2025-02-24 16:36:57,MOCK0011714
PT00000173,U004068,redeem,-252,2026-07-11 14:18:37,MOCK0011551
PT00000174,U003781,order_reward,568,2025-08-13 11:53:25,MOCK0011496
PT00000175,U004782,order_reward,290,2025-09-14 23:41:18,MOCK0007622
PT00000176,U004800,order_reward,349,2025-09-14 16:24:35,MOCK0005868
PT00000177,U002108,redeem,-256,2026-06-17 22:29:16,MOCK0008787
PT00000178,U001188,redeem,-500,2026-03-31 19:16:24,MOCK0005253
PT00000179,U001246,expire,-388,2026-06-05 19:02:40,MOCK0008388
PT00000180,U004942,order_reward,521,2025-06-24 06:17:31,MOCK0001982
PT00000181,U001463,redeem,-356,2025-03-13 12:29:09,MOCK0006688
PT00000182,U003195,order_reward,148,2025-05-28 02:03:16,MOCK0008579
PT00000183,U003447,order_reward,568,2025-05-02 01:40:18,MOCK0007171
PT00000184,U004618,campaign_reward,691,2026-02-08 17:35:46,MOCK0006949
PT00000185,U004621,expire,-617,2025-01-25 04:34:04,MOCK0007210
PT00000186,U000929,order_reward,510,2026-02-27 02:33:03,MOCK0006322
PT00000187,U002981,campaign_reward,88,2026-01-05 05:51:00,MOCK0005545
PT00000188,U002575,expire,-603,2025-07-02 17:00:49,MOCK0007379
PT00000189,U001072,refund_deduct,-383,2025-10-16 19:26:03,MOCK0007357
PT00000190,U001540,order_reward,645,2025-12-13 18:57:56,MOCK0004711
PT00000191,U002384,order_reward,209,2025-11-24 15:05:36,MOCK0002448
PT00000192,U001185,redeem,-142,2025-10-25 12:45:50,MOCK0002856
PT00000193,U002141,order_reward,427,2025-07-28 20:13:55,MOCK0003594
PT00000194,U000992,expire,-678,2026-07-10 09:42:29,MOCK0001372
PT00000195,U002222,refund_deduct,-625,2026-04-11 12:39:28,MOCK0000988
PT00000196,U003617,refund_deduct,-487,2025-07-31 16:44:45,MOCK0004742
PT00000197,U001894,order_reward,767,2025-12-11 14:21:47,MOCK0008230
PT00000198,U004216,order_reward,468,2026-02-28 15:11:02,MOCK0000849
PT00000199,U003364,order_reward,61,2025-06-20 01:49:13,MOCK0001130
PT00000200,U001565,refund_deduct,-735,2025-12-04 03:46:26,MOCK0005973
PT00000201,U004771,campaign_reward,139,2026-07-29 11:55:55,MOCK0000459
PT00000202,U004457,campaign_reward,655,2025-02-16 11:47:19,MOCK0000452
PT00000203,U004722,refund_deduct,-100,2026-03-12 02:40:26,MOCK0005998
PT00000204,U000185,redeem,-712,2026-05-25 00:25:24,MOCK0003631
PT00000205,U004282,campaign_reward,573,2025-11-12 03:44:50,MOCK0004551
PT00000206,U001587,campaign_reward,221,2025-04-17 18:02:54,MOCK0003548
PT00000207,U002041,expire,-542,2025-12-31 18:56:38,MOCK0006173
PT00000208,U004493,order_reward,585,2025-10-03 21:55:24,MOCK0000233
PT00000209,U001930,order_reward,720,2026-02-21 05:59:24,MOCK0001273
PT00000210,U000231,campaign_reward,334,2026-06-22 16:03:41,MOCK0002244
PT00000211,U002022,campaign_reward,139,2026-04-20 04:35:34,MOCK0009781
PT00000212,U001316,redeem,-431,2025-01-01 05:51:59,MOCK0002492
PT00000213,U001354,redeem,-164,2026-03-25 01:31:17,MOCK0006420
PT00000214,U002007,order_reward,795,2025-11-20 04:07:26,MOCK0005876
PT00000215,U003847,campaign_reward,669,2026-08-08 18:58:19,MOCK0011841
PT00000216,U003121,order_reward,507,2026-01-23 15:57:57,MOCK0002836
PT00000217,U002395,refund_deduct,-100,2026-05-16 09:31:31,MOCK0006936
PT00000218,U002398,order_reward,154,2025-03-11 08:01:44,MOCK0001881
PT00000219,U001919,order_reward,732,2025-09-01 09:09:07,MOCK0007568
PT00000220,U001190,campaign_reward,289,2026-02-18 23:06:55,MOCK0006285
PT00000221,U004782,campaign_reward,541,2025-10-15 09:08:40,MOCK0002509
PT00000222,U003929,order_reward,194,2025-01-04 10:18:03,MOCK0003146
PT00000223,U001784,order_reward,493,2026-06-22 16:59:19,MOCK0010325
PT00000224,U002183,campaign_reward,411,2025-01-05 02:43:52,MOCK0003163
PT00000225,U002363,order_reward,41,2026-04-30 19:49:07,MOCK0001218
