order_item_id,order_id,product_id,sku_id,quantity,unit_price,discount_amount,paid_amount,cost_amount
OI000000001,O00000001,P000687,SKU0001373,1,1178.39,72.89,1105.5,829.72
OI000000002,O00000001,P001007,SKU0002013,1,1975.52,24.47,1951.05,1139.59
OI000000003,O00000001,P000447,SKU0000894,1,1115.32,29.56,1085.76,613.89
OI000000004,O00000002,P000529,SKU0001058,2,678.71,47.35,1310.07,941.42
OI000000005,O00000002,P001249,SKU0002498,1,1785.16,84.23,1700.93,1106.24
OI000000006,O00000003,P000077,SKU0000153,1,2590.59,417.59,2173.0,1317.53
OI000000007,O00000004,P000378,SKU0000756,1,636.2,68.87,567.33,412.03
OI000000008,O00000004,P000058,SKU0000116,2,1327.64,408.27,2247.01,1664.28
OI000000009,O00000004,P000858,SKU0001716,1,1709.05,59.93,1649.12,901.13
OI000000010,O00000005,P000194,SKU0000387,1,2400.47,157.39,2243.08,1566.58
OI000000011,O00000006,P000934,SKU0001867,1,2799.4,124.37,2675.03,1519.84
OI000000012,O00000007,P000133,SKU0000266,1,2098.85,32.31,2066.54,1270.72
OI000000013,O00000008,P000419,SKU0000838,1,797.9,4.07,793.83,419.65
OI000000014,O00000008,P000419,SKU0000838,1,827.53,42.35,785.18,419.65
OI000000015,O00000009,P000500,SKU0001000,1,1836.8,192.87,1643.93,1024.13
OI000000016,O00000010,P001262,SKU0002524,2,1439.12,335.07,2543.17,1626.28
OI000000017,O00000010,P000702,SKU0001403,1,1519.35,253.86,1265.49,1141.33
OI000000018,O00000011,P000629,SKU0001257,1,1016.81,164.11,852.7,808.32
OI000000019,O00000012,P001480,SKU0002960,1,3012.14,96.1,2916.04,2073.82
OI000000020,O00000013,P001069,SKU0002137,1,82.98,8.16,74.82,49.95
OI000000021,O00000013,P000109,SKU0000218,1,270.66,9.98,260.68,129.96
OI000000022,O00000014,P000781,SKU0001562,1,128.47,12.82,115.65,94.81
OI000000023,O00000015,P000261,SKU0000522,1,420.16,56.43,363.73,240.73
OI000000024,O00000016,P001118,SKU0002236,3,1379.85,150.26,3989.29,2362.62
OI000000025,O00000016,P000878,SKU0001756,1,2691.23,249.94,2441.29,1331.38
OI000000026,O00000017,P001234,SKU0002468,1,1550.4,19.01,1531.39,1052.17
OI000000027,O00000018,P001071,SKU0002142,1,2192.0,191.72,2000.28,1309.72
OI000000028,O00000019,P000933,SKU0001866,1,724.56,54.75,669.81,521.08
OI000000029,O00000019,P001493,SKU0002985,1,775.05,83.23,691.82,446.75
OI000000030,O00000020,P000106,SKU0000212,2,2809.0,691.97,4926.03,4461.92
OI000000031,O00000021,P001300,SKU0002600,1,2400.11,91.84,2308.27,1464.94
OI000000032,O00000021,P001140,SKU0002280,2,2133.62,80.25,4186.99,2438.1
OI000000033,O00000022,P000393,SKU0000786,2,759.71,158.89,1360.53,767.46
OI000000034,O00000022,P000473,SKU0000946,1,1105.89,198.46,907.43,593.46
OI000000035,O00000022,P000313,SKU0000626,2,2286.58,191.11,4382.05,2488.5
OI000000036,O00000022,P000713,SKU0001426,1,693.36,74.51,618.85,350.22
OI000000037,O00000023,P001345,SKU0002689,1,1447.31,34.03,1413.28,795.56
OI000000038,O00000023,P000385,SKU0000770,4,1216.55,716.64,4149.56,3090.28
OI000000039,O00000023,P001345,SKU0002690,1,1628.44,114.47,1513.97,991.9
OI000000040,O00000024,P001345,SKU0002689,1,1392.6,103.66,1288.94,795.56
OI000000041,O00000024,P000305,SKU0000609,1,3127.85,55.04,3072.81,1896.35
OI000000042,O00000025,P000983,SKU0001965,1,2243.4,247.07,1996.33,1484.59
OI000000043,O00000026,P000914,SKU0001827,1,484.39,57.04,427.35,290.22
OI000000044,O00000026,P000354,SKU0000707,1,1517.17,120.37,1396.8,924.0
OI000000045,O00000027,P000331,SKU0000662,2,3169.77,951.39,5388.15,3333.0
OI000000046,O00000028,P000643,SKU0001286,2,2948.95,483.55,5414.35,4438.42
OI000000047,O00000029,P000526,SKU0001052,2,1192.71,59.34,2326.08,1819.36
OI000000048,O00000029,P001406,SKU0002811,1,773.6,45.5,728.1,513.1
OI000000049,O00000029,P000606,SKU0001212,1,1494.41,186.65,1307.76,826.92
OI000000050,O00000029,P001166,SKU0002331,1,1459.11,259.63,1199.48,1119.25
