order_id,user_id,store_id,channel_id,ordered_at,order_status,item_amount,discount_amount,shipping_fee,payable_amount,paid_amount,region,province,city
O00000001,U001070,S0047,CH03,2025-08-12 09:48:09,completed,4269.23,126.92,0,4142.31,4142.31,华东,江苏,南京
O00000002,U001964,S0049,CH07,2026-04-06 02:40:38,completed,3142.58,131.58,0,3011.0,3011.0,华北,山西,太原
O00000003,U003339,S0077,CH06,2026-06-25 06:40:58,completed,2590.59,417.59,0,2173.0,2173.0,华东,山东,青岛
O00000004,U000792,S0058,CH06,2026-08-11 16:10:05,cancelled,5000.53,537.07,0,4463.46,0,华北,河北,石家庄
O00000005,U004228,S0034,CH04,2025-09-15 00:59:15,completed,2400.47,157.39,0,2243.08,2243.08,华北,天津,天津
O00000006,U002108,S0054,CH04,2026-08-06 07:25:27,completed,2799.4,124.37,0,2675.03,2675.03,华东,上海,上海
O00000007,U003082,S0053,CH09,2025-11-21 01:53:06,completed,2098.85,32.31,0,2066.54,2066.54,华东,山东,青岛
O00000008,U002787,S0019,CH01,2025-04-13 23:03:33,cancelled,1625.43,46.42,0,1579.01,0,华中,湖北,武汉
O00000009,U001489,S0020,CH02,2025-04-07 17:02:18,completed,1836.8,192.87,0,1643.93,1643.93,华东,江苏,南京
O00000010,U004234,S0062,CH01,2025-08-05 19:45:48,completed,4397.59,588.93,0,3808.66,3808.66,华北,北京,北京
O00000011,U003453,S0069,CH02,2026-03-23 08:25:51,shipped,1016.81,164.11,0,852.7,852.7,华北,河北,石家庄
O00000012,U000252,S0040,CH03,2026-02-01 01:27:37,completed,3012.14,96.1,0,2916.04,2916.04,华北,天津,天津
O00000013,U004167,S0029,CH01,2025-07-25 23:49:53,completed,353.64,18.14,0,335.5,335.5,华北,河北,石家庄
O00000014,U000951,S0061,CH11,2025-01-22 18:10:45,completed,128.47,12.82,0,115.65,115.65,华北,天津,天津
O00000015,U004907,S0021,CH04,2026-05-20 21:40:15,completed,420.16,56.43,0,363.73,363.73,华东,山东,青岛
O00000016,U001747,S0078,CH03,2025-03-18 04:00:25,completed,6830.78,400.2,0,6430.58,6430.58,华南,广西,南宁
O00000017,U004421,S0034,CH06,2025-12-23 23:16:16,completed,1550.4,19.01,0,1531.39,1531.39,华北,北京,北京
O00000018,U001986,S0031,CH02,2026-03-07 02:00:30,cancelled,2192.0,191.72,0,2000.28,0,华中,湖南,长沙
O00000019,U004672,S0053,CH01,2025-11-15 02:59:09,completed,1499.61,137.98,0,1361.63,1361.63,华南,广东,广州
O00000020,U001561,S0026,CH03,2025-06-12 15:18:11,completed,5618.0,691.97,0,4926.03,4926.03,华中,湖北,武汉
O00000021,U000116,S0020,CH07,2025-09-17 12:33:44,completed,6667.35,172.09,0,6495.26,6495.26,华中,湖南,长沙
O00000022,U002657,S0073,CH03,2026-07-18 06:07:46,completed,7891.83,622.97,0,7268.86,7268.86,华南,广东,深圳
O00000023,U001748,S0065,CH10,2025-06-29 11:51:55,completed,7941.95,865.14,0,7076.81,7076.81,华南,广西,南宁
