view_id,session_id,user_id,page_type,product_id,source_position,viewed_at,stay_seconds,scroll_depth
PV000000001,SES00007540,U002468,category,,recommendation,2025-02-06 02:18:57,202,0.4749
PV000000002,SES00014986,U004962,search,,recommendation,2025-02-14 04:06:10,27,0.8525
PV000000003,SES00003013,,home,,recommendation,2025-06-12 21:50:03,196,0.9542
PV000000004,SES00001288,,home,,recommendation,2025-12-09 00:10:27,161,0.8078
PV000000005,SES00002404,U002263,category,,recommendation,2026-06-11 06:45:46,161,0.5003
PV000000006,SES00007067,U002761,product,P000049,banner,2026-06-30 14:29:01,31,0.8117
PV000000007,SES00006543,U002178,home,,recommendation,2025-03-28 01:13:58,111,0.5429
PV000000008,SES00019744,U004667,product,P001355,search,2025-02-26 09:35:13,180,0.6051
PV000000009,SES00014345,U000251,search,,search,2025-06-10 16:01:25,173,0.1447
PV000000010,SES00008619,U002973,category,,search,2025-11-04 00:50:24,187,0.439
PV000000011,SES00012881,U003031,category,,recommendation,2026-02-03 19:20:47,156,0.0932
PV000000012,SES00016625,U000636,home,,recommendation,2025-09-05 02:40:31,141,0.7792
PV000000013,SES00019311,U002522,category,,recommendation,2026-05-17 01:33:31,62,0.3831
PV000000014,SES00007120,U003415,campaign,,search,2025-12-16 17:14:57,232,0.5271
PV000000015,SES00009358,U000066,product,P000634,search,2026-01-13 00:17:53,12,0.1214
PV000000016,SES00006868,U004079,product,P001119,category,2025-03-10 10:58:09,11,0.5056
PV000000017,SES00019349,U003123,campaign,,category,2025-03-22 04:53:11,193,0.077
PV000000018,SES00019573,U003479,search,,banner,2026-08-07 02:15:07,157,0.7348
PV000000019,SES00016452,U003938,cart,,search,2026-05-19 05:33:17,5,0.665
PV000000020,SES00017784,U001881,product,P001375,direct,2025-11-13 00:05:31,210,0.9182
PV000000021,SES00002391,U001652,category,,recommendation,2026-06-21 13:22:11,62,0.099
PV000000022,SES00019537,U004238,product,P000561,recommendation,2025-03-15 22:39:50,151,0.437
PV000000023,SES00005523,U004662,home,,category,2026-07-25 03:45:16,85,0.4097
PV000000024,SES00001167,U004277,product,P000165,search,2025-06-18 03:26:49,44,0.1458
PV000000025,SES00013265,U000659,product,P001026,direct,2025-04-06 08:03:54,22,0.8345
PV000000026,SES00016977,U003662,product,P000202,search,2026-04-21 17:55:16,111,0.0462
PV000000027,SES00001799,U001654,product,P001012,search,2025-02-15 01:05:38,3,0.0605
PV000000028,SES00019104,U000847,home,,direct,2026-08-14 03:58:52,214,0.7638
PV000000029,SES00015360,U001879,product,P000599,banner,2026-05-30 15:24:41,94,0.1188
PV000000030,SES00000171,U004388,product,P000790,direct,2025-01-17 15:11:34,39,0.3519
PV000000031,SES00003901,U002601,category,,recommendation,2025-02-28 01:00:44,79,0.5521
PV000000032,SES00018757,U002309,home,,banner,2026-05-13 18:44:55,163,0.9892
PV000000033,SES00014490,U002423,product,P000307,direct,2025-11-06 21:08:22,134,0.0334
PV000000034,SES00019303,U003863,category,,recommendation,2025-11-21 22:54:51,174,0.3357
PV000000035,SES00006579,U002894,category,,recommendation,2025-03-18 09:06:28,45,0.7789
PV000000036,SES00007298,U003149,product,P000608,category,2026-07-28 03:33:40,161,0.3412
PV000000037,SES00019838,U002200,home,,recommendation,2025-09-27 11:35:04,118,0.6833
PV000000038,SES00019248,U000108,home,,search,2026-06-01 15:24:08,225,0.5798
PV000000039,SES00019548,U001957,product,P000589,recommendation,2026-07-23 17:14:34,165,0.9616
PV000000040,SES00009625,,search,,category,2025-01-02 12:19:17,206,0.4055
PV000000041,SES00013080,U002883,category,,banner,2026-05-07 01:02:20,89,0.1519
PV000000042,SES00001230,U001390,home,,category,2026-03-12 01:17:25,180,0.7659
PV000000043,SES00008602,U002751,search,,search,2026-03-28 20:17:01,221,0.936
PV000000044,SES00017585,U000136,product,P001050,direct,2026-04-28 01:02:17,195,0.3654
PV000000045,SES00008798,U003500,product,P000272,search,2025-02-28 18:09:59,122,0.9896
PV000000046,SES00011187,U004682,product,P000165,search,2026-07-12 22:45:31,190,0.344
PV000000047,SES00008901,U004204,search,,recommendation,2026-06-16 09:35:43,141,0.5122
PV000000048,SES00002508,U003887,home,,category,2025-11-16 22:31:10,34,0.9227
PV000000049,SES00012562,U003696,cart,,search,2025-11-09 08:48:20,62,0.343
PV000000050,SES00019086,U002464,campaign,,category,2026-01-29 04:05:21,185,0.7105
PV000000051,SES00004032,U001499,cart,,direct,2026-01-29 12:54:36,217,0.1959
PV000000052,SES00002006,U002965,campaign,,category,2025-05-06 16:53:10,203,0.0197
PV000000053,SES00003524,U000150,home,,recommendation,2025-12-25 16:00:16,68,0.9559
PV000000054,SES00001183,U002334,product,P000064,search,2026-03-09 00:34:32,136,0.1512
PV000000055,SES00014658,U000893,home,,recommendation,2026-08-02 16:48:41,23,0.807
PV000000056,SES00010048,U001547,search,,recommendation,2026-08-21 01:31:14,140,0.9158
