payment_id,order_id,user_id,payment_method,payment_amount,payment_status,paid_at,transaction_no
PAY00000001,O00000001,U001070,wechat,4142.31,success,2025-08-12 10:53:09,MOCKTX0000000001
PAY00000002,O00000002,U001964,wallet,3011.0,success,2026-04-06 04:02:38,MOCKTX0000000002
PAY00000003,O00000003,U003339,alipay,2173.0,success,2026-06-25 07:41:58,MOCKTX0000000003
PAY00000004,O00000005,U004228,bank_card,2243.08,success,2025-09-15 01:53:15,MOCKTX0000000004
PAY00000005,O00000006,U002108,alipay,2675.03,success,2026-08-06 07:33:27,MOCKTX0000000005
PAY00000006,O00000007,U003082,alipay,2066.54,success,2025-11-21 03:22:06,MOCKTX0000000006
PAY00000007,O00000007,U003082,alipay,2066.54,failed,2025-11-21 03:20:06,MOCKTX0000000007
PAY00000008,O00000009,U001489,alipay,1643.93,success,2025-04-07 17:26:18,MOCKTX0000000008
PAY00000009,O00000010,U004234,alipay,3808.66,success,2025-08-05 20:41:48,MOCKTX0000000009
PAY00000010,O00000011,U003453,wallet,852.7,success,2026-03-23 09:25:51,MOCKTX0000000010
PAY00000011,O00000011,U003453,alipay,852.7,failed,2026-03-23 09:23:51,MOCKTX0000000011
PAY00000012,O00000012,U000252,wechat,2916.04,success,2026-02-01 02:32:37,MOCKTX0000000012
PAY00000013,O00000013,U004167,alipay,335.5,success,2025-07-26 01:03:53,MOCKTX0000000013
PAY00000014,O00000014,U000951,alipay,115.65,success,2025-01-22 19:38:45,MOCKTX0000000014
PAY00000015,O00000015,U004907,wechat,363.73,success,2026-05-20 22:09:15,MOCKTX0000000015
PAY00000016,O00000016,U001747,wechat,6430.58,success,2025-03-18 04:42:25,MOCKTX0000000016
PAY00000017,O00000017,U004421,wallet,1531.39,success,2025-12-24 00:43:16,MOCKTX0000000017
PAY00000018,O00000019,U004672,bank_card,1361.63,success,2025-11-15 03:08:09,MOCKTX0000000018
PAY00000019,O00000020,U001561,bank_card,4926.03,success,2025-06-12 16:19:11,MOCKTX0000000019
PAY00000020,O00000021,U000116,alipay,6495.26,success,2025-09-17 12:46:44,MOCKTX0000000020
PAY00000021,O00000022,U002657,wallet,7268.86,success,2026-07-18 07:13:46,MOCKTX0000000021
PAY00000022,O00000023,U001748,wallet,7076.81,success,2025-06-29 13:15:55,MOCKTX0000000022
PAY00000023,O00000024,U000020,wechat,4361.75,success,2026-02-17 22:27:39,MOCKTX0000000023
PAY00000024,O00000025,U002961,alipay,1996.33,success,2025-10-24 03:53:21,MOCKTX0000000024
PAY00000025,O00000026,U002047,alipay,1824.15,success,2026-03-31 01:39:24,MOCKTX0000000025
PAY00000026,O00000028,U001035,wechat,5414.35,success,2025-09-08 05:20:06,MOCKTX0000000026
PAY00000027,O00000029,U002701,wechat,5561.42,success,2025-04-21 09:59:25,MOCKTX0000000027
PAY00000028,O00000029,U002701,wechat,5561.42,failed,2025-04-21 09:57:25,MOCKTX0000000028
PAY00000029,O00000031,U001848,wechat,2615.16,success,2025-04-02 23:22:07,MOCKTX0000000029
PAY00000030,O00000032,U001140,wechat,9970.51,success,2026-01-09 18:33:30,MOCKTX0000000030
PAY00000031,O00000033,U002054,wechat,5314.63,success,2025-04-15 02:12:24,MOCKTX0000000031
PAY00000032,O00000034,U002171,wechat,853.55,success,2026-02-27 22:16:31,MOCKTX0000000032
PAY00000033,O00000035,U004560,wechat,1544.6,success,2026-08-02 18:37:59,MOCKTX0000000033
PAY00000034,O00000036,U000218,wechat,8782.68,success,2025-11-27 13:16:13,MOCKTX0000000034
PAY00000035,O00000037,U002486,wechat,1810.56,success,2026-05-03 01:08:58,MOCKTX0000000035
PAY00000036,O00000038,U001949,alipay,126.11,success,2026-03-11 11:29:21,MOCKTX0000000036
PAY00000037,O00000038,U001949,wechat,126.11,failed,2026-03-11 11:27:21,MOCKTX0000000037
PAY00000038,O00000039,U001030,wechat,7007.87,success,2025-04-24 02:47:46,MOCKTX0000000038
PAY00000039,O00000040,U001372,bank_card,1799.21,success,2025-10-29 01:56:38,MOCKTX0000000039
PAY00000040,O00000041,U002415,alipay,6724.78,success,2025-08-16 07:59:50,MOCKTX0000000040
PAY00000041,O00000042,U002845,alipay,1591.73,success,2026-04-02 09:07:08,MOCKTX0000000041
PAY00000042,O00000043,U002062,alipay,1897.47,success,2026-01-17 07:14:17,MOCKTX0000000042
PAY00000043,O00000044,U003022,alipay,2643.27,success,2025-01-26 01:34:27,MOCKTX0000000043
PAY00000044,O00000044,U003022,wechat,2643.27,failed,2025-01-26 01:32:27,MOCKTX0000000044
PAY00000045,O00000045,U000280,wechat,1735.88,success,2025-08-12 05:04:00,MOCKTX0000000045
PAY00000046,O00000046,U001115,wechat,85.65,success,2026-08-07 08:24:06,MOCKTX0000000046
PAY00000047,O00000046,U001115,alipay,85.65,failed,2026-08-07 08:22:06,MOCKTX0000000047
PAY00000048,O00000047,U002496,wechat,1691.6,success,2026-04-04 01:46:54,MOCKTX0000000048
PAY00000049,O00000048,U001135,alipay,1338.23,success,2025-12-07 10:37:38,MOCKTX0000000049
PAY00000050,O00000049,U002114,wechat,6673.58,success,2026-06-15 08:01:48,MOCKTX0000000050
PAY00000051,O00000050,U003053,wechat,3685.69,success,2025-01-11 14:20:31,MOCKTX0000000051
PAY00000052,O00000051,U001193,alipay,3483.28,success,2025-07-28 21:32:40,MOCKTX0000000052
PAY00000053,O00000052,U001804,wechat,1469.66,success,2026-01-19 06:43:55,MOCKTX0000000053
PAY00000054,O00000053,U001936,wallet,207.97,success,2026-07-27 10:56:51,MOCKTX0000000054
PAY00000055,O00000054,U002653,wechat,1012.9,success,2025-03-10 15:19:19,MOCKTX0000000055
PAY00000056,O00000055,U000411,alipay,432.04,success,2026-05-23 21:06:46,MOCKTX0000000056
PAY00000057,O00000056,U003369,wechat,1317.42,success,2025-04-12 17:26:50,MOCKTX0000000057
PAY00000058,O00000056,U003369,alipay,1317.42,failed,2025-04-12 17:24:50,MOCKTX0000000058
PAY00000059,O00000058,U004904,alipay,1656.39,success,2025-12-04 12:52:16,MOCKTX0000000059
PAY00000060,O00000059,U000364,wechat,2545.77,success,2025-11-17 17:57:20,MOCKTX0000000060
PAY00000061,O00000060,U003565,wechat,13524.94,success,2025-07-31 12:51:37,MOCKTX0000000061
PAY00000062,O00000061,U001434,alipay,329.77,success,2026-02-08 06:31:57,MOCKTX0000000062
PAY00000063,O00000062,U001229,wechat,2267.18,success,2026-05-31 07:26:44,MOCKTX0000000063
PAY00000064,O00000063,U002167,bank_card,1843.8,success,2026-02-05 10:01:54,MOCKTX0000000064
PAY00000065,O00000064,U003352,wechat,295.6,success,2025-06-06 06:47:24,MOCKTX0000000065
PAY00000066,O00000065,U003059,wechat,6966.11,success,2026-04-26 05:49:53,MOCKTX0000000066
PAY00000067,O00000068,U001545,alipay,4150.24,success,2025-09-07 08:24:03,MOCKTX0000000067
PAY00000068,O00000069,U004096,wechat,4561.49,success,2025-08-03 06:25:54,MOCKTX0000000068
PAY00000069,O00000070,U002506,alipay,164.63,success,2026-02-28 00:33:19,MOCKTX0000000069
PAY00000070,O00000071,U004665,bank_card,2861.11,success,2026-02-12 13:39:12,MOCKTX0000000070
PAY00000071,O00000072,U004339,alipay,5498.46,success,2025-08-09 01:21:57,MOCKTX0000000071
PAY00000072,O00000073,U001105,wechat,3055.35,success,2026-04-09 13:38:01,MOCKTX0000000072
PAY00000073,O00000075,U003637,bank_card,2527.11,success,2025-10-13 00:18:49,MOCKTX0000000073
PAY00000074,O00000076,U004744,bank_card,95.76,success,2025-04-13 16:32:09,MOCKTX0000000074
PAY00000075,O00000077,U001357,alipay,872.26,success,2026-04-19 23:36:48,MOCKTX0000000075
PAY00000076,O00000078,U003309,wechat,2801.56,success,2026-03-03 10:40:22,MOCKTX0000000076
PAY00000077,O00000079,U002603,wechat,1868.08,success,2026-02-22 17:19:18,MOCKTX0000000077
PAY00000078,O00000080,U004130,wallet,5861.28,success,2025-10-26 15:09:49,MOCKTX0000000078
PAY00000079,O00000081,U004782,wechat,17312.52,success,2025-09-08 21:57:07,MOCKTX0000000079
PAY00000080,O00000082,U003094,wechat,8056.98,success,2025-01-11 23:10:48,MOCKTX0000000080
PAY00000081,O00000082,U003094,wechat,8056.98,failed,2025-01-11 23:08:48,MOCKTX0000000081
PAY00000082,O00000083,U000143,alipay,4169.72,success,2025-08-17 02:46:32,MOCKTX0000000082
PAY00000083,O00000084,U003073,wechat,6967.02,success,2025-02-18 22:12:57,MOCKTX0000000083
