category_id,category_name,parent_category_id,category_level,sort_order,enabled
C001,数码家电,,1,1,1
C002,手机通讯,C001,2,2,1
C003,电脑办公,C001,2,3,1
C004,家用电器,C001,2,4,1
C005,智能设备,C001,2,5,1
C006,服饰鞋包,,1,6,1
C007,男装,C006,2,7,1
C008,女装,C006,2,8,1
C009,运动鞋服,C006,2,9,1
C010,箱包配饰,C006,2,10,1
C011,食品生鲜,,1,11,1
C012,休闲食品,C011,2,12,1
C013,饮料冲调,C011,2,13,1
C014,粮油调味,C011,2,14,1
C015,生鲜果蔬,C011,2,15,1
C016,家居生活,,1,16,1
C017,家纺,C016,2,17,1
C018,厨具,C016,2,18,1
C019,清洁用品,C016,2,19,1
C020,家具,C016,2,20,1
C021,美妆个护,,1,21,1
C022,护肤,C021,2,22,1
C023,彩妆,C021,2,23,1
C024,洗护,C021,2,24,1
C025,个人护理,C021,2,25,1
C026,母婴玩具,,1,26,1
C027,婴童用品,C026,2,27,1
C028,奶粉辅食,C026,2,28,1
C029,玩具,C026,2,29,1
C030,童装童鞋,C026,2,30,1
C031,运动户外,,1,31,1
C032,健身训练,C031,2,32,1
C033,户外装备,C031,2,33,1
C034,骑行,C031,2,34,1
C035,体育用品,C031,2,35,1
C036,图书文娱,,1,36,1
C037,图书,C036,2,37,1
C038,乐器,C036,2,38,1
C039,文创,C036,2,39,1
C040,宠物生活,C036,2,40,1
