price_id,sku_id,price,effective_from,effective_to,price_type
PR00000001,SKU0000001,1098.48,2025-08-29,2026-01-04,regular
PR00000002,SKU0000001,1111.65,2026-01-04,,regular
PR00000003,SKU0000002,1007.43,2025-12-14,2026-05-29,regular
PR00000004,SKU0000002,1090.62,2026-05-29,,campaign
PR00000005,SKU0000003,361.63,2025-11-14,2026-05-05,regular
PR00000006,SKU0000003,338.44,2026-05-05,,regular
PR00000007,SKU0000004,336.08,2026-01-21,2026-05-04,regular
PR00000008,SKU0000004,322.39,2026-05-04,,campaign
PR00000009,SKU0000005,2111.97,2025-11-04,2026-01-14,regular
PR00000010,SKU0000005,2019.59,2026-01-14,,campaign
PR00000011,SKU0000006,2355.13,2026-03-14,2026-07-19,regular
PR00000012,SKU0000006,2269.84,2026-07-19,,regular
PR00000013,SKU0000007,887.9,2025-06-18,2025-11-24,regular
PR00000014,SKU0000007,887.83,2025-11-24,,regular
PR00000015,SKU0000008,842.82,2025-12-24,2026-01-29,regular
PR00000016,SKU0000008,803.36,2026-01-29,,regular
PR00000017,SKU0000009,2228.66,2025-11-01,2025-12-20,regular
PR00000018,SKU0000009,2234.23,2025-12-20,,campaign
PR00000019,SKU0000010,2081.1,2025-06-13,2025-08-05,regular
PR00000020,SKU0000010,2069.06,2025-08-05,,regular
PR00000021,SKU0000011,1080.83,2025-03-12,2025-08-16,regular
PR00000022,SKU0000011,1164.87,2025-08-16,,regular
PR00000023,SKU0000012,1274.49,2025-07-30,2025-10-28,regular
PR00000024,SKU0000012,1330.05,2025-10-28,,campaign
PR00000025,SKU0000013,313.81,2025-12-28,2026-03-16,regular
PR00000026,SKU0000013,281.26,2026-03-16,,regular
PR00000027,SKU0000014,294.18,2026-04-08,2026-06-25,regular
PR00000028,SKU0000014,284.5,2026-06-25,,regular
PR00000029,SKU0000015,3601.6,2025-07-08,2025-08-07,regular
PR00000030,SKU0000015,3502.72,2025-08-07,,regular
PR00000031,SKU0000016,3211.38,2025-07-09,2025-11-15,regular
PR00000032,SKU0000016,2971.27,2025-11-15,,regular
PR00000033,SKU0000017,2497.04,2025-08-15,2025-11-22,regular
PR00000034,SKU0000017,2467.04,2025-11-22,,campaign
PR00000035,SKU0000018,2595.02,2025-05-21,2025-09-05,regular
PR00000036,SKU0000018,2330.15,2025-09-05,,regular
PR00000037,SKU0000019,504.49,2026-01-21,2026-07-12,regular
PR00000038,SKU0000019,511.06,2026-07-12,,campaign
PR00000039,SKU0000020,485.18,2025-02-28,2025-05-26,regular
PR00000040,SKU0000020,486.9,2025-05-26,,regular
PR00000041,SKU0000021,1710.27,2026-01-08,2026-04-27,regular
PR00000042,SKU0000021,1597.31,2026-04-27,,regular
PR00000043,SKU0000022,1628.37,2026-03-28,2026-06-13,regular
PR00000044,SKU0000022,1750.89,2026-06-13,,campaign
PR00000045,SKU0000023,793.82,2026-05-01,2026-06-07,regular
PR00000046,SKU0000023,745.62,2026-06-07,,regular
PR00000047,SKU0000024,932.24,2025-05-30,2025-08-15,regular
PR00000048,SKU0000024,859.63,2025-08-15,,campaign
PR00000049,SKU0000025,1651.08,2025-10-27,2026-02-06,regular
PR00000050,SKU0000025,1535.37,2026-02-06,,regular
PR00000051,SKU0000026,1550.52,2025-11-10,2026-03-12,regular
PR00000052,SKU0000026,1403.39,2026-03-12,,regular
PR00000053,SKU0000027,2348.38,2025-08-27,2025-11-14,regular
PR00000054,SKU0000027,2436.18,2025-11-14,,regular
PR00000055,SKU0000028,3078.47,2025-09-08,2025-11-16,regular
PR00000056,SKU0000028,2895.89,2025-11-16,,regular
PR00000057,SKU0000029,1270.63,2026-01-14,2026-04-14,regular
PR00000058,SKU0000029,1170.11,2026-04-14,,regular
PR00000059,SKU0000030,1268.93,2025-05-17,2025-08-15,regular
PR00000060,SKU0000030,1354.73,2025-08-15,,regular
PR00000061,SKU0000031,1750.08,2026-04-22,2026-08-22,regular
PR00000062,SKU0000031,1655.66,2026-08-22,,campaign
PR00000063,SKU0000032,1510.45,2025-07-10,2025-10-13,regular
PR00000064,SKU0000032,1413.59,2025-10-13,,regular
PR00000065,SKU0000033,1468.14,2025-09-12,2025-11-17,regular
PR00000066,SKU0000033,1536.73,2025-11-17,,campaign
PR00000067,SKU0000034,1565.47,2025-03-08,2025-04-18,regular
PR00000068,SKU0000034,1458.46,2025-04-18,,regular
PR00000069,SKU0000035,2235.51,2025-06-23,2025-08-02,regular
PR00000070,SKU0000035,2307.16,2025-08-02,,regular
PR00000071,SKU0000036,2268.81,2025-04-28,2025-10-07,regular
PR00000072,SKU0000036,2190.76,2025-10-07,,regular
PR00000073,SKU0000037,2648.83,2025-04-11,2025-09-16,regular
PR00000074,SKU0000037,2871.31,2025-09-16,,campaign
PR00000075,SKU0000038,3125.27,2025-03-12,2025-09-01,regular
PR00000076,SKU0000038,3295.39,2025-09-01,,campaign
PR00000077,SKU0000039,2793.09,2025-04-24,2025-07-19,regular
PR00000078,SKU0000039,2959.64,2025-07-19,,campaign
PR00000079,SKU0000040,2880.81,2025-05-27,2025-09-20,regular
PR00000080,SKU0000040,2592.14,2025-09-20,,regular
PR00000081,SKU0000041,1355.79,2025-07-18,2025-12-26,regular
PR00000082,SKU0000041,1374.34,2025-12-26,,regular
PR00000083,SKU0000042,1483.13,2026-02-11,2026-06-15,regular
PR00000084,SKU0000042,1578.74,2026-06-15,,regular
PR00000085,SKU0000043,715.07,2025-03-22,2025-06-04,regular
PR00000086,SKU0000043,732.71,2025-06-04,,campaign
PR00000087,SKU0000044,661.82,2025-05-17,2025-08-04,regular
PR00000088,SKU0000044,665.11,2025-08-04,,campaign
PR00000089,SKU0000045,3234.53,2025-08-10,2025-12-31,regular
PR00000090,SKU0000045,3307.18,2025-12-31,,regular
PR00000091,SKU0000046,3026.87,2026-04-26,2026-08-22,regular
PR00000092,SKU0000046,3249.7,2026-08-22,,regular
PR00000093,SKU0000047,2332.28,2025-01-31,2025-03-25,regular
PR00000094,SKU0000047,2143.81,2025-03-25,,regular
PR00000095,SKU0000048,2086.35,2025-07-31,2025-12-06,regular
PR00000096,SKU0000048,2082.45,2025-12-06,,regular
PR00000097,SKU0000049,1064.33,2025-05-25,2025-10-08,regular
PR00000098,SKU0000049,1126.07,2025-10-08,,campaign
PR00000099,SKU0000050,1332.43,2025-02-07,2025-04-16,regular
PR00000100,SKU0000050,1303.07,2025-04-16,,regular
PR00000101,SKU0000051,1018.84,2025-12-15,2026-04-04,regular
PR00000102,SKU0000051,1099.3,2026-04-04,,regular
PR00000103,SKU0000052,1059.36,2025-04-23,2025-06-11,regular
PR00000104,SKU0000052,1067.37,2025-06-11,,campaign
PR00000105,SKU0000053,1502.03,2025-06-14,2025-09-18,regular
