review_id,order_item_id,order_id,user_id,product_id,rating,review_content,has_image,created_at,review_status
RV00000001,OI000001227,O00000705,U002105,P000051,5,整体满意,0,2026-06-27 22:49:04,visible
RV00000002,OI000005048,O00003003,U004305,P000702,5,体验一般,0,2025-06-23 01:24:09,visible
RV00000003,OI000014978,O00008767,U001778,P000958,4,性价比不错,0,2025-06-26 04:55:33,visible
RV00000004,OI000015713,O00009212,U003462,P001188,5,性价比不错,1,2025-01-17 01:03:51,visible
RV00000005,OI000001184,O00000679,U000527,P001184,5,与描述有差异,0,2026-01-22 05:42:45,visible
RV00000006,OI000007919,O00004659,U000652,P000364,5,物流很快，包装完整,0,2025-07-15 13:37:15,visible
RV00000007,OI000015560,O00009120,U002391,P001346,5,质量很好，符合预期,0,2025-02-16 07:03:16,visible
RV00000008,OI000018303,O00010726,U002614,P001104,5,整体满意,0,2026-04-03 16:34:41,visible
RV00000009,OI000016411,O00009619,U000328,P001292,5,性价比不错,0,2026-03-30 10:45:40,visible
RV00000010,OI000011332,O00006647,U003767,P000217,4,物流很快，包装完整,0,2025-10-02 08:17:00,visible
RV00000011,OI000006311,O00003734,U004011,P000961,5,物流很快，包装完整,0,2026-04-06 13:04:57,visible
RV00000012,OI000018597,O00010905,U000920,P000840,4,整体满意,0,2026-05-06 02:52:35,visible
RV00000013,OI000007289,O00004304,U003643,P000728,5,体验一般,0,2025-07-02 14:08:57,visible
RV00000014,OI000013591,O00007950,U003105,P000389,5,体验一般,0,2025-06-26 21:15:11,visible
RV00000015,OI000000801,O00000458,U004137,P000081,5,质量很好，符合预期,0,2025-08-12 17:18:59,visible
RV00000016,OI000005218,O00003106,U001605,P000522,4,与描述有差异,0,2026-05-31 08:53:18,visible
RV00000017,OI000011232,O00006593,U004722,P001317,5,质量很好，符合预期,0,2025-03-02 02:42:05,visible
RV00000018,OI000007340,O00004332,U004725,P000028,5,质量很好，符合预期,0,2025-12-03 22:54:32,visible
RV00000019,OI000013134,O00007682,U000456,P001110,5,整体满意,0,2025-08-03 12:13:23,visible
RV00000020,OI000003212,O00001889,U002985,P000659,4,物流很快，包装完整,0,2025-05-30 03:09:31,visible
RV00000021,OI000003944,O00002342,U003735,P000093,5,整体满意,0,2025-09-19 14:56:44,visible
RV00000022,OI000007975,O00004691,U001905,P001335,3,整体满意,0,2025-06-29 09:21:30,visible
RV00000023,OI000011304,O00006633,U004773,P001307,5,整体满意,0,2026-01-31 01:55:52,visible
RV00000024,OI000008060,O00004743,U003373,P000545,2,整体满意,0,2026-06-25 22:00:08,visible
