product_id,product_name,store_id,brand_id,category_id,supplier_id,product_status,created_at,weight_kg,warranty_months
P000001,元气084休闲食品商品0001,S0001,B0084,C012,SUP0039,active,2024-11-03 18:27:33,11.24,5
P000002,新境033骑行商品0002,S0002,B0033,C034,SUP0052,active,2025-08-25 22:41:25,6.04,7
P000003,智造064休闲食品商品0003,S0003,B0064,C012,SUP0031,active,2025-08-30 07:49:44,2.84,20
P000004,新境088童装童鞋商品0004,S0004,B0088,C030,SUP0093,active,2025-09-22 11:12:30,9.36,17
P000005,本色021运动鞋服商品0005,S0005,B0021,C009,SUP0013,active,2025-04-19 19:41:58,5.31,20
P000006,元气051体育用品商品0006,S0006,B0051,C035,SUP0065,active,2025-06-21 20:26:11,7.0,3
P000007,悦己099家用电器商品0007,S0007,B0099,C004,SUP0147,active,2025-01-12 22:48:03,8.68,16
P000008,本色129男装商品0008,S0008,B0129,C007,SUP0121,active,2026-07-26 21:13:07,11.51,3
P000009,新境078休闲食品商品0009,S0009,B0078,C012,SUP0070,active,2026-01-01 12:42:53,11.05,7
P000010,智造053家具商品0010,S0010,B0053,C020,SUP0077,active,2025-03-07 08:46:41,11.21,13
P000011,星辰008休闲食品商品0011,S0011,B0008,C012,SUP0046,active,2026-02-26 17:43:37,4.17,18
P000012,本色110洗护商品0012,S0012,B0110,C024,SUP0021,active,2025-03-17 16:28:27,1.23,23
P000013,星辰023玩具商品0013,S0013,B0023,C029,SUP0081,inactive,2026-03-22 04:30:08,1.64,21
P000014,元气068奶粉辅食商品0014,S0014,B0068,C028,SUP0020,active,2024-06-22 05:49:23,9.53,12
P000015,元气020家具商品0015,S0015,B0020,C020,SUP0105,active,2025-11-19 07:16:18,6.82,17
P000016,新境031清洁用品商品0016,S0016,B0031,C019,SUP0122,active,2026-03-24 07:37:56,2.24,5
P000017,悦己099图书商品0017,S0017,B0099,C037,SUP0058,active,2026-08-05 11:23:23,0.59,13
P000018,极光076饮料冲调商品0018,S0018,B0076,C013,SUP0063,active,2024-11-29 16:54:59,6.88,6
P000019,新境073家具商品0019,S0019,B0073,C020,SUP0118,draft,2025-09-08 04:51:14,3.63,18
P000020,智造140宠物生活商品0020,S0020,B0140,C040,SUP0012,active,2024-05-08 13:31:05,5.52,3
P000021,星辰101户外装备商品0021,S0021,B0101,C033,SUP0139,active,2025-04-09 21:59:33,3.25,17
P000022,悦己093运动鞋服商品0022,S0022,B0093,C009,SUP0090,active,2025-01-26 21:14:08,11.76,3
P000023,本色123运动鞋服商品0023,S0023,B0123,C009,SUP0112,draft,2024-09-11 05:13:54,5.29,1
P000024,悦己144女装商品0024,S0024,B0144,C008,SUP0084,active,2024-06-13 00:38:34,1.37,13
P000025,新境135婴童用品商品0025,S0025,B0135,C027,SUP0104,active,2025-01-27 00:04:28,2.7,2
P000026,智造131休闲食品商品0026,S0026,B0131,C012,SUP0070,active,2024-04-21 12:36:32,5.53,17
P000027,云谷015运动鞋服商品0027,S0027,B0015,C009,SUP0078,active,2024-10-28 19:47:59,9.03,22
P000028,元气108手机通讯商品0028,S0028,B0108,C002,SUP0034,inactive,2025-02-21 08:09:59,11.32,2
P000029,元气020体育用品商品0029,S0029,B0020,C035,SUP0085,active,2025-01-28 00:27:22,3.08,12
P000030,极光046骑行商品0030,S0030,B0046,C034,SUP0045,active,2024-12-04 10:29:36,6.69,6
P000031,云谷001洗护商品0031,S0031,B0001,C024,SUP0104,active,2024-12-28 00:11:51,1.74,23
P000032,极光072宠物生活商品0032,S0032,B0072,C040,SUP0131,inactive,2024-09-28 09:12:42,7.57,24
P000033,云谷124奶粉辅食商品0033,S0033,B0124,C028,SUP0105,draft,2025-08-11 17:53:21,4.55,15
P000034,青禾061电脑办公商品0034,S0034,B0061,C003,SUP0078,active,2026-06-24 08:12:38,9.7,6
P000035,新境088健身训练商品0035,S0035,B0088,C032,SUP0039,active,2025-06-17 13:08:49,6.85,3
P000036,悦己099文创商品0036,S0036,B0099,C039,SUP0133,active,2024-07-04 09:36:13,3.53,20
P000037,极光046彩妆商品0037,S0037,B0046,C023,SUP0133,active,2026-03-27 07:30:24,4.58,17
P000038,云谷075护肤商品0038,S0038,B0075,C022,SUP0149,active,2024-09-04 01:38:19,5.85,13
P000039,本色019洗护商品0039,S0039,B0019,C024,SUP0083,active,2025-01-06 01:03:22,0.44,6
P000040,本色123手机通讯商品0040,S0040,B0123,C002,SUP0092,active,2024-04-25 19:49:20,3.64,3
P000041,星辰008智能设备商品0041,S0041,B0008,C005,SUP0057,active,2025-02-22 22:01:01,5.33,21
P000042,本色147厨具商品0042,S0042,B0147,C018,SUP0131,active,2025-06-05 01:55:48,5.42,13
P000043,智造054粮油调味商品0043,S0043,B0054,C014,SUP0071,active,2025-04-25 02:18:10,1.26,16
P000044,本色016户外装备商品0044,S0044,B0016,C033,SUP0113,active,2025-09-16 09:51:51,0.87,19
P000045,星辰003户外装备商品0045,S0045,B0003,C033,SUP0138,active,2025-01-31 02:11:51,5.09,5
P000046,本色105体育用品商品0046,S0046,B0105,C035,SUP0028,active,2024-10-20 19:33:41,10.24,18
P000047,智造080健身训练商品0047,S0047,B0080,C032,SUP0024,active,2026-02-14 04:59:42,3.09,17
P000048,云谷015婴童用品商品0048,S0048,B0015,C027,SUP0118,active,2024-05-28 15:45:44,8.58,12
P000049,智造109饮料冲调商品0049,S0049,B0109,C013,SUP0057,active,2025-03-25 20:31:51,10.52,20
P000050,青禾138清洁用品商品0050,S0050,B0138,C019,SUP0142,active,2024-11-04 12:26:58,8.85,0
P000051,青禾039清洁用品商品0051,S0051,B0039,C019,SUP0056,active,2024-10-22 22:23:10,8.51,1
P000052,星辰018婴童用品商品0052,S0052,B0018,C027,SUP0052,active,2026-03-05 05:13:24,4.95,12
P000053,元气004体育用品商品0053,S0053,B0004,C035,SUP0066,active,2025-03-27 07:58:34,4.0,4
P000054,新境137文创商品0054,S0054,B0137,C039,SUP0051,active,2026-07-25 18:40:44,2.3,17
P000055,悦己035文创商品0055,S0055,B0035,C039,SUP0121,active,2025-10-03 20:47:08,11.31,9
P000056,轻享063健身训练商品0056,S0056,B0063,C032,SUP0148,active,2025-03-12 05:47:16,11.69,1
P000057,青禾083婴童用品商品0057,S0057,B0083,C027,SUP0111,active,2024-09-02 15:16:39,5.18,3
P000058,轻享040护肤商品0058,S0058,B0040,C022,SUP0122,active,2024-10-12 18:22:32,10.04,1
P000059,悦己037奶粉辅食商品0059,S0059,B0037,C028,SUP0104,active,2026-05-17 20:12:27,10.62,13
P000060,云谷001休闲食品商品0060,S0060,B0001,C012,SUP0114,active,2024-08-02 23:53:27,0.31,3
P000061,元气084奶粉辅食商品0061,S0061,B0084,C028,SUP0144,active,2024-12-22 08:57:37,3.76,4
P000062,星辰024护肤商品0062,S0062,B0024,C022,SUP0140,active,2025-02-09 03:54:02,2.24,15
