purchase_item_id,purchase_order_id,sku_id,ordered_qty,received_qty,unit_cost,line_amount
POI0000001,PO000001,SKU0000298,314,314,401.25,125992.5
POI0000002,PO000002,SKU0001006,215,215,1657.6,356384.0
POI0000003,PO000003,SKU0000690,284,284,1707.91,485046.44
POI0000004,PO000004,SKU0001619,54,54,2000.65,108035.1
POI0000005,PO000005,SKU0001873,498,498,281.67,140271.66
POI0000006,PO000006,SKU0000552,386,386,1337.52,516282.72
POI0000007,PO000007,SKU0001036,363,363,1755.19,637133.97
POI0000008,PO000008,SKU0000456,370,370,317.08,117319.6
POI0000009,PO000009,SKU0001796,360,360,388.62,139903.2
POI0000010,PO000010,SKU0001041,450,30,957.78,431001.0
POI0000011,PO000011,SKU0002080,318,318,1429.71,454647.78
POI0000012,PO000012,SKU0000126,495,495,602.17,298074.15
POI0000013,PO000013,SKU0002415,249,249,52.94,13182.06
POI0000014,PO000014,SKU0002457,191,0,827.17,157989.47
POI0000015,PO000015,SKU0000710,176,176,644.81,113486.56
POI0000016,PO000016,SKU0002089,438,438,730.41,319919.58
POI0000017,PO000017,SKU0001394,490,490,1155.95,566415.5
POI0000018,PO000018,SKU0001570,94,94,842.5,79195.0
POI0000019,PO000019,SKU0002203,267,0,607.58,162223.86
POI0000020,PO000020,SKU0000689,122,122,1894.62,231143.64
POI0000021,PO000021,SKU0000124,205,205,1535.77,314832.85
POI0000022,PO000022,SKU0002892,116,0,2074.04,240588.64
POI0000023,PO000023,SKU0000292,102,102,809.92,82611.84
POI0000024,PO000024,SKU0002107,145,0,261.16,37868.2
POI0000025,PO000025,SKU0002215,321,321,2076.37,666514.77
POI0000026,PO000026,SKU0001137,90,0,529.42,47647.8
POI0000027,PO000027,SKU0001308,306,306,1656.84,506993.04
POI0000028,PO000028,SKU0000700,426,426,1271.47,541646.22
POI0000029,PO000029,SKU0001323,257,0,1351.99,347461.43
POI0000030,PO000030,SKU0002717,263,263,1114.47,293105.61
POI0000031,PO000031,SKU0000355,490,0,1602.61,785278.9
POI0000032,PO000032,SKU0000393,304,294,1308.22,397698.88
POI0000033,PO000033,SKU0000784,154,154,1319.73,203238.42
POI0000034,PO000034,SKU0001502,302,0,1429.59,431736.18
POI0000035,PO000035,SKU0000379,296,296,1373.64,406597.44
POI0000036,PO000036,SKU0001485,141,141,1594.53,224828.73
POI0000037,PO000037,SKU0000853,97,0,828.67,80380.99
POI0000038,PO000038,SKU0002001,163,163,590.36,96228.68
POI0000039,PO000039,SKU0002371,303,303,695.29,210672.87
POI0000040,PO000040,SKU0001562,46,0,95.66,4400.36
POI0000041,PO000041,SKU0000668,335,0,277.52,92969.2
POI0000042,PO000042,SKU0001908,458,0,295.29,135242.82
POI0000043,PO000043,SKU0001282,435,0,1459.85,635034.75
POI0000044,PO000044,SKU0002438,491,40,571.03,280375.73
POI0000045,PO000045,SKU0001963,153,153,829.31,126884.43
POI0000046,PO000046,SKU0002516,274,274,727.25,199266.5
POI0000047,PO000047,SKU0002347,355,355,1749.27,620990.85
POI0000048,PO000048,SKU0002437,135,135,528.51,71348.85
POI0000049,PO000049,SKU0001302,74,74,659.99,48839.26
POI0000050,PO000050,SKU0000482,316,316,1049.8,331736.8
POI0000051,PO000051,SKU0001402,87,87,801.79,69755.73
POI0000052,PO000052,SKU0000603,226,226,1905.47,430636.22
POI0000053,PO000053,SKU0001066,229,229,859.1,196733.9
POI0000054,PO000054,SKU0002183,34,34,978.96,33284.64
POI0000055,PO000055,SKU0001549,422,422,1888.26,796845.72
POI0000056,PO000056,SKU0000888,52,52,289.85,15072.2
POI0000057,PO000057,SKU0001209,53,53,1402.07,74309.71
POI0000058,PO000058,SKU0002757,194,194,1067.42,207079.48
POI0000059,PO000059,SKU0001936,132,132,1077.94,142288.08
POI0000060,PO000060,SKU0000615,490,490,1858.33,910581.7
POI0000061,PO000061,SKU0002220,205,205,616.79,126441.95
POI0000062,PO000062,SKU0002536,368,368,1593.28,586327.04
POI0000063,PO000063,SKU0001896,32,32,1469.2,47014.4
POI0000064,PO000064,SKU0001901,180,180,477.11,85879.8
POI0000065,PO000065,SKU0002381,210,210,652.59,137043.9
POI0000066,PO000066,SKU0002963,71,71,682.53,48459.63
POI0000067,PO000067,SKU0000629,363,363,387.31,140593.53
POI0000068,PO000068,SKU0001051,389,389,691.04,268814.56
POI0000069,PO000069,SKU0000476,166,166,1591.28,264152.48
POI0000070,PO000070,SKU0002357,75,75,1084.14,81310.5
POI0000071,PO000071,SKU0000716,421,421,802.32,337776.72
POI0000072,PO000072,SKU0002942,346,0,745.94,258095.24
POI0000073,PO000073,SKU0000922,470,470,187.99,88355.3
POI0000074,PO000074,SKU0000052,84,84,661.54,55569.36
POI0000075,PO000075,SKU0000487,323,323,1710.5,552491.5
POI0000076,PO000076,SKU0000237,83,83,1912.42,158730.86
POI0000077,PO000077,SKU0000797,100,100,622.97,62297.0
POI0000078,PO000078,SKU0002881,314,314,496.92,156032.88
POI0000079,PO000079,SKU0002004,122,122,1742.57,212593.54
POI0000080,PO000080,SKU0000606,172,172,284.69,48966.68
POI0000081,PO000081,SKU0002025,246,246,1379.11,339261.06
POI0000082,PO000082,SKU0001739,363,0,1584.09,575024.67
POI0000083,PO000083,SKU0000639,282,282,62.66,17670.12
POI0000084,PO000084,SKU0002987,351,0,1019.05,357686.55
POI0000085,PO000085,SKU0002446,172,172,1601.17,275401.24
POI0000086,PO000086,SKU0000906,436,436,255.49,111393.64
POI0000087,PO000087,SKU0000419,464,464,2104.63,976548.32
POI0000088,PO000088,SKU0001344,70,70,242.32,16962.4
POI0000089,PO000089,SKU0002698,299,299,794.4,237525.6
POI0000090,PO000090,SKU0001155,208,208,545.89,113545.12
POI0000091,PO000091,SKU0001573,427,0,351.89,150257.03
POI0000092,PO000092,SKU0002335,391,0,41.85,16363.35
POI0000093,PO000093,SKU0002901,301,301,905.07,272426.07
POI0000094,PO000094,SKU0002969,200,200,1200.2,240040.0
POI0000095,PO000095,SKU0000999,228,228,1185.67,270332.76
POI0000096,PO000096,SKU0000986,138,138,975.61,134634.18
POI0000097,PO000097,SKU0002646,304,229,1768.26,537551.04
POI0000098,PO000098,SKU0002630,101,101,262.18,26480.18
POI0000099,PO000099,SKU0002574,124,0,113.96,14131.04
POI0000100,PO000100,SKU0002088,85,85,427.92,36373.2
POI0000101,PO000101,SKU0000167,111,111,1388.69,154144.59
POI0000102,PO000102,SKU0001318,153,153,1066.98,163247.94
POI0000103,PO000103,SKU0001290,122,122,717.43,87526.46
POI0000104,PO000104,SKU0000244,29,0,1088.5,31566.5
POI0000105,PO000105,SKU0001675,275,275,803.95,221086.25
POI0000106,PO000106,SKU0002759,276,276,2138.79,590306.04
POI0000107,PO000107,SKU0001364,325,325,1526.87,496232.75
POI0000108,PO000108,SKU0000607,429,429,1708.04,732749.16
POI0000109,PO000109,SKU0002352,488,234,1067.16,520774.08
POI0000110,PO000110,SKU0000826,255,255,99.91,25477.05
POI0000111,PO000111,SKU0000222,336,336,339.6,114105.6
POI0000112,PO000112,SKU0002883,249,249,580.24,144479.76
POI0000113,PO000113,SKU0002645,35,35,1953.23,68363.05
POI0000114,PO000114,SKU0002327,490,0,498.46,244245.4
POI0000115,PO000115,SKU0001548,66,66,1221.97,80650.02
POI0000116,PO000116,SKU0000164,265,265,1436.96,380794.4
POI0000117,PO000117,SKU0000231,270,270,1955.34,527941.8
POI0000118,PO000118,SKU0002534,133,0,262.18,34869.94
POI0000119,PO000119,SKU0002148,469,469,412.01,193232.69
POI0000120,PO000120,SKU0000036,350,350,1104.91,386718.5
POI0000121,PO000121,SKU0001456,348,0,1758.53,611968.44
POI0000122,PO000122,SKU0002677,381,381,452.48,172394.88
POI0000123,PO000123,SKU0002783,444,0,1272.22,564865.68
POI0000124,PO000124,SKU0001241,55,8,838.05,46092.75
POI0000125,PO000125,SKU0000410,55,55,1137.13,62542.15
POI0000126,PO000126,SKU0000919,182,182,266.53,48508.46
POI0000127,PO000127,SKU0002674,101,72,1175.89,118764.89
POI0000128,PO000128,SKU0000305,73,65,737.5,53837.5
POI0000129,PO000129,SKU0002427,186,0,599.78,111559.08
POI0000130,PO000130,SKU0001371,35,35,986.23,34518.05
POI0000131,PO000131,SKU0001367,255,255,539.13,137478.15
POI0000132,PO000132,SKU0002291,77,77,57.59,4434.43
POI0000133,PO000133,SKU0002988,260,260,827.54,215160.4
POI0000134,PO000134,SKU0002679,178,0,1109.21,197439.38
POI0000135,PO000135,SKU0000210,376,376,25.68,9655.68
POI0000136,PO000136,SKU0001384,352,352,256.51,90291.52
POI0000137,PO000137,SKU0002086,301,301,2247.39,676464.39
POI0000138,PO000138,SKU0001533,66,66,1087.57,71779.62
POI0000139,PO000139,SKU0001964,396,396,753.73,298477.08
POI0000140,PO000140,SKU0001128,348,0,1044.44,363465.12
POI0000141,PO000141,SKU0000149,433,433,687.47,297674.51
POI0000142,PO000142,SKU0000297,146,146,454.3,66327.8
POI0000143,PO000143,SKU0001174,137,137,645.62,88449.94
POI0000144,PO000144,SKU0000656,201,0,1144.85,230114.85
POI0000145,PO000145,SKU0001307,292,0,1082.09,315970.28
POI0000146,PO000146,SKU0000341,289,0,1246.55,360252.95
POI0000147,PO000147,SKU0002853,62,62,1988.44,123283.28
POI0000148,PO000148,SKU0001956,299,299,983.51,294069.49
POI0000149,PO000149,SKU0000188,222,222,392.68,87174.96
POI0000150,PO000150,SKU0000508,358,358,1629.02,583189.16
POI0000151,PO000151,SKU0002414,434,0,1801.77,781968.18
POI0000152,PO000152,SKU0001777,222,222,1444.7,320723.4
POI0000153,PO000153,SKU0001234,323,112,1435.39,463630.97
POI0000154,PO000154,SKU0002204,302,0,890.24,268852.48
POI0000155,PO000155,SKU0000426,352,352,1760.68,619759.36
POI0000156,PO000156,SKU0000344,298,298,1012.25,301650.5
POI0000157,PO000157,SKU0002478,31,31,1899.86,58895.66
POI0000158,PO000158,SKU0002325,173,0,1379.12,238587.76
