purchase_order_id,supplier_id,warehouse_id,created_at,expected_date,status,purchase_amount,currency
PO000001,SUP0060,W003,2025-04-01 06:53:33,2025-04-24,received,1061570.98,CNY
PO000002,SUP0117,W001,2026-03-16 18:52:23,2026-03-22,received,1130938.5,CNY
PO000003,SUP0072,W004,2025-09-21 12:37:22,2025-10-11,received,1610628.44,CNY
PO000004,SUP0001,W014,2025-01-09 03:36:43,2025-02-01,received,1165428.87,CNY
PO000005,SUP0043,W004,2025-07-23 05:03:17,2025-07-31,received,776289.69,CNY
PO000006,SUP0052,W009,2026-03-08 13:35:53,2026-03-25,received,1594238.42,CNY
PO000007,SUP0012,W014,2025-12-28 22:47:36,2026-01-14,received,1113874.97,CNY
PO000008,SUP0076,W010,2026-04-01 07:49:04,2026-04-24,received,611770.67,CNY
PO000009,SUP0077,W016,2025-11-12 09:49:20,2025-11-27,received,990147.62,CNY
PO000010,SUP0100,W001,2025-10-16 09:20:31,2025-11-09,shipped,1610737.32,CNY
PO000011,SUP0074,W012,2025-12-23 09:02:12,2026-01-11,received,1476786.5,CNY
PO000012,SUP0146,W014,2025-04-29 11:48:11,2025-05-08,received,1115207.6,CNY
PO000013,SUP0128,W016,2025-05-03 17:18:56,2025-05-12,received,408926.58,CNY
PO000014,SUP0007,W001,2026-08-19 15:50:49,2026-08-30,approved,667485.14,CNY
PO000015,SUP0061,W011,2025-09-27 23:15:21,2025-10-09,received,894733.35,CNY
PO000016,SUP0081,W005,2026-08-18 07:07:44,2026-08-25,received,1429943.48,CNY
PO000017,SUP0030,W003,2025-04-02 06:16:14,2025-04-23,received,1176196.33,CNY
PO000018,SUP0035,W006,2026-08-07 13:53:08,2026-08-18,received,680383.09,CNY
PO000019,SUP0127,W016,2026-06-09 10:37:37,2026-06-22,approved,1333562.79,CNY
PO000020,SUP0033,W009,2025-10-01 17:29:51,2025-10-24,received,1288162.53,CNY
PO000021,SUP0115,W003,2025-08-01 15:37:56,2025-08-09,received,1168408.04,CNY
PO000022,SUP0114,W004,2025-07-31 23:21:02,2025-08-11,approved,751454.44,CNY
PO000023,SUP0031,W011,2026-04-10 05:20:09,2026-04-30,received,713204.82,CNY
PO000024,SUP0036,W016,2026-01-19 16:13:11,2026-01-28,created,584702.54,CNY
PO000025,SUP0123,W010,2025-09-05 19:46:02,2025-09-26,received,1040430.39,CNY
PO000026,SUP0090,W012,2025-03-05 00:42:51,2025-03-27,cancelled,377530.41,CNY
PO000027,SUP0112,W011,2025-09-13 19:47:09,2025-09-26,received,1293183.31,CNY
PO000028,SUP0093,W003,2026-08-01 17:13:20,2026-08-19,received,642314.83,CNY
PO000029,SUP0104,W015,2026-01-25 01:54:48,2026-02-18,approved,1181052.14,CNY
PO000030,SUP0110,W011,2026-05-15 18:37:22,2026-06-08,received,751227.78,CNY
