exposure_id,user_id,product_id,position_name,strategy_name,exposed_at,clicked,converted
RE000000001,U003691,P000371,首页猜你喜欢,recommend_v3,2026-04-02 22:08:24,0,0
RE000000002,U003632,P000327,搜索联想,rule_based,2025-03-06 09:53:27,0,0
RE000000003,U003880,P001056,会员频道,popular,2026-03-08 10:52:25,1,0
RE000000004,U001241,P000740,搜索联想,recommend_v3,2026-07-08 06:27:26,0,0
RE000000005,U002852,P000807,商品详情相似推荐,rule_based,2026-01-03 05:59:10,0,0
RE000000006,U002684,P000267,购物车凑单,recommend_v4,2026-08-04 20:14:07,0,0
RE000000007,U003538,P000722,购物车凑单,rule_based,2025-07-25 15:45:43,1,0
RE000000008,U003961,P000115,购物车凑单,popular,2025-07-05 09:20:07,0,0
RE000000009,U002566,P000529,购物车凑单,recommend_v4,2025-02-26 20:40:58,0,0
RE000000010,U000808,P000255,搜索联想,recommend_v4,2025-07-21 12:47:58,1,0
RE000000011,U000225,P001423,首页猜你喜欢,rule_based,2026-03-23 16:11:43,0,0
RE000000012,U001177,P001439,购物车凑单,recommend_v3,2025-09-27 09:22:41,0,0
RE000000013,U001576,P000646,会员频道,recommend_v3,2025-03-29 10:37:36,0,0
RE000000014,U000493,P001264,首页猜你喜欢,popular,2025-10-24 10:27:51,0,0
RE000000015,U001878,P000018,商品详情相似推荐,recommend_v3,2025-08-04 09:16:49,0,0
RE000000016,U003553,P000035,购物车凑单,recommend_v4,2025-01-18 23:29:50,0,0
RE000000017,U003936,P000431,购物车凑单,recommend_v4,2026-07-23 01:56:48,0,0
RE000000018,U003879,P000726,会员频道,recommend_v4,2025-05-27 18:26:36,0,0
RE000000019,U000285,P001408,会员频道,recommend_v3,2026-04-30 08:04:05,0,0
RE000000020,U000061,P001287,首页猜你喜欢,recommend_v3,2025-09-09 03:25:19,0,0
RE000000021,U000761,P000616,搜索联想,recommend_v3,2026-01-10 02:52:43,1,1
RE000000022,U004665,P001330,购物车凑单,recommend_v3,2026-02-06 00:48:00,0,0
RE000000023,U001162,P000915,购物车凑单,popular,2025-04-05 02:13:52,0,0
RE000000024,U004467,P000542,购物车凑单,popular,2026-07-21 16:54:09,1,0
RE000000025,U000806,P000378,会员频道,recommend_v4,2026-05-27 21:37:00,0,0
RE000000026,U003291,P001466,购物车凑单,recommend_v4,2026-05-25 10:44:55,0,0
RE000000027,U003405,P000605,购物车凑单,recommend_v4,2026-02-08 12:55:58,0,0
RE000000028,U002055,P000213,购物车凑单,popular,2025-02-26 12:11:52,0,0
RE000000029,U000380,P000530,首页猜你喜欢,recommend_v3,2025-04-14 22:37:56,0,0
RE000000030,U001391,P001284,购物车凑单,recommend_v3,2025-11-23 11:37:39,0,0
RE000000031,U002361,P000084,搜索联想,recommend_v4,2025-01-11 14:06:06,0,0
RE000000032,U000520,P001299,首页猜你喜欢,recommend_v4,2025-03-20 19:03:16,0,0
RE000000033,U001580,P001333,首页猜你喜欢,recommend_v3,2025-10-25 03:50:35,0,0
RE000000034,U000256,P000593,搜索联想,recommend_v4,2025-08-30 11:12:47,0,0
RE000000035,U002744,P001345,商品详情相似推荐,recommend_v4,2026-04-28 17:44:18,0,0
RE000000036,U000814,P000305,搜索联想,recommend_v3,2025-01-23 11:07:31,0,0
RE000000037,U004895,P001314,商品详情相似推荐,recommend_v3,2025-07-13 23:33:34,0,0
RE000000038,U003535,P000341,搜索联想,recommend_v3,2025-02-11 07:46:57,1,0
RE000000039,U003442,P000465,首页猜你喜欢,recommend_v4,2025-11-11 19:59:48,0,0
RE000000040,U002758,P001331,搜索联想,recommend_v3,2026-01-23 19:38:04,0,0
RE000000041,U001089,P000976,搜索联想,rule_based,2025-02-03 06:49:40,0,0
RE000000042,U000300,P001368,首页猜你喜欢,popular,2025-06-01 01:32:02,0,0
RE000000043,U002691,P000635,搜索联想,recommend_v3,2025-01-10 05:34:04,0,0
RE000000044,U002450,P000294,会员频道,recommend_v4,2025-04-17 03:40:04,0,0
RE000000045,U004023,P001216,搜索联想,rule_based,2026-05-27 16:29:15,0,0
RE000000046,U003826,P000845,搜索联想,recommend_v3,2025-05-11 15:44:56,0,0
RE000000047,U001300,P001316,商品详情相似推荐,recommend_v3,2025-11-21 22:05:36,1,0
RE000000048,U002318,P000817,会员频道,recommend_v3,2026-04-23 02:49:06,0,0
RE000000049,U003780,P000146,商品详情相似推荐,recommend_v4,2026-07-15 18:11:38,1,0
RE000000050,U004916,P000172,购物车凑单,recommend_v4,2025-11-14 22:39:07,0,0
RE000000051,U003651,P000390,购物车凑单,recommend_v3,2025-12-04 05:04:32,0,0
RE000000052,U003475,P000946,会员频道,rule_based,2026-04-09 14:46:13,0,0
RE000000053,U000945,P000267,搜索联想,recommend_v4,2025-08-30 11:24:44,0,0
RE000000054,U003887,P000177,购物车凑单,rule_based,2025-02-10 06:34:49,0,0
RE000000055,U000602,P000121,首页猜你喜欢,recommend_v4,2025-01-26 11:12:31,0,0
RE000000056,U000594,P000502,搜索联想,recommend_v3,2025-10-25 02:50:17,0,0
RE000000057,U002141,P000793,商品详情相似推荐,recommend_v3,2026-02-10 08:49:11,1,0
RE000000058,U003739,P000758,购物车凑单,popular,2026-02-24 15:35:49,0,0
RE000000059,U003827,P000944,搜索联想,recommend_v3,2025-07-21 16:41:59,0,0
RE000000060,U000514,P000316,会员频道,recommend_v4,2026-06-30 03:36:23,0,0
RE000000061,U002810,P000595,首页猜你喜欢,recommend_v4,2025-10-01 14:42:53,0,0
RE000000062,U002384,P000795,首页猜你喜欢,rule_based,2025-01-01 23:34:00,0,0
RE000000063,U000840,P000925,会员频道,rule_based,2026-03-15 06:01:45,0,0
RE000000064,U000692,P000190,商品详情相似推荐,recommend_v4,2026-06-15 06:46:09,0,0
RE000000065,U002616,P000550,首页猜你喜欢,rule_based,2025-05-06 11:30:32,0,0
RE000000066,U002005,P000201,商品详情相似推荐,recommend_v3,2026-04-18 18:14:28,0,0
RE000000067,U002171,P001090,购物车凑单,recommend_v4,2026-01-08 13:26:02,0,0
RE000000068,U002433,P001235,会员频道,rule_based,2025-06-12 06:18:40,0,0
RE000000069,U003358,P000035,商品详情相似推荐,popular,2025-01-17 17:20:06,1,0
RE000000070,U001974,P000011,首页猜你喜欢,recommend_v4,2025-06-02 03:27:40,0,0
RE000000071,U004469,P000018,会员频道,recommend_v3,2026-01-04 11:39:53,0,0
RE000000072,U004963,P001485,购物车凑单,recommend_v3,2025-06-15 08:07:52,0,0
RE000000073,U002529,P001017,商品详情相似推荐,popular,2025-06-16 18:58:45,0,0
RE000000074,U004342,P000033,搜索联想,recommend_v3,2025-01-19 07:51:53,0,0
RE000000075,U003159,P001283,商品详情相似推荐,rule_based,2026-05-22 22:21:29,0,0
RE000000076,U003113,P001196,商品详情相似推荐,rule_based,2025-03-03 13:44:55,0,0
RE000000077,U000856,P000715,购物车凑单,rule_based,2025-04-23 01:31:19,0,0
RE000000078,U003930,P001029,购物车凑单,recommend_v4,2025-08-15 21:07:29,0,0
RE000000079,U001357,P001036,会员频道,rule_based,2025-09-29 13:13:51,0,0
RE000000080,U001123,P000586,首页猜你喜欢,recommend_v3,2025-01-25 13:33:32,0,0
RE000000081,U001009,P000492,购物车凑单,recommend_v3,2025-05-08 09:10:40,0,0
RE000000082,U000647,P000597,购物车凑单,popular,2025-04-24 10:37:46,0,0
RE000000083,U004479,P000541,搜索联想,recommend_v3,2025-05-25 09:35:19,0,0
RE000000084,U003438,P001118,首页猜你喜欢,recommend_v3,2025-10-30 20:05:01,0,0
RE000000085,U004510,P000243,购物车凑单,recommend_v3,2026-08-21 04:49:45,0,0
RE000000086,U004960,P000941,搜索联想,recommend_v3,2026-06-29 19:13:38,0,0
RE000000087,U002550,P001033,购物车凑单,popular,2025-05-26 19:00:03,1,0
RE000000088,U003628,P000556,购物车凑单,recommend_v4,2025-07-02 19:41:28,0,0
RE000000089,U001398,P000343,搜索联想,recommend_v3,2025-05-04 07:43:57,0,0
RE000000090,U002743,P000552,会员频道,recommend_v4,2025-03-27 07:48:12,0,0
RE000000091,U000219,P000877,购物车凑单,recommend_v4,2026-07-15 15:59:03,0,0
RE000000092,U003681,P001079,购物车凑单,recommend_v4,2025-02-09 21:37:18,1,0
