refund_item_id,refund_id,order_item_id,sku_id,refund_quantity,refund_amount,refund_type
RFI00000001,RF0000001,OI000005270,SKU0000526,1,863.11,return_and_refund
RFI00000002,RF0000002,OI000006172,SKU0001637,1,2398.25,refund_only
RFI00000003,RF0000003,OI000015711,SKU0000726,1,590.88,return_and_refund
RFI00000004,RF0000003,OI000015708,SKU0001686,2,4564.05,refund_only
RFI00000005,RF0000004,OI000014434,SKU0000262,1,1993.12,return_and_refund
RFI00000006,RF0000005,OI000004802,SKU0000293,1,2030.59,return_and_refund
RFI00000007,RF0000006,OI000003755,SKU0001173,2,2372.99,refund_only
RFI00000008,RF0000006,OI000003754,SKU0000374,1,2151.1,return_and_refund
RFI00000009,RF0000007,OI000006948,SKU0001467,1,855.5,return_and_refund
RFI00000010,RF0000007,OI000006949,SKU0002908,1,1160.37,return_and_refund
RFI00000011,RF0000008,OI000003535,SKU0002177,1,768.71,return_and_refund
RFI00000012,RF0000009,OI000015439,SKU0002661,3,3018.39,refund_only
RFI00000013,RF0000010,OI000009549,SKU0000532,2,744.48,return_and_refund
RFI00000014,RF0000010,OI000009550,SKU0000692,1,3001.42,refund_only
RFI00000015,RF0000011,OI000003783,SKU0000069,1,2825.34,return_and_refund
RFI00000016,RF0000012,OI000005143,SKU0001856,1,1072.42,return_and_refund
RFI00000017,RF0000013,OI000015400,SKU0001562,1,107.76,refund_only
RFI00000018,RF0000013,OI000015401,SKU0001721,2,2308.76,return_and_refund
RFI00000019,RF0000014,OI000006402,SKU0001666,2,869.41,return_and_refund
RFI00000020,RF0000015,OI000015151,SKU0002559,1,89.89,refund_only
RFI00000021,RF0000016,OI000012430,SKU0001085,1,986.99,return_and_refund
RFI00000022,RF0000017,OI000017341,SKU0002917,1,786.42,refund_only
RFI00000023,RF0000018,OI000006791,SKU0002286,1,2761.3,return_and_refund
RFI00000024,RF0000019,OI000010096,SKU0000666,1,3209.17,refund_only
RFI00000025,RF0000020,OI000018257,SKU0001718,1,2584.03,refund_only
RFI00000026,RF0000021,OI000003976,SKU0001014,2,2250.46,return_and_refund
RFI00000027,RF0000022,OI000016814,SKU0001008,4,1658.07,return_and_refund
RFI00000028,RF0000023,OI000014219,SKU0002799,1,1068.72,refund_only
RFI00000029,RF0000024,OI000001651,SKU0002871,1,240.72,refund_only
RFI00000030,RF0000025,OI000012245,SKU0002098,1,1719.5,return_and_refund
RFI00000031,RF0000026,OI000019958,SKU0001736,2,369.13,return_and_refund
RFI00000032,RF0000026,OI000019957,SKU0000296,1,1428.89,return_and_refund
RFI00000033,RF0000027,OI000009266,SKU0001710,1,2072.75,return_and_refund
RFI00000034,RF0000028,OI000006174,SKU0001972,3,2810.18,refund_only
RFI00000035,RF0000029,OI000017203,SKU0001505,1,853.47,refund_only
RFI00000036,RF0000030,OI000013618,SKU0001940,1,1838.48,return_and_refund
RFI00000037,RF0000031,OI000012947,SKU0001460,1,1775.87,return_and_refund
RFI00000038,RF0000032,OI000015991,SKU0001231,1,752.19,refund_only
RFI00000039,RF0000033,OI000000635,SKU0001233,1,1852.74,refund_only
RFI00000040,RF0000034,OI000013967,SKU0001570,2,2293.56,return_and_refund
RFI00000041,RF0000035,OI000006139,SKU0001559,1,2123.8,return_and_refund
RFI00000042,RF0000036,OI000013102,SKU0000004,1,287.35,return_and_refund
RFI00000043,RF0000037,OI000006438,SKU0001588,1,1615.33,return_and_refund
RFI00000044,RF0000038,OI000009822,SKU0002994,1,2652.56,refund_only
RFI00000045,RF0000039,OI000016662,SKU0002029,1,1097.92,return_and_refund
RFI00000046,RF0000040,OI000014949,SKU0002493,1,1548.59,return_and_refund
RFI00000047,RF0000041,OI000016828,SKU0001350,1,2536.44,return_and_refund
RFI00000048,RF0000042,OI000004711,SKU0001459,2,3390.6,return_and_refund
RFI00000049,RF0000043,OI000006275,SKU0002844,2,1761.83,refund_only
RFI00000050,RF0000044,OI000009500,SKU0002121,1,1436.87,return_and_refund
RFI00000051,RF0000045,OI000010157,SKU0001275,1,1144.74,return_and_refund
RFI00000052,RF0000046,OI000006406,SKU0002792,1,34.51,return_and_refund
RFI00000053,RF0000046,OI000006407,SKU0000392,1,931.63,return_and_refund
RFI00000054,RF0000047,OI000014780,SKU0000286,1,822.18,return_and_refund
RFI00000055,RF0000047,OI000014781,SKU0000125,1,774.9,return_and_refund
RFI00000056,RF0000048,OI000009201,SKU0002018,2,5180.59,return_and_refund
RFI00000057,RF0000049,OI000004234,SKU0001387,2,1470.8,return_and_refund
