refund_id,order_id,user_id,refund_reason,refund_amount,refund_status,applied_at,completed_at
RF0000001,O00003134,U001658,拍错或多拍,863.11,completed,2026-05-23 22:30:58,2026-05-28 22:30:58
RF0000002,O00003647,U003067,尺码不合适,2398.25,completed,2026-05-04 12:26:50,2026-05-07 12:26:50
RF0000003,O00009210,U001864,尺码不合适,5154.93,completed,2026-05-26 15:38:00,2026-05-31 15:38:00
RF0000004,O00008450,U003311,不喜欢,1993.12,completed,2026-08-15 00:06:34,2026-08-17 00:06:34
RF0000005,O00002849,U004961,未按时到货,2030.59,completed,2026-06-07 15:37:41,2026-06-09 15:37:41
RF0000006,O00002220,U003764,尺码不合适,4524.09,processing,2026-07-16 01:56:30,
RF0000007,O00004101,U001497,质量问题,2015.87,processing,2026-07-29 20:49:34,
RF0000008,O00002087,U004718,拍错或多拍,768.71,completed,2025-04-21 22:19:43,2025-04-24 22:19:43
RF0000009,O00009048,U004281,不喜欢,3018.39,approved,2026-03-31 17:25:02,
RF0000010,O00005636,U003846,尺码不合适,3745.9,completed,2026-02-05 12:57:17,2026-02-09 12:57:17
RF0000011,O00002236,U004391,不喜欢,2825.34,completed,2026-08-07 22:36:44,2026-08-12 22:36:44
RF0000012,O00003064,U000095,质量问题,1072.42,completed,2026-01-11 02:11:05,2026-01-13 02:11:05
RF0000013,O00009030,U001053,不喜欢,2416.52,completed,2026-09-01 17:25:25,2026-09-02 17:25:25
RF0000014,O00003785,U002634,不喜欢,869.41,completed,2025-10-28 11:52:17,2025-11-01 11:52:17
RF0000015,O00008883,U004357,拍错或多拍,89.89,approved,2026-02-15 11:59:55,
RF0000016,O00007275,U001577,未按时到货,986.99,completed,2026-04-25 04:40:19,2026-04-28 04:40:19
RF0000017,O00010158,U000585,不喜欢,786.42,completed,2026-06-27 01:39:33,2026-06-28 01:39:33
RF0000018,O00004011,U003997,拍错或多拍,2761.3,completed,2026-04-30 01:55:32,2026-05-04 01:55:32
RF0000019,O00005937,U004157,不喜欢,3209.17,completed,2025-02-27 00:42:11,2025-03-03 00:42:11
RF0000020,O00010699,U003185,未按时到货,2584.03,processing,2025-03-26 10:29:14,
RF0000021,O00002363,U001130,拍错或多拍,2250.46,approved,2025-08-18 15:06:38,
RF0000022,O00009864,U002419,拍错或多拍,1658.07,processing,2026-04-18 02:21:47,
RF0000023,O00008325,U003479,尺码不合适,1068.72,completed,2026-07-04 03:31:11,2026-07-08 03:31:11
RF0000024,O00000962,U002763,质量问题,240.72,completed,2026-05-31 17:34:33,2026-06-02 17:34:33
RF0000025,O00007172,U003464,不喜欢,1719.5,completed,2025-05-14 04:31:42,2025-05-17 04:31:42
RF0000026,O00011708,U001991,拍错或多拍,1798.02,completed,2026-06-07 09:17:42,2026-06-12 09:17:42
RF0000027,O00005464,U004204,商品破损,2072.75,processing,2025-10-17 20:06:00,
RF0000028,O00003648,U002643,尺码不合适,2810.18,completed,2025-05-22 10:45:32,2025-05-26 10:45:32
RF0000029,O00010086,U002981,质量问题,853.47,completed,2026-02-25 22:33:07,2026-02-27 22:33:07
RF0000030,O00007965,U001629,不喜欢,1838.48,completed,2025-02-14 18:03:53,2025-02-18 18:03:53
RF0000031,O00007577,U001899,商品破损,1775.87,completed,2025-07-14 11:55:58,2025-07-18 11:55:58
RF0000032,O00009380,U002522,质量问题,752.19,approved,2026-03-02 16:31:18,
RF0000033,O00000361,U002523,拍错或多拍,1852.74,completed,2025-10-11 15:25:03,2025-10-12 15:25:03
RF0000034,O00008178,U002062,商品破损,2293.56,completed,2025-01-23 23:06:58,2025-01-24 23:06:58
RF0000035,O00003626,U002965,不喜欢,2123.8,approved,2025-07-10 20:03:28,
RF0000036,O00007664,U003373,拍错或多拍,287.35,approved,2025-02-14 01:34:58,
RF0000037,O00003805,U003617,尺码不合适,1615.33,completed,2025-08-19 12:25:48,2025-08-21 12:25:48
RF0000038,O00005785,U002870,尺码不合适,2652.56,completed,2025-05-24 18:35:48,2025-05-29 18:35:48
RF0000039,O00009775,U000477,尺码不合适,1097.92,completed,2025-01-30 21:23:40,2025-02-03 21:23:40
RF0000040,O00008751,U000935,质量问题,1548.59,completed,2025-05-21 20:32:45,2025-05-24 20:32:45
RF0000041,O00009871,U004356,不喜欢,2536.44,approved,2026-03-11 04:07:35,
RF0000042,O00002793,U002130,拍错或多拍,3390.6,completed,2026-04-09 22:03:09,2026-04-14 22:03:09
RF0000043,O00003709,U003284,质量问题,1761.83,completed,2026-06-22 23:01:16,2026-06-24 23:01:16
RF0000044,O00005606,U004427,不喜欢,1436.87,completed,2025-12-03 21:33:22,2025-12-05 21:33:22
RF0000045,O00005975,U000358,尺码不合适,1144.74,approved,2025-11-20 14:37:00,
RF0000046,O00003787,U003677,拍错或多拍,966.14,approved,2025-02-23 15:06:07,
RF0000047,O00008650,U001512,质量问题,1597.08,rejected,2026-06-05 12:00:39,2026-06-06 12:00:39
RF0000048,O00005423,U003316,不喜欢,5180.59,rejected,2025-04-22 21:26:24,2025-04-23 21:26:24
RF0000049,O00002517,U003869,商品破损,1470.8,approved,2025-05-20 01:07:46,
RF0000050,O00005010,U000755,不喜欢,122.71,completed,2025-06-17 00:58:09,2025-06-22 00:58:09
RF0000051,O00009197,U003723,未按时到货,1036.58,approved,2025-12-24 10:58:47,
RF0000052,O00009117,U002531,不喜欢,3862.71,completed,2025-11-21 22:45:20,2025-11-25 22:45:20
RF0000053,O00006613,U000290,拍错或多拍,326.45,completed,2025-10-30 01:20:50,2025-11-02 01:20:50
RF0000054,O00006729,U002465,拍错或多拍,2548.69,processing,2025-07-13 14:50:31,
RF0000055,O00004694,U003796,拍错或多拍,7751.79,completed,2025-08-05 16:31:05,2025-08-07 16:31:05
RF0000056,O00004017,U000985,尺码不合适,1991.01,completed,2025-04-26 16:45:39,2025-04-27 16:45:39
RF0000057,O00001943,U000221,不喜欢,2222.53,completed,2025-10-13 22:00:32,2025-10-18 22:00:32
RF0000058,O00004353,U004258,拍错或多拍,1415.19,completed,2025-08-06 19:13:31,2025-08-08 19:13:31
RF0000059,O00002208,U002709,拍错或多拍,4352.82,completed,2025-09-03 16:22:35,2025-09-08 16:22:35
RF0000060,O00004124,U001536,未按时到货,2889.8,completed,2025-03-04 16:47:14,2025-03-05 16:47:14
RF0000061,O00005695,U004078,尺码不合适,867.47,completed,2026-02-17 15:35:47,2026-02-18 15:35:47
RF0000062,O00011979,U001212,商品破损,3013.69,completed,2026-08-04 21:45:35,2026-08-08 21:45:35
RF0000063,O00002072,U003193,未按时到货,3523.08,completed,2025-04-14 05:29:25,2025-04-19 05:29:25
RF0000064,O00000204,U002210,拍错或多拍,1532.78,rejected,2025-01-29 10:58:11,2025-02-02 10:58:11
RF0000065,O00011270,U002601,未按时到货,4719.81,completed,2026-02-05 03:32:01,2026-02-08 03:32:01
RF0000066,O00005049,U002367,未按时到货,975.05,rejected,2026-07-27 13:41:22,2026-07-31 13:41:22
RF0000067,O00004558,U001779,商品破损,942.43,completed,2026-06-13 12:55:52,2026-06-17 12:55:52
RF0000068,O00007922,U003220,尺码不合适,2471.59,completed,2025-04-15 07:00:02,2025-04-20 07:00:02
RF0000069,O00010254,U000559,尺码不合适,1863.86,completed,2026-02-07 08:23:18,2026-02-11 08:23:18
RF0000070,O00010604,U003371,尺码不合适,143.5,completed,2025-06-29 00:46:25,2025-07-02 00:46:25
RF0000071,O00010373,U002213,拍错或多拍,3941.96,processing,2026-07-12 09:23:50,
RF0000072,O00000053,U001936,尺码不合适,207.97,completed,2026-07-30 10:12:51,2026-08-04 10:12:51
RF0000073,O00001260,U001943,尺码不合适,111.06,completed,2025-06-14 04:18:04,2025-06-18 04:18:04
RF0000074,O00005759,U001583,尺码不合适,5138.32,approved,2025-05-25 16:28:48,
RF0000075,O00007046,U002871,商品破损,1175.71,processing,2025-09-23 12:26:43,
RF0000076,O00003802,U002238,拍错或多拍,1437.53,approved,2025-08-01 11:47:58,
RF0000077,O00007364,U003323,质量问题,2603.23,approved,2026-06-17 16:05:34,
RF0000078,O00010365,U000789,尺码不合适,2500.17,approved,2026-03-01 12:53:21,
RF0000079,O00004064,U004732,不喜欢,3911.32,completed,2025-09-28 17:48:32,2025-10-02 17:48:32
RF0000080,O00002261,U004050,尺码不合适,7519.37,approved,2026-02-13 11:44:36,
RF0000081,O00011186,U003686,不喜欢,2221.02,completed,2025-04-02 03:04:00,2025-04-06 03:04:00
RF0000082,O00001872,U001700,质量问题,823.54,completed,2025-08-03 20:52:17,2025-08-08 20:52:17
RF0000083,O00006983,U002508,商品破损,2182.24,rejected,2026-01-09 17:24:04,2026-01-11 17:24:04
RF0000084,O00008207,U004194,不喜欢,6666.83,completed,2026-04-24 04:55:32,2026-04-25 04:55:32
RF0000085,O00010369,U004904,不喜欢,3492.5,completed,2025-03-06 21:18:53,2025-03-11 21:18:53
RF0000086,O00005941,U002395,质量问题,2827.11,completed,2025-05-11 01:19:45,2025-05-13 01:19:45
RF0000087,O00000103,U003046,不喜欢,1004.05,approved,2025-11-09 05:24:37,
RF0000088,O00005578,U003321,拍错或多拍,1538.88,processing,2026-03-02 16:13:52,
