reply_id,review_id,store_id,reply_content,replied_at,reply_type
RVR0000001,RV00003935,S0030,已联系您协助处理,2026-02-08 18:50:19,manual
RVR0000002,RV00004020,S0049,感谢反馈，我们会持续改进,2025-08-30 18:39:40,manual
RVR0000003,RV00004074,S0042,感谢反馈，我们会持续改进,2026-02-12 12:09:59,manual
RVR0000004,RV00005964,S0031,祝您生活愉快,2026-01-08 16:31:48,manual
RVR0000005,RV00000381,S0017,祝您生活愉快,2026-04-14 21:35:04,manual
RVR0000006,RV00002833,S0074,祝您生活愉快,2025-09-30 00:26:26,manual
RVR0000007,RV00000498,S0008,感谢支持，期待再次光临,2026-03-14 14:32:21,template
RVR0000008,RV00003837,S0055,已联系您协助处理,2025-05-09 01:09:58,template
RVR0000009,RV00000285,S0022,已联系您协助处理,2025-05-19 19:07:11,template
RVR0000010,RV00002590,S0055,感谢反馈，我们会持续改进,2026-01-13 17:00:13,manual
RVR0000011,RV00004329,S0044,感谢反馈，我们会持续改进,2025-07-30 05:37:15,manual
RVR0000012,RV00003896,S0038,祝您生活愉快,2026-02-15 07:44:45,manual
RVR0000013,RV00004883,S0034,祝您生活愉快,2025-09-10 21:02:52,manual
RVR0000014,RV00004563,S0047,感谢支持，期待再次光临,2025-10-31 00:31:09,template
RVR0000015,RV00003010,S0009,感谢支持，期待再次光临,2026-03-07 21:29:59,template
RVR0000016,RV00003375,S0066,祝您生活愉快,2025-04-12 02:01:03,manual
RVR0000017,RV00000153,S0024,感谢反馈，我们会持续改进,2026-07-26 08:59:45,manual
RVR0000018,RV00004597,S0045,感谢支持，期待再次光临,2026-03-14 02:24:10,manual
RVR0000019,RV00000679,S0066,感谢支持，期待再次光临,2025-07-12 11:07:27,template
RVR0000020,RV00003297,S0066,感谢支持，期待再次光临,2025-01-05 23:16:30,manual
RVR0000021,RV00005391,S0064,感谢反馈，我们会持续改进,2026-01-15 00:07:22,manual
RVR0000022,RV00005023,S0033,感谢反馈，我们会持续改进,2026-05-04 21:47:54,manual
RVR0000023,RV00004212,S0026,已联系您协助处理,2025-10-08 15:28:25,manual
RVR0000024,RV00001933,S0041,感谢支持，期待再次光临,2025-04-06 18:15:03,template
RVR0000025,RV00001521,S0064,感谢反馈，我们会持续改进,2025-12-03 04:51:18,manual
RVR0000026,RV00004854,S0015,祝您生活愉快,2026-04-11 20:12:54,template
RVR0000027,RV00000476,S0010,感谢反馈，我们会持续改进,2025-04-22 13:24:18,template
RVR0000028,RV00001569,S0031,感谢反馈，我们会持续改进,2025-10-26 15:07:19,template
RVR0000029,RV00003689,S0057,感谢支持，期待再次光临,2025-09-07 20:17:00,template
RVR0000030,RV00002700,S0071,祝您生活愉快,2026-01-27 11:01:32,manual
RVR0000031,RV00002152,S0058,感谢支持，期待再次光临,2025-06-01 19:09:44,template
RVR0000032,RV00000203,S0040,已联系您协助处理,2026-08-12 10:41:03,manual
RVR0000033,RV00003368,S0077,祝您生活愉快,2026-03-31 19:31:48,manual
RVR0000034,RV00005627,S0043,感谢支持，期待再次光临,2025-07-09 06:45:06,template
RVR0000035,RV00005412,S0003,感谢支持，期待再次光临,2026-04-01 03:12:13,manual
RVR0000036,RV00005775,S0063,感谢反馈，我们会持续改进,2026-04-08 15:57:03,manual
RVR0000037,RV00001414,S0064,已联系您协助处理,2025-05-17 20:33:59,template
RVR0000038,RV00005899,S0068,祝您生活愉快,2025-02-03 16:52:33,manual
RVR0000039,RV00001928,S0028,祝您生活愉快,2025-04-11 09:21:47,template
RVR0000040,RV00001284,S0023,感谢反馈，我们会持续改进,2026-02-28 05:41:08,template
RVR0000041,RV00005419,S0021,已联系您协助处理,2025-03-27 20:27:40,manual
RVR0000042,RV00005450,S0001,感谢支持，期待再次光临,2025-09-04 14:15:01,manual
RVR0000043,RV00004417,S0032,感谢反馈，我们会持续改进,2025-05-21 13:59:10,manual
RVR0000044,RV00000908,S0036,感谢反馈，我们会持续改进,2026-05-22 08:41:01,manual
RVR0000045,RV00004479,S0050,感谢支持，期待再次光临,2025-06-09 20:58:09,template
RVR0000046,RV00005932,S0080,祝您生活愉快,2025-12-10 08:13:58,manual
RVR0000047,RV00003412,S0064,感谢反馈，我们会持续改进,2026-05-28 21:26:28,template
RVR0000048,RV00005244,S0068,感谢反馈，我们会持续改进,2025-02-03 18:52:33,manual
RVR0000049,RV00000385,S0059,感谢反馈，我们会持续改进,2025-05-21 07:43:31,manual
RVR0000050,RV00005134,S0038,感谢支持，期待再次光临,2025-10-20 10:37:09,manual
RVR0000051,RV00001563,S0051,感谢支持，期待再次光临,2025-09-25 20:54:07,manual
RVR0000052,RV00003325,S0068,已联系您协助处理,2025-11-17 20:47:56,template
RVR0000053,RV00003201,S0026,已联系您协助处理,2025-08-07 07:40:04,template
RVR0000054,RV00005467,S0043,感谢支持，期待再次光临,2025-03-02 16:58:43,template
RVR0000055,RV00003591,S0050,感谢反馈，我们会持续改进,2025-05-30 04:54:09,manual
RVR0000056,RV00005552,S0045,感谢反馈，我们会持续改进,2026-06-01 08:46:54,manual
RVR0000057,RV00002750,S0070,祝您生活愉快,2025-02-13 22:04:02,template
RVR0000058,RV00005403,S0030,感谢支持，期待再次光临,2025-11-22 06:15:28,template
RVR0000059,RV00003549,S0076,感谢支持，期待再次光临,2025-11-22 23:02:45,manual
RVR0000060,RV00003739,S0026,感谢支持，期待再次光临,2025-08-03 14:40:04,template
RVR0000061,RV00000400,S0024,祝您生活愉快,2026-09-12 12:12:55,manual
RVR0000062,RV00001408,S0073,已联系您协助处理,2025-10-07 11:46:58,manual
RVR0000063,RV00004083,S0010,感谢支持，期待再次光临,2025-10-23 11:39:38,template
RVR0000064,RV00001920,S0066,祝您生活愉快,2026-04-25 08:19:10,template
RVR0000065,RV00004263,S0073,已联系您协助处理,2025-05-10 11:05:15,manual
RVR0000066,RV00002161,S0071,感谢支持，期待再次光临,2025-05-29 00:17:28,manual
RVR0000067,RV00000490,S0051,感谢反馈，我们会持续改进,2025-12-09 11:09:35,manual
RVR0000068,RV00001816,S0038,感谢支持，期待再次光临,2025-05-09 06:31:55,manual
RVR0000069,RV00002832,S0053,感谢反馈，我们会持续改进,2026-05-17 07:41:53,manual
RVR0000070,RV00002149,S0016,感谢反馈，我们会持续改进,2025-08-01 14:13:38,template
RVR0000071,RV00001139,S0029,已联系您协助处理,2026-02-26 22:29:27,template
RVR0000072,RV00003566,S0019,祝您生活愉快,2025-06-20 13:24:09,template
RVR0000073,RV00000615,S0075,感谢支持，期待再次光临,2025-10-15 13:08:47,manual
RVR0000074,RV00001263,S0039,已联系您协助处理,2025-05-11 17:16:58,manual
RVR0000075,RV00001788,S0045,感谢反馈，我们会持续改进,2025-07-10 05:43:06,manual
RVR0000076,RV00000607,S0010,感谢反馈，我们会持续改进,2026-05-29 08:03:14,template
RVR0000077,RV00005329,S0027,感谢反馈，我们会持续改进,2025-10-09 00:24:38,template
RVR0000078,RV00003097,S0035,感谢支持，期待再次光临,2025-12-22 13:48:08,manual
RVR0000079,RV00001466,S0021,已联系您协助处理,2026-03-24 21:08:55,manual
RVR0000080,RV00001525,S0010,祝您生活愉快,2026-07-21 23:44:50,manual
RVR0000081,RV00004296,S0015,已联系您协助处理,2026-08-08 15:24:52,template
RVR0000082,RV00001471,S0074,已联系您协助处理,2025-05-20 07:58:47,template
RVR0000083,RV00004607,S0040,感谢反馈，我们会持续改进,2025-04-18 11:17:22,template
RVR0000084,RV00003865,S0070,感谢反馈，我们会持续改进,2025-07-02 22:39:58,template
RVR0000085,RV00003462,S0019,祝您生活愉快,2025-09-01 21:27:31,manual
RVR0000086,RV00001882,S0002,感谢反馈，我们会持续改进,2025-05-20 13:59:24,manual
RVR0000087,RV00004768,S0014,感谢反馈，我们会持续改进,2025-04-03 17:03:18,manual
RVR0000088,RV00000248,S0006,祝您生活愉快,2025-05-08 13:41:09,template
RVR0000089,RV00002324,S0035,感谢支持，期待再次光临,2026-08-07 17:41:22,template
RVR0000090,RV00005425,S0049,祝您生活愉快,2025-09-15 03:57:59,manual
RVR0000091,RV00000303,S0008,感谢支持，期待再次光临,2025-06-27 22:27:42,manual
RVR0000092,RV00003746,S0078,感谢支持，期待再次光临,2026-04-15 11:53:02,manual
RVR0000093,RV00001879,S0061,祝您生活愉快,2026-01-14 16:17:59,manual
RVR0000094,RV00003194,S0074,已联系您协助处理,2026-08-03 09:53:46,manual
RVR0000095,RV00005037,S0026,感谢反馈，我们会持续改进,2026-04-11 16:47:27,manual
RVR0000096,RV00001805,S0011,祝您生活愉快,2026-05-22 15:31:29,template
RVR0000097,RV00000878,S0052,感谢支持，期待再次光临,2025-10-27 19:22:51,manual
RVR0000098,RV00002629,S0028,感谢反馈，我们会持续改进,2026-06-30 22:01:08,manual
RVR0000099,RV00001715,S0053,感谢支持，期待再次光临,2026-04-29 15:59:56,manual
RVR0000100,RV00001562,S0053,感谢反馈，我们会持续改进,2025-05-17 15:43:12,manual
RVR0000101,RV00005058,S0045,已联系您协助处理,2026-05-24 18:06:01,template
RVR0000102,RV00003790,S0048,感谢反馈，我们会持续改进,2025-01-17 17:39:47,manual
RVR0000103,RV00004433,S0010,祝您生活愉快,2026-04-08 00:23:09,manual
RVR0000104,RV00002519,S0072,感谢支持，期待再次光临,2026-06-25 01:55:22,manual
RVR0000105,RV00005646,S0017,祝您生活愉快,2025-03-30 04:53:03,template
RVR0000106,RV00000639,S0065,感谢反馈，我们会持续改进,2025-12-06 06:14:29,manual
RVR0000107,RV00002336,S0018,祝您生活愉快,2026-05-22 13:31:29,template
RVR0000108,RV00003820,S0028,已联系您协助处理,2026-07-23 11:07:22,template
RVR0000109,RV00000057,S0012,已联系您协助处理,2025-05-29 17:36:07,template
RVR0000110,RV00001307,S0039,感谢反馈，我们会持续改进,2025-12-12 05:44:09,template
RVR0000111,RV00004739,S0009,感谢支持，期待再次光临,2026-03-09 17:50:32,template
RVR0000112,RV00000723,S0043,感谢支持，期待再次光临,2025-05-21 00:32:39,template
RVR0000113,RV00003582,S0059,祝您生活愉快,2025-06-12 16:34:46,manual
RVR0000114,RV00001486,S0020,祝您生活愉快,2025-10-13 09:59:25,manual
RVR0000115,RV00001416,S0010,感谢支持，期待再次光临,2025-06-19 04:20:47,manual
RVR0000116,RV00003869,S0003,感谢反馈，我们会持续改进,2025-08-26 07:29:11,manual
RVR0000117,RV00003634,S0059,已联系您协助处理,2025-08-07 21:32:32,manual
RVR0000118,RV00002299,S0027,感谢反馈，我们会持续改进,2025-03-25 00:13:33,manual
RVR0000119,RV00005066,S0075,感谢反馈，我们会持续改进,2025-04-20 22:39:02,manual
RVR0000120,RV00002002,S0017,祝您生活愉快,2026-08-26 22:10:26,template
RVR0000121,RV00004929,S0001,祝您生活愉快,2025-11-27 15:58:31,manual
RVR0000122,RV00003496,S0025,已联系您协助处理,2025-09-18 14:18:38,template
RVR0000123,RV00004728,S0058,感谢支持，期待再次光临,2025-01-30 09:34:16,template
RVR0000124,RV00005823,S0007,已联系您协助处理,2025-06-12 01:09:15,manual
RVR0000125,RV00000028,S0069,已联系您协助处理,2026-06-07 19:34:09,template
RVR0000126,RV00004326,S0038,感谢反馈，我们会持续改进,2025-07-28 09:31:22,manual
RVR0000127,RV00003676,S0017,祝您生活愉快,2025-10-21 04:54:08,manual
RVR0000128,RV00005588,S0078,感谢支持，期待再次光临,2025-10-07 14:54:39,template
RVR0000129,RV00003947,S0002,感谢支持，期待再次光临,2025-08-28 16:36:14,manual
RVR0000130,RV00002273,S0024,感谢反馈，我们会持续改进,2025-08-12 09:33:19,manual
RVR0000131,RV00001795,S0031,祝您生活愉快,2025-05-07 09:17:37,manual
RVR0000132,RV00004677,S0051,已联系您协助处理,2026-07-31 05:25:26,manual
RVR0000133,RV00001182,S0060,已联系您协助处理,2025-03-03 03:34:54,manual
RVR0000134,RV00004595,S0059,感谢反馈，我们会持续改进,2026-01-24 13:23:42,manual
RVR0000135,RV00002732,S0072,祝您生活愉快,2025-04-06 01:55:33,manual
RVR0000136,RV00003017,S0035,祝您生活愉快,2026-02-25 22:35:03,manual
RVR0000137,RV00001629,S0051,祝您生活愉快,2026-03-01 07:41:22,manual
RVR0000138,RV00005650,S0020,感谢支持，期待再次光临,2025-08-06 09:01:42,manual
RVR0000139,RV00004678,S0059,祝您生活愉快,2026-05-29 06:36:48,manual
RVR0000140,RV00003250,S0030,祝您生活愉快,2025-03-14 23:56:01,manual
RVR0000141,RV00005086,S0039,已联系您协助处理,2025-11-12 14:20:36,template
RVR0000142,RV00004655,S0068,祝您生活愉快,2025-08-07 09:06:48,manual
RVR0000143,RV00005276,S0073,已联系您协助处理,2025-12-15 01:31:57,template
RVR0000144,RV00001085,S0037,感谢反馈，我们会持续改进,2025-10-22 11:33:01,template
RVR0000145,RV00004614,S0030,感谢反馈，我们会持续改进,2025-10-24 15:38:05,manual
RVR0000146,RV00005760,S0047,感谢反馈，我们会持续改进,2025-07-01 05:04:18,template
RVR0000147,RV00001863,S0079,已联系您协助处理,2025-04-18 00:04:58,manual
RVR0000148,RV00003157,S0076,感谢支持，期待再次光临,2026-02-13 21:05:37,template
RVR0000149,RV00005342,S0033,感谢反馈，我们会持续改进,2025-09-08 03:19:15,template
RVR0000150,RV00005942,S0022,感谢支持，期待再次光临,2026-03-20 12:56:45,template
RVR0000151,RV00004797,S0020,祝您生活愉快,2026-07-01 06:21:25,template
RVR0000152,RV00002951,S0007,已联系您协助处理,2026-03-11 02:54:28,template
RVR0000153,RV00005332,S0032,感谢反馈，我们会持续改进,2025-03-13 14:53:41,manual
RVR0000154,RV00004370,S0040,祝您生活愉快,2026-06-07 03:49:18,template
RVR0000155,RV00001536,S0018,感谢反馈，我们会持续改进,2026-07-20 12:03:31,manual
RVR0000156,RV00004705,S0054,感谢反馈，我们会持续改进,2025-05-07 17:06:42,manual
RVR0000157,RV00000179,S0010,感谢支持，期待再次光临,2025-12-13 19:48:05,manual
RVR0000158,RV00002939,S0046,祝您生活愉快,2025-02-26 01:58:12,template
RVR0000159,RV00005831,S0019,感谢支持，期待再次光临,2026-01-18 13:09:48,template
RVR0000160,RV00003770,S0037,感谢支持，期待再次光临,2026-02-20 03:52:05,template
RVR0000161,RV00000892,S0072,感谢反馈，我们会持续改进,2025-05-27 21:49:37,manual
RVR0000162,RV00000556,S0024,感谢支持，期待再次光临,2025-10-02 21:54:29,manual
RVR0000163,RV00003188,S0045,祝您生活愉快,2025-12-17 06:59:25,manual
RVR0000164,RV00000171,S0036,感谢支持，期待再次光临,2026-02-21 02:27:52,template
RVR0000165,RV00001767,S0051,已联系您协助处理,2025-12-12 19:57:26,template
