search_id,session_id,user_id,keyword,category_id,result_count,clicked,converted,searched_at
SE00000001,SES00017295,U002639,送礼,C004,48,0,0,2026-06-03 19:22:24
SE00000002,SES00014037,U002052,休闲食品,C005,58,1,0,2025-01-19 01:42:33
SE00000003,SES00014120,U003040,厨具,C003,723,1,0,2026-08-08 09:46:37
SE00000004,SES00018850,U000627,手机通讯,C019,331,0,0,2025-07-31 11:07:35
SE00000005,SES00012998,,休闲食品,C010,400,0,0,2025-03-20 15:58:03
SE00000006,SES00009489,U003906,文创,C038,379,0,0,2025-12-24 10:16:39
SE00000007,SES00009575,U002131,家用,C002,511,1,0,2026-08-14 14:43:00
SE00000008,SES00003299,,户外装备,C040,122,1,0,2025-12-08 17:19:27
SE00000009,SES00016914,U001687,粮油调味,C020,563,1,0,2025-11-07 21:18:13
SE00000010,SES00015117,U004519,箱包配饰,C039,77,0,0,2025-10-07 10:57:48
SE00000011,SES00002761,U000471,家居生活,C018,423,1,0,2025-11-16 06:01:12
SE00000012,SES00013058,,美妆个护,C023,163,1,0,2026-06-11 09:03:59
SE00000013,SES00014719,U003698,厨具,C007,691,1,0,2025-03-03 21:53:14
SE00000014,SES00000161,U000388,彩妆,C012,479,1,0,2025-12-02 00:53:58
SE00000015,SES00013879,U001016,体育用品,C023,709,1,1,2025-12-24 19:59:59
SE00000016,SES00013095,U004810,家用电器,C027,268,1,0,2025-03-28 05:01:23
SE00000017,SES00015825,U000280,玩具,C024,190,0,0,2026-04-27 14:43:38
SE00000018,SES00006914,U004792,护肤,C028,599,1,1,2026-05-12 02:12:18
SE00000019,SES00017849,U002423,奶粉辅食,C035,217,0,0,2025-04-29 15:15:12
SE00000020,SES00007166,U004054,个人护理,C022,191,1,0,2026-08-22 13:55:25
SE00000021,SES00018086,U000070,轻便,C037,130,0,0,2025-03-04 21:32:15
SE00000022,SES00009052,U000754,洗护,C009,636,1,0,2026-01-21 00:24:30
SE00000023,SES00004865,U003396,护肤,C030,535,0,0,2025-08-14 19:09:53
SE00000024,SES00003778,U003541,婴童用品,C030,57,1,0,2025-01-31 13:08:17
SE00000025,SES00007419,U004014,文创,C028,40,0,0,2026-06-09 09:33:10
SE00000026,SES00018099,U004348,生鲜果蔬,C007,62,1,0,2025-06-28 15:42:39
SE00000027,SES00011680,U004208,彩妆,C040,722,1,0,2026-08-09 07:52:15
SE00000028,SES00017505,U003293,母婴玩具,C010,243,0,0,2026-08-15 14:51:12
SE00000029,SES00007849,U001938,洗护,C039,693,0,0,2026-06-28 22:38:15
SE00000030,SES00000451,U002559,智能设备,C035,194,0,0,2025-01-29 07:48:28
SE00000031,SES00006963,U004710,夏季,C027,95,0,0,2026-07-22 06:39:59
SE00000032,SES00013331,U002410,乐器,C010,173,1,0,2025-06-30 17:58:57
SE00000033,SES00009328,U004302,男装,C017,144,0,0,2025-02-18 17:45:24
SE00000034,SES00006910,U003938,夏季,C037,284,1,0,2025-07-09 13:59:29
SE00000035,SES00007919,U001480,厨具,C024,629,0,0,2026-03-01 17:45:39
SE00000036,SES00013271,U001427,母婴玩具,C022,398,1,1,2025-08-30 07:59:47
SE00000037,SES00014524,U001512,体育用品,C015,257,0,0,2026-02-25 08:57:23
SE00000038,SES00005492,U003377,户外装备,C018,307,0,0,2025-01-09 17:52:37
SE00000039,SES00002388,U001072,智能设备,C029,119,1,0,2026-02-12 17:14:11
SE00000040,SES00002343,U003165,服饰鞋包,C015,624,0,0,2026-01-09 02:14:07
SE00000041,SES00005510,U004236,家用电器,C003,300,0,0,2025-03-11 04:37:11
SE00000042,SES00016457,U000060,生鲜果蔬,C027,25,0,0,2025-07-30 12:48:02
SE00000043,SES00000804,U000585,厨具,C009,569,0,0,2026-08-05 16:11:00
SE00000044,SES00001391,U003186,婴童用品,C034,769,1,0,2026-01-27 08:12:41
SE00000045,SES00014286,U000159,个人护理,C018,678,0,0,2026-05-08 11:19:51
SE00000046,SES00018405,,电脑办公,C003,303,1,0,2025-03-14 08:50:36
SE00000047,SES00019454,U002572,婴童用品,C035,756,1,0,2025-01-13 13:41:10
SE00000048,SES00011240,U004583,清洁用品,C035,485,1,0,2025-02-12 16:04:48
SE00000049,SES00006280,U000352,家具,C029,555,1,0,2026-03-26 21:02:53
SE00000050,SES00010612,U001763,骑行,C024,207,1,0,2025-09-06 09:44:25
SE00000051,SES00015008,U000004,乐器,C003,44,1,0,2026-03-03 18:48:33
SE00000052,SES00016554,U002141,智能设备,C010,577,1,0,2025-01-06 21:23:29
SE00000053,SES00007721,U003809,图书,C025,562,1,0,2025-02-03 16:01:50
SE00000054,SES00018428,U001221,家用电器,C002,392,0,0,2026-02-24 00:11:31
SE00000055,SES00012520,U004187,彩妆,C029,569,0,0,2026-07-04 01:08:02
SE00000056,SES00013462,U003983,婴童用品,C012,694,1,0,2026-08-17 17:28:05
SE00000057,SES00009767,,图书,C028,301,1,0,2025-07-24 04:52:15
SE00000058,SES00009941,U004036,电脑办公,C039,720,1,0,2026-05-09 10:25:46
SE00000059,SES00013849,U003742,手机通讯,C019,607,1,0,2025-04-25 23:11:54
SE00000060,SES00011275,U000276,洗护,C012,508,1,0,2026-05-13 01:04:11
SE00000061,SES00011499,U003255,粮油调味,C014,19,0,0,2026-01-07 15:42:11
SE00000062,SES00016343,U000411,生鲜果蔬,C029,6,1,0,2025-06-19 01:39:54
SE00000063,SES00005651,U002494,体育用品,C013,762,1,0,2026-03-16 01:16:44
SE00000064,SES00013441,U004235,夏季,C014,499,0,0,2025-04-26 12:17:50
SE00000065,SES00010543,,个人护理,C022,794,0,0,2025-10-11 16:25:11
SE00000066,SES00005578,U003818,厨具,C009,284,0,0,2025-12-26 18:50:48
SE00000067,SES00016601,U002894,智能设备,C023,551,0,0,2025-03-02 02:08:09
SE00000068,SES00007005,U002438,护肤,C027,598,0,0,2025-11-30 08:04:25
SE00000069,SES00002754,U004511,奶粉辅食,C023,345,1,0,2025-12-01 07:37:22
SE00000070,SES00007120,U003415,母婴玩具,C027,584,1,0,2025-12-16 17:14:14
SE00000071,SES00015826,U002284,性价比,C003,659,1,0,2026-06-14 23:45:45
SE00000072,SES00000842,U002430,图书文娱,C019,556,1,0,2026-07-01 15:57:03
SE00000073,SES00014165,U004979,智能设备,C015,524,1,0,2026-06-03 00:32:11
SE00000074,SES00007075,U000174,彩妆,C008,252,1,0,2025-05-26 20:32:00
SE00000075,SES00004426,U000935,粮油调味,C008,114,1,0,2025-05-31 15:22:04
SE00000076,SES00007973,U002847,食品生鲜,C010,674,0,0,2025-08-24 23:01:04
SE00000077,SES00001046,,美妆个护,C034,265,0,0,2026-07-18 17:56:23
SE00000078,SES00008666,U004601,个人护理,C013,54,1,1,2025-09-21 12:19:20
SE00000079,SES00005191,U003427,国货,C039,682,1,0,2026-04-12 13:06:41
SE00000080,SES00005812,,文创,C003,506,1,0,2026-05-24 03:19:16
SE00000081,SES00002065,U003315,洗护,C035,537,1,0,2025-07-10 07:19:31
SE00000082,SES00014838,U001255,宠物生活,C034,376,1,0,2025-10-13 08:31:21
SE00000083,SES00003617,U001422,手机通讯,C034,275,0,0,2026-06-12 09:04:38
SE00000084,SES00015866,U002405,宠物生活,C030,584,1,1,2025-04-10 07:41:25
SE00000085,SES00009484,U003742,智能设备,C019,33,0,0,2025-01-04 18:54:09
SE00000086,SES00006445,U000106,粮油调味,C025,91,1,0,2025-02-11 22:38:40
SE00000087,SES00001529,U004910,体育用品,C012,182,1,0,2025-11-13 00:43:33
SE00000088,SES00019456,U004833,童装童鞋,C029,774,0,1,2025-02-05 23:03:14
SE00000089,SES00011031,U003542,骑行,C030,380,1,0,2025-05-21 19:20:14
SE00000090,SES00010135,U003355,图书,C020,577,0,0,2025-11-05 15:52:53
SE00000091,SES00015989,U000153,运动户外,C013,45,1,0,2026-01-28 09:54:43
SE00000092,SES00008758,U003405,婴童用品,C028,717,1,0,2025-04-13 05:59:55
SE00000093,SES00013905,U000263,运动户外,C023,169,0,0,2026-01-20 19:43:31
SE00000094,SES00011463,U000848,智能设备,C012,99,0,0,2025-11-30 21:03:26
SE00000095,SES00017169,U002732,手机通讯,C019,568,1,0,2026-02-27 18:04:23
