ticket_id,user_id,order_id,issue_type,priority,ticket_status,created_at,resolved_at,source_channel
TK0000001,U003304,O00002967,退款售后,normal,resolved,2026-02-15 15:46:50,2026-02-18 07:46:50,social
TK0000002,U000580,O00002300,商品咨询,normal,closed,2025-12-22 02:48:51,2025-12-24 04:48:51,app
TK0000003,U000040,O00002688,商品咨询,normal,closed,2025-08-07 17:56:51,2025-08-07 18:56:51,app
TK0000004,U003339,O00010097,退款售后,normal,processing,2026-03-16 10:09:33,,social
TK0000005,U004477,O00003530,退款售后,normal,resolved,2026-04-15 20:34:30,2026-04-16 04:34:30,phone
TK0000006,U001851,O00004086,账户问题,low,closed,2025-06-22 12:12:16,2025-06-23 13:12:16,social
TK0000007,U001640,O00003025,订单咨询,high,resolved,2025-02-03 05:09:39,2025-02-05 05:09:39,app
TK0000008,U004523,O00004914,物流问题,high,processing,2025-06-25 13:27:01,,web
TK0000009,U000305,,物流问题,normal,closed,2025-01-15 05:15:09,2025-01-17 12:15:09,web
TK0000010,U004660,,账户问题,normal,closed,2025-09-14 21:55:26,2025-09-16 00:55:26,social
TK0000011,U002919,O00004504,商品咨询,normal,closed,2025-05-22 04:29:23,2025-05-23 13:29:23,phone
TK0000012,U000579,,物流问题,normal,closed,2025-11-15 22:37:39,2025-11-18 04:37:39,web
TK0000013,U004479,O00000772,物流问题,normal,closed,2025-06-26 03:57:18,2025-06-27 20:57:18,social
TK0000014,U003727,,活动优惠,urgent,processing,2025-05-08 16:57:49,,app
TK0000015,U000343,O00009166,订单咨询,high,resolved,2025-07-24 11:12:13,2025-07-25 20:12:13,app
TK0000016,U001962,O00011168,商品咨询,normal,closed,2025-03-28 14:49:32,2025-03-29 23:49:32,app
TK0000017,U002892,O00005224,物流问题,low,resolved,2026-01-18 08:01:03,2026-01-18 22:01:03,social
TK0000018,U004898,O00009255,订单咨询,high,closed,2026-06-05 14:01:01,2026-06-08 08:01:01,web
TK0000019,U003719,O00011718,活动优惠,normal,closed,2025-04-18 01:12:20,2025-04-19 03:12:20,social
TK0000020,U003699,O00004683,物流问题,low,processing,2026-07-13 17:03:52,,phone
