track_id,shipment_id,track_status,location,occurred_at
TRK000000001,SHP00000001,已揽收,南京,2025-08-14 08:48:09
TRK000000002,SHP00000001,运输中,南京,2025-08-14 20:48:09
TRK000000003,SHP00000001,派送中,南京,2025-08-15 02:48:09
TRK000000004,SHP00000001,已签收,南京,2025-08-15 08:48:09
TRK000000005,SHP00000002,已揽收,太原,2026-04-07 19:40:38
TRK000000006,SHP00000002,运输中,太原,2026-04-08 07:40:38
TRK000000007,SHP00000002,派送中,太原,2026-04-13 13:40:38
TRK000000008,SHP00000002,已签收,太原,2026-04-13 19:40:38
TRK000000009,SHP00000003,已揽收,青岛,2026-06-27 05:40:58
TRK000000010,SHP00000003,运输中,青岛,2026-06-27 17:40:58
TRK000000011,SHP00000003,派送中,青岛,2026-06-27 23:40:58
TRK000000012,SHP00000003,已签收,青岛,2026-06-28 05:40:58
TRK000000013,SHP00000004,已揽收,天津,2025-09-17 15:59:15
TRK000000014,SHP00000004,运输中,天津,2025-09-18 03:59:15
TRK000000015,SHP00000004,派送中,天津,2025-09-19 09:59:15
TRK000000016,SHP00000004,已签收,天津,2025-09-19 15:59:15
TRK000000017,SHP00000005,已揽收,上海,2026-08-08 00:25:27
TRK000000018,SHP00000005,运输中,上海,2026-08-08 12:25:27
TRK000000019,SHP00000005,派送中,上海,2026-08-13 18:25:27
TRK000000020,SHP00000005,已签收,上海,2026-08-14 00:25:27
TRK000000021,SHP00000006,已揽收,青岛,2025-11-23 23:53:06
TRK000000022,SHP00000006,运输中,青岛,2025-11-24 11:53:06
TRK000000023,SHP00000006,派送中,青岛,2025-11-26 17:53:06
TRK000000024,SHP00000006,已签收,青岛,2025-11-26 23:53:06
TRK000000025,SHP00000007,已揽收,南京,2025-04-10 15:02:18
TRK000000026,SHP00000007,运输中,南京,2025-04-11 03:02:18
TRK000000027,SHP00000007,派送中,南京,2025-04-16 09:02:18
TRK000000028,SHP00000007,已签收,南京,2025-04-16 15:02:18
TRK000000029,SHP00000008,已揽收,北京,2025-08-06 04:45:48
TRK000000030,SHP00000008,运输中,北京,2025-08-06 16:45:48
TRK000000031,SHP00000008,派送中,北京,2025-08-09 22:45:48
TRK000000032,SHP00000008,已签收,北京,2025-08-10 04:45:48
TRK000000033,SHP00000009,已揽收,石家庄,2026-03-24 06:25:51
TRK000000034,SHP00000009,运输中,石家庄,2026-03-24 18:25:51
TRK000000035,SHP00000010,已揽收,天津,2026-02-03 03:27:37
TRK000000036,SHP00000010,运输中,天津,2026-02-03 15:27:37
TRK000000037,SHP00000010,派送中,天津,2026-02-03 21:27:37
TRK000000038,SHP00000010,已签收,天津,2026-02-04 03:27:37
TRK000000039,SHP00000011,已揽收,石家庄,2025-07-27 16:49:53
TRK000000040,SHP00000011,运输中,石家庄,2025-07-28 04:49:53
TRK000000041,SHP00000011,派送中,石家庄,2025-08-01 10:49:53
TRK000000042,SHP00000011,已签收,石家庄,2025-08-01 16:49:53
TRK000000043,SHP00000012,已揽收,天津,2025-01-25 08:10:45
TRK000000044,SHP00000012,运输中,天津,2025-01-25 20:10:45
TRK000000045,SHP00000012,派送中,天津,2025-01-29 02:10:45
TRK000000046,SHP00000012,已签收,天津,2025-01-29 08:10:45
TRK000000047,SHP00000013,已揽收,青岛,2026-05-23 08:40:15
TRK000000048,SHP00000013,运输中,青岛,2026-05-23 20:40:15
TRK000000049,SHP00000013,派送中,青岛,2026-05-28 02:40:15
TRK000000050,SHP00000013,已签收,青岛,2026-05-28 08:40:15
TRK000000051,SHP00000014,已揽收,南宁,2025-03-20 03:00:25
TRK000000052,SHP00000014,运输中,南宁,2025-03-20 15:00:25
TRK000000053,SHP00000014,派送中,南宁,2025-03-23 21:00:25
TRK000000054,SHP00000014,已签收,南宁,2025-03-24 03:00:25
TRK000000055,SHP00000015,已揽收,北京,2025-12-24 22:16:16
TRK000000056,SHP00000015,运输中,北京,2025-12-25 10:16:16
TRK000000057,SHP00000015,派送中,北京,2025-12-29 16:16:16
TRK000000058,SHP00000015,已签收,北京,2025-12-29 22:16:16
TRK000000059,SHP00000016,已揽收,广州,2025-11-18 01:59:09
TRK000000060,SHP00000016,运输中,广州,2025-11-18 13:59:09
TRK000000061,SHP00000016,派送中,广州,2025-11-18 19:59:09
TRK000000062,SHP00000016,已签收,广州,2025-11-19 01:59:09
TRK000000063,SHP00000017,已揽收,武汉,2025-06-13 06:18:11
TRK000000064,SHP00000017,运输中,武汉,2025-06-13 18:18:11
TRK000000065,SHP00000017,派送中,武汉,2025-06-19 00:18:11
TRK000000066,SHP00000017,已签收,武汉,2025-06-19 06:18:11
TRK000000067,SHP00000018,已揽收,长沙,2025-09-20 05:33:44
TRK000000068,SHP00000018,运输中,长沙,2025-09-20 17:33:44
TRK000000069,SHP00000018,派送中,长沙,2025-09-24 23:33:44
TRK000000070,SHP00000018,已签收,长沙,2025-09-25 05:33:44
TRK000000071,SHP00000019,已揽收,深圳,2026-07-21 02:07:46
TRK000000072,SHP00000019,运输中,深圳,2026-07-21 14:07:46
TRK000000073,SHP00000019,派送中,深圳,2026-07-22 20:07:46
TRK000000074,SHP00000019,已签收,深圳,2026-07-23 02:07:46
TRK000000075,SHP00000020,已揽收,南宁,2025-06-30 22:51:55
TRK000000076,SHP00000020,运输中,南宁,2025-07-01 10:51:55
TRK000000077,SHP00000020,派送中,南宁,2025-07-01 16:51:55
TRK000000078,SHP00000020,已签收,南宁,2025-07-01 22:51:55
TRK000000079,SHP00000021,已揽收,南宁,2026-02-19 11:15:39
TRK000000080,SHP00000021,运输中,南宁,2026-02-19 23:15:39
TRK000000081,SHP00000021,派送中,南宁,2026-02-22 05:15:39
TRK000000082,SHP00000021,已签收,南宁,2026-02-22 11:15:39
TRK000000083,SHP00000022,已揽收,南昌,2025-10-26 11:38:21
TRK000000084,SHP00000022,运输中,南昌,2025-10-26 23:38:21
TRK000000085,SHP00000023,已揽收,深圳,2026-04-02 22:36:24
TRK000000086,SHP00000023,运输中,深圳,2026-04-03 10:36:24
TRK000000087,SHP00000023,派送中,深圳,2026-04-07 16:36:24
TRK000000088,SHP00000023,已签收,深圳,2026-04-07 22:36:24
TRK000000089,SHP00000024,已揽收,广州,2025-09-09 05:54:06
TRK000000090,SHP00000024,运输中,广州,2025-09-09 17:54:06
TRK000000091,SHP00000024,派送中,广州,2025-09-10 23:54:06
TRK000000092,SHP00000024,已签收,广州,2025-09-11 05:54:06
TRK000000093,SHP00000025,已揽收,重庆,2025-04-22 21:48:25
TRK000000094,SHP00000025,运输中,重庆,2025-04-23 09:48:25
TRK000000095,SHP00000025,派送中,重庆,2025-04-24 15:48:25
TRK000000096,SHP00000025,已签收,重庆,2025-04-24 21:48:25
TRK000000097,SHP00000026,已揽收,成都,2025-04-05 10:52:07
TRK000000098,SHP00000026,运输中,成都,2025-04-05 22:52:07
TRK000000099,SHP00000026,派送中,成都,2025-04-09 04:52:07
TRK000000100,SHP00000026,已签收,成都,2025-04-09 10:52:07
TRK000000101,SHP00000027,已揽收,南京,2026-01-11 12:11:30
TRK000000102,SHP00000027,运输中,南京,2026-01-12 00:11:30
TRK000000103,SHP00000027,派送中,南京,2026-01-15 06:11:30
TRK000000104,SHP00000027,已签收,南京,2026-01-15 12:11:30
TRK000000105,SHP00000028,已揽收,厦门,2025-04-17 03:19:24
TRK000000106,SHP00000028,运输中,厦门,2025-04-17 15:19:24
TRK000000107,SHP00000028,派送中,厦门,2025-04-18 21:19:24
TRK000000108,SHP00000028,已签收,厦门,2025-04-19 03:19:24
TRK000000109,SHP00000029,已揽收,深圳,2026-03-02 08:58:31
TRK000000110,SHP00000029,运输中,深圳,2026-03-02 20:58:31
TRK000000111,SHP00000029,派送中,深圳,2026-03-03 02:58:31
TRK000000112,SHP00000029,已签收,深圳,2026-03-03 08:58:31
TRK000000113,SHP00000030,已揽收,深圳,2026-08-05 17:21:59
TRK000000114,SHP00000030,运输中,深圳,2026-08-06 05:21:59
TRK000000115,SHP00000030,派送中,深圳,2026-08-09 11:21:59
