shipment_id,order_id,warehouse_id,carrier_name,tracking_no,shipped_at,delivered_at,shipment_status,package_count
SHP00000001,O00000001,W003,京东物流,MOCK000000000001,2025-08-14 08:48:09,2025-08-15 08:48:09,delivered,1
SHP00000002,O00000002,W007,京东物流,MOCK000000000002,2026-04-07 19:40:38,2026-04-13 19:40:38,delivered,4
SHP00000003,O00000003,W014,顺丰速运,MOCK000000000003,2026-06-27 05:40:58,2026-06-28 05:40:58,delivered,1
SHP00000004,O00000005,W005,圆通速递,MOCK000000000004,2025-09-17 15:59:15,2025-09-19 15:59:15,delivered,1
SHP00000005,O00000006,W003,顺丰速运,MOCK000000000005,2026-08-08 00:25:27,2026-08-14 00:25:27,delivered,1
SHP00000006,O00000007,W001,中通快递,MOCK000000000006,2025-11-23 23:53:06,2025-11-26 23:53:06,delivered,4
SHP00000007,O00000009,W008,顺丰速运,MOCK000000000007,2025-04-10 15:02:18,2025-04-16 15:02:18,delivered,2
SHP00000008,O00000010,W002,中通快递,MOCK000000000008,2025-08-06 04:45:48,2025-08-10 04:45:48,delivered,3
SHP00000009,O00000011,W013,京东物流,MOCK000000000009,2026-03-24 06:25:51,,in_transit,1
SHP00000010,O00000012,W001,圆通速递,MOCK000000000010,2026-02-03 03:27:37,2026-02-04 03:27:37,delivered,2
SHP00000011,O00000013,W001,圆通速递,MOCK000000000011,2025-07-27 16:49:53,2025-08-01 16:49:53,delivered,2
SHP00000012,O00000014,W004,中通快递,MOCK000000000012,2025-01-25 08:10:45,2025-01-29 08:10:45,delivered,4
SHP00000013,O00000015,W012,顺丰速运,MOCK000000000013,2026-05-23 08:40:15,2026-05-28 08:40:15,delivered,4
SHP00000014,O00000016,W010,顺丰速运,MOCK000000000014,2025-03-20 03:00:25,2025-03-24 03:00:25,delivered,2
SHP00000015,O00000017,W010,顺丰速运,MOCK000000000015,2025-12-24 22:16:16,2025-12-29 22:16:16,delivered,3
SHP00000016,O00000019,W002,中通快递,MOCK000000000016,2025-11-18 01:59:09,2025-11-19 01:59:09,delivered,4
SHP00000017,O00000020,W005,韵达快递,MOCK000000000017,2025-06-13 06:18:11,2025-06-19 06:18:11,delivered,2
SHP00000018,O00000021,W010,京东物流,MOCK000000000018,2025-09-20 05:33:44,2025-09-25 05:33:44,delivered,2
SHP00000019,O00000022,W002,韵达快递,MOCK000000000019,2026-07-21 02:07:46,2026-07-23 02:07:46,delivered,4
SHP00000020,O00000023,W011,顺丰速运,MOCK000000000020,2025-06-30 22:51:55,2025-07-01 22:51:55,delivered,4
SHP00000021,O00000024,W008,韵达快递,MOCK000000000021,2026-02-19 11:15:39,2026-02-22 11:15:39,delivered,3
SHP00000022,O00000025,W002,中通快递,MOCK000000000022,2025-10-26 11:38:21,,in_transit,1
SHP00000023,O00000026,W010,中通快递,MOCK000000000023,2026-04-02 22:36:24,2026-04-07 22:36:24,delivered,1
SHP00000024,O00000028,W009,中通快递,MOCK000000000024,2025-09-09 05:54:06,2025-09-11 05:54:06,delivered,1
SHP00000025,O00000029,W011,中通快递,MOCK000000000025,2025-04-22 21:48:25,2025-04-24 21:48:25,delivered,1
SHP00000026,O00000031,W015,京东物流,MOCK000000000026,2025-04-05 10:52:07,2025-04-09 10:52:07,delivered,2
SHP00000027,O00000032,W005,圆通速递,MOCK000000000027,2026-01-11 12:11:30,2026-01-15 12:11:30,delivered,4
SHP00000028,O00000033,W008,圆通速递,MOCK000000000028,2025-04-17 03:19:24,2025-04-19 03:19:24,delivered,2
SHP00000029,O00000034,W009,京东物流,MOCK000000000029,2026-03-02 08:58:31,2026-03-03 08:58:31,delivered,4
SHP00000030,O00000035,W001,韵达快递,MOCK000000000030,2026-08-05 17:21:59,2026-08-09 17:21:59,delivered,4
SHP00000031,O00000036,W006,中通快递,MOCK000000000031,2025-11-28 03:49:13,2025-12-02 03:49:13,delivered,1
SHP00000032,O00000037,W003,韵达快递,MOCK000000000032,2026-05-05 10:49:58,2026-05-06 10:49:58,delivered,1
SHP00000033,O00000038,W004,中通快递,MOCK000000000033,2026-03-12 17:12:21,2026-03-16 17:12:21,delivered,3
SHP00000034,O00000039,W010,顺丰速运,MOCK000000000034,2025-04-25 03:02:46,2025-04-27 03:02:46,delivered,4
SHP00000035,O00000040,W003,顺丰速运,MOCK000000000035,2025-10-31 06:43:38,2025-11-06 06:43:38,delivered,3
SHP00000036,O00000041,W006,京东物流,MOCK000000000036,2025-08-19 05:23:50,2025-08-21 05:23:50,delivered,1
SHP00000037,O00000042,W003,中通快递,MOCK000000000037,2026-04-04 18:42:08,2026-04-07 18:42:08,delivered,2
SHP00000038,O00000043,W001,圆通速递,MOCK000000000038,2026-01-19 18:20:17,2026-01-24 18:20:17,delivered,2
SHP00000039,O00000045,W011,京东物流,MOCK000000000039,2025-08-15 04:07:00,2025-08-16 04:07:00,delivered,4
SHP00000040,O00000046,W002,顺丰速运,MOCK000000000040,2026-08-07 16:11:06,2026-08-10 16:11:06,delivered,2
SHP00000041,O00000047,W009,圆通速递,MOCK000000000041,2026-04-06 17:47:54,2026-04-08 17:47:54,delivered,4
SHP00000042,O00000048,W016,韵达快递,MOCK000000000042,2025-12-08 04:17:38,2025-12-11 04:17:38,delivered,3
SHP00000043,O00000049,W012,韵达快递,MOCK000000000043,2026-06-17 22:31:48,2026-06-22 22:31:48,delivered,4
SHP00000044,O00000050,W008,韵达快递,MOCK000000000044,2025-01-13 08:12:31,2025-01-19 08:12:31,delivered,1
SHP00000045,O00000051,W003,京东物流,MOCK000000000045,2025-07-30 12:47:40,2025-08-05 12:47:40,delivered,1
SHP00000046,O00000052,W016,圆通速递,MOCK000000000046,2026-01-20 04:29:55,2026-01-22 04:29:55,delivered,2
SHP00000047,O00000053,W010,圆通速递,MOCK000000000047,2026-07-28 03:12:51,2026-08-03 03:12:51,delivered,1
SHP00000048,O00000054,W005,顺丰速运,MOCK000000000048,2025-03-12 17:27:19,,in_transit,3
SHP00000049,O00000055,W007,圆通速递,MOCK000000000049,2026-05-24 06:11:46,,in_transit,2
SHP00000050,O00000056,W003,中通快递,MOCK000000000050,2025-04-14 11:14:50,2025-04-15 11:14:50,delivered,1
SHP00000051,O00000058,W009,京东物流,MOCK000000000051,2025-12-04 23:38:16,,in_transit,1
SHP00000052,O00000059,W009,韵达快递,MOCK000000000052,2025-11-18 17:33:20,,in_transit,2
SHP00000053,O00000060,W006,京东物流,MOCK000000000053,2025-07-31 21:00:37,2025-08-04 21:00:37,delivered,3
SHP00000054,O00000061,W006,中通快递,MOCK000000000054,2026-02-10 17:09:57,2026-02-14 17:09:57,delivered,1
SHP00000055,O00000062,W012,圆通速递,MOCK000000000055,2026-06-01 12:46:44,,in_transit,4
SHP00000056,O00000063,W016,京东物流,MOCK000000000056,2026-02-06 11:32:54,2026-02-07 11:32:54,delivered,2
SHP00000057,O00000064,W014,京东物流,MOCK000000000057,2025-06-08 23:25:24,2025-06-09 23:25:24,delivered,2
SHP00000058,O00000065,W001,圆通速递,MOCK000000000058,2026-04-27 09:41:53,2026-04-29 09:41:53,delivered,2
SHP00000059,O00000069,W016,韵达快递,MOCK000000000059,2025-08-05 18:21:54,2025-08-10 18:21:54,delivered,2
SHP00000060,O00000070,W011,中通快递,MOCK000000000060,2026-03-02 02:02:19,2026-03-03 02:02:19,delivered,1
SHP00000061,O00000071,W013,圆通速递,MOCK000000000061,2026-02-15 13:13:12,2026-02-19 13:13:12,delivered,4
SHP00000062,O00000072,W014,顺丰速运,MOCK000000000062,2025-08-10 05:18:57,2025-08-15 05:18:57,delivered,1
SHP00000063,O00000073,W011,圆通速递,MOCK000000000063,2026-04-09 21:06:01,2026-04-15 21:06:01,delivered,2
SHP00000064,O00000075,W004,韵达快递,MOCK000000000064,2025-10-14 04:14:49,2025-10-15 04:14:49,delivered,1
SHP00000065,O00000076,W015,韵达快递,MOCK000000000065,2025-04-14 17:31:09,2025-04-20 17:31:09,delivered,2
SHP00000066,O00000077,W016,京东物流,MOCK000000000066,2026-04-20 20:36:48,2026-04-26 20:36:48,delivered,4
SHP00000067,O00000078,W002,顺丰速运,MOCK000000000067,2026-03-06 08:21:22,2026-03-07 08:21:22,delivered,2
