cart_id,user_id,updated_at,cart_status,platform
CART0000001,U004362,2025-04-09 01:10:45,abandoned,web
CART0000002,U003974,2025-06-08 07:48:43,converted,app
CART0000003,U003620,2026-03-10 03:31:25,converted,app
CART0000004,U003498,2025-04-05 08:11:24,abandoned,app
CART0000005,U001036,2025-11-20 19:59:54,converted,web
CART0000006,U001219,2025-05-20 00:45:53,converted,app
CART0000007,U002582,2026-01-17 18:09:14,active,app
CART0000008,U003031,2026-04-22 06:24:16,converted,app
CART0000009,U001977,2025-10-11 13:13:59,converted,app
CART0000010,U000935,2025-03-04 20:56:33,abandoned,mini_program
CART0000011,U004956,2025-03-24 17:34:27,active,app
CART0000012,U000411,2026-08-21 23:50:39,active,app
CART0000013,U003074,2025-04-08 23:13:53,abandoned,mini_program
CART0000014,U003925,2025-11-10 22:26:48,active,app
CART0000015,U001275,2025-04-28 06:06:09,active,app
CART0000016,U004064,2025-01-16 05:17:11,active,app
CART0000017,U002174,2026-03-17 22:40:53,active,app
CART0000018,U003080,2025-05-06 12:42:56,active,app
CART0000019,U002067,2025-07-09 16:28:04,active,mini_program
CART0000020,U001398,2025-01-12 07:48:37,abandoned,app
CART0000021,U001012,2026-07-21 03:21:20,converted,app
CART0000022,U004401,2025-12-01 01:21:50,converted,app
CART0000023,U000442,2025-09-05 03:01:13,abandoned,app
CART0000024,U000142,2025-08-28 05:52:29,converted,mini_program
CART0000025,U002839,2025-03-06 21:25:08,converted,app
CART0000026,U004207,2026-03-02 03:25:28,converted,app
CART0000027,U000867,2026-03-17 00:36:09,converted,web
CART0000028,U004247,2025-03-17 09:17:00,abandoned,app
CART0000029,U004751,2025-03-08 06:17:30,converted,app
CART0000030,U002578,2025-10-07 15:36:21,abandoned,app
CART0000031,U000394,2026-05-08 13:40:00,active,app
CART0000032,U004178,2026-02-22 03:44:45,active,app
CART0000033,U001580,2025-01-28 21:56:46,abandoned,app
CART0000034,U004941,2026-06-14 23:16:01,active,app
CART0000035,U000558,2025-02-16 21:21:38,active,web
CART0000036,U004006,2025-12-04 06:46:57,active,mini_program
CART0000037,U004729,2026-05-03 17:06:30,converted,app
CART0000038,U004220,2025-10-18 06:10:09,active,app
CART0000039,U000594,2026-07-25 09:10:38,converted,app
CART0000040,U002088,2026-02-24 21:45:18,abandoned,app
CART0000041,U000853,2026-02-13 17:58:17,abandoned,web
CART0000042,U003569,2026-05-04 23:08:21,active,web
CART0000043,U001508,2025-02-09 02:09:49,active,app
CART0000044,U000913,2025-04-14 11:07:49,converted,app
CART0000045,U000951,2025-05-09 06:08:26,converted,web
CART0000046,U003027,2025-01-04 18:49:37,active,app
CART0000047,U004853,2026-06-28 15:08:38,active,app
CART0000048,U003660,2025-09-04 01:37:32,converted,app
CART0000049,U004550,2026-05-23 14:56:13,converted,app
CART0000050,U002758,2026-05-17 08:56:47,converted,app
CART0000051,U001572,2026-06-13 07:24:24,converted,app
CART0000052,U002189,2025-12-15 03:46:00,active,web
CART0000053,U001821,2025-08-12 22:42:56,abandoned,app
CART0000054,U003399,2026-01-21 23:01:31,abandoned,app
CART0000055,U004412,2025-02-19 05:56:21,active,web
CART0000056,U000940,2025-03-19 23:53:55,abandoned,mini_program
CART0000057,U002214,2025-07-05 02:31:05,abandoned,mini_program
