sku_id,warehouse_id,available_qty,reserved_qty,safety_stock,max_stock,updated_at
SKU0000001,W012,99,58,96,637,2026-08-22 23:59:59
SKU0000002,W001,491,9,79,970,2026-08-22 23:59:59
SKU0000003,W016,612,45,68,634,2026-08-22 23:59:59
SKU0000004,W015,767,51,27,864,2026-08-22 23:59:59
SKU0000005,W005,393,20,94,646,2026-08-22 23:59:59
SKU0000006,W005,100,74,29,775,2026-08-22 23:59:59
SKU0000007,W008,754,21,22,458,2026-08-22 23:59:59
SKU0000008,W015,531,21,148,697,2026-08-22 23:59:59
SKU0000009,W009,314,27,56,422,2026-08-22 23:59:59
SKU0000010,W015,440,49,119,1177,2026-08-22 23:59:59
SKU0000011,W009,248,68,39,1152,2026-08-22 23:59:59
SKU0000012,W014,351,16,118,986,2026-08-22 23:59:59
SKU0000013,W013,606,23,92,398,2026-08-22 23:59:59
SKU0000014,W009,30,0,28,274,2026-08-22 23:59:59
SKU0000015,W004,680,20,105,594,2026-08-22 23:59:59
SKU0000016,W002,673,14,77,881,2026-08-22 23:59:59
SKU0000017,W002,49,45,149,901,2026-08-22 23:59:59
SKU0000018,W015,207,70,86,855,2026-08-22 23:59:59
SKU0000019,W003,720,4,136,923,2026-08-22 23:59:59
SKU0000020,W016,264,23,58,346,2026-08-22 23:59:59
SKU0000021,W004,375,7,31,1079,2026-08-22 23:59:59
SKU0000022,W011,66,4,130,327,2026-08-22 23:59:59
SKU0000023,W011,629,71,142,953,2026-08-22 23:59:59
SKU0000024,W006,131,28,56,522,2026-08-22 23:59:59
SKU0000025,W006,661,63,103,1155,2026-08-22 23:59:59
SKU0000026,W015,654,64,98,402,2026-08-22 23:59:59
SKU0000027,W012,190,28,143,997,2026-08-22 23:59:59
SKU0000028,W004,311,31,91,1171,2026-08-22 23:59:59
SKU0000029,W005,316,9,122,948,2026-08-22 23:59:59
SKU0000030,W008,131,1,95,498,2026-08-22 23:59:59
SKU0000031,W005,436,64,118,872,2026-08-22 23:59:59
SKU0000032,W014,450,55,85,381,2026-08-22 23:59:59
SKU0000033,W013,474,73,37,848,2026-08-22 23:59:59
SKU0000034,W009,533,7,74,1119,2026-08-22 23:59:59
SKU0000035,W008,61,50,126,1045,2026-08-22 23:59:59
SKU0000036,W014,374,56,131,490,2026-08-22 23:59:59
SKU0000037,W016,71,55,128,574,2026-08-22 23:59:59
SKU0000038,W005,538,3,48,252,2026-08-22 23:59:59
SKU0000039,W011,347,21,73,913,2026-08-22 23:59:59
SKU0000040,W016,447,45,93,639,2026-08-22 23:59:59
SKU0000041,W011,738,43,47,783,2026-08-22 23:59:59
SKU0000042,W004,732,65,40,614,2026-08-22 23:59:59
SKU0000043,W008,482,58,122,990,2026-08-22 23:59:59
SKU0000044,W003,93,66,59,338,2026-08-22 23:59:59
SKU0000045,W004,197,0,144,311,2026-08-22 23:59:59
SKU0000046,W014,568,0,79,218,2026-08-22 23:59:59
SKU0000047,W007,395,71,102,1066,2026-08-22 23:59:59
SKU0000048,W012,283,63,137,1039,2026-08-22 23:59:59
SKU0000049,W014,11,0,117,605,2026-08-22 23:59:59
SKU0000050,W001,739,15,53,547,2026-08-22 23:59:59
SKU0000051,W014,508,64,148,615,2026-08-22 23:59:59
SKU0000052,W003,404,19,34,201,2026-08-22 23:59:59
SKU0000053,W010,200,44,96,862,2026-08-22 23:59:59
SKU0000054,W005,128,39,31,1123,2026-08-22 23:59:59
SKU0000055,W011,191,69,57,563,2026-08-22 23:59:59
SKU0000056,W009,722,58,47,633,2026-08-22 23:59:59
SKU0000057,W014,583,37,121,240,2026-08-22 23:59:59
SKU0000058,W001,300,66,128,1049,2026-08-22 23:59:59
SKU0000059,W012,285,69,86,262,2026-08-22 23:59:59
SKU0000060,W011,656,7,78,523,2026-08-22 23:59:59
SKU0000061,W015,338,5,34,1044,2026-08-22 23:59:59
SKU0000062,W015,564,8,109,358,2026-08-22 23:59:59
SKU0000063,W006,238,71,108,1058,2026-08-22 23:59:59
SKU0000064,W006,372,62,116,1152,2026-08-22 23:59:59
SKU0000065,W015,111,26,87,804,2026-08-22 23:59:59
SKU0000066,W015,648,9,140,556,2026-08-22 23:59:59
SKU0000067,W003,381,10,83,429,2026-08-22 23:59:59
SKU0000068,W011,78,77,92,565,2026-08-22 23:59:59
SKU0000069,W012,278,64,134,911,2026-08-22 23:59:59
SKU0000070,W001,64,9,32,1173,2026-08-22 23:59:59
SKU0000071,W013,392,48,108,587,2026-08-22 23:59:59
SKU0000072,W004,684,13,90,238,2026-08-22 23:59:59
SKU0000073,W014,137,45,142,533,2026-08-22 23:59:59
SKU0000074,W016,417,17,69,991,2026-08-22 23:59:59
SKU0000075,W014,191,62,71,236,2026-08-22 23:59:59
SKU0000076,W013,321,45,51,404,2026-08-22 23:59:59
SKU0000077,W012,254,3,116,262,2026-08-22 23:59:59
SKU0000078,W013,240,13,100,635,2026-08-22 23:59:59
SKU0000079,W014,687,54,30,1114,2026-08-22 23:59:59
SKU0000080,W005,484,42,130,897,2026-08-22 23:59:59
SKU0000081,W012,730,18,133,716,2026-08-22 23:59:59
SKU0000082,W006,686,70,84,826,2026-08-22 23:59:59
SKU0000083,W015,144,38,58,1175,2026-08-22 23:59:59
SKU0000084,W003,170,67,94,934,2026-08-22 23:59:59
SKU0000085,W001,279,28,71,1071,2026-08-22 23:59:59
SKU0000086,W014,416,24,21,1134,2026-08-22 23:59:59
SKU0000087,W009,167,1,43,769,2026-08-22 23:59:59
SKU0000088,W009,124,52,75,950,2026-08-22 23:59:59
SKU0000089,W009,222,64,57,314,2026-08-22 23:59:59
SKU0000090,W003,522,20,146,559,2026-08-22 23:59:59
SKU0000091,W007,470,27,135,1019,2026-08-22 23:59:59
SKU0000092,W008,520,36,75,841,2026-08-22 23:59:59
SKU0000093,W008,394,42,56,542,2026-08-22 23:59:59
SKU0000094,W003,736,63,54,966,2026-08-22 23:59:59
SKU0000095,W016,799,15,36,490,2026-08-22 23:59:59
SKU0000096,W006,544,78,109,975,2026-08-22 23:59:59
SKU0000097,W001,275,27,98,214,2026-08-22 23:59:59
SKU0000098,W005,515,72,23,970,2026-08-22 23:59:59
SKU0000099,W005,658,39,71,698,2026-08-22 23:59:59
SKU0000100,W005,545,75,108,763,2026-08-22 23:59:59
SKU0000101,W016,540,10,75,349,2026-08-22 23:59:59
SKU0000102,W003,780,30,143,1027,2026-08-22 23:59:59
SKU0000103,W003,195,78,87,1175,2026-08-22 23:59:59
SKU0000104,W015,299,64,97,1161,2026-08-22 23:59:59
SKU0000105,W011,549,23,100,382,2026-08-22 23:59:59
SKU0000106,W008,414,37,72,587,2026-08-22 23:59:59
SKU0000107,W005,70,20,37,692,2026-08-22 23:59:59
SKU0000108,W011,364,5,22,976,2026-08-22 23:59:59
SKU0000109,W012,509,30,68,223,2026-08-22 23:59:59
SKU0000110,W001,208,47,130,262,2026-08-22 23:59:59
SKU0000111,W003,473,63,81,884,2026-08-22 23:59:59
SKU0000112,W008,568,67,150,401,2026-08-22 23:59:59
SKU0000113,W009,68,8,135,698,2026-08-22 23:59:59
SKU0000114,W003,112,11,31,1070,2026-08-22 23:59:59
SKU0000115,W001,660,15,41,395,2026-08-22 23:59:59
SKU0000116,W014,142,65,29,955,2026-08-22 23:59:59
SKU0000117,W016,240,53,148,382,2026-08-22 23:59:59
SKU0000118,W009,40,17,79,355,2026-08-22 23:59:59
SKU0000119,W004,206,65,97,859,2026-08-22 23:59:59
SKU0000120,W006,447,13,60,223,2026-08-22 23:59:59
SKU0000121,W001,465,7,117,971,2026-08-22 23:59:59
SKU0000122,W009,717,48,147,358,2026-08-22 23:59:59
SKU0000123,W010,795,18,56,995,2026-08-22 23:59:59
SKU0000124,W001,171,19,145,561,2026-08-22 23:59:59
SKU0000125,W015,81,35,82,309,2026-08-22 23:59:59
SKU0000126,W014,514,26,144,598,2026-08-22 23:59:59
SKU0000127,W005,698,70,79,213,2026-08-22 23:59:59
SKU0000128,W011,299,37,99,381,2026-08-22 23:59:59
SKU0000129,W005,605,61,57,587,2026-08-22 23:59:59
SKU0000130,W002,194,70,100,257,2026-08-22 23:59:59
SKU0000131,W008,524,15,141,817,2026-08-22 23:59:59
SKU0000132,W005,666,16,32,1126,2026-08-22 23:59:59
SKU0000133,W015,626,28,26,1095,2026-08-22 23:59:59
SKU0000134,W010,733,47,103,530,2026-08-22 23:59:59
SKU0000135,W001,23,2,24,1136,2026-08-22 23:59:59
SKU0000136,W005,253,49,93,1030,2026-08-22 23:59:59
SKU0000137,W011,453,5,138,1124,2026-08-22 23:59:59
SKU0000138,W010,552,67,148,763,2026-08-22 23:59:59
SKU0000139,W012,323,31,43,475,2026-08-22 23:59:59
SKU0000140,W003,574,33,122,586,2026-08-22 23:59:59
SKU0000141,W001,371,45,113,809,2026-08-22 23:59:59
SKU0000142,W011,174,45,38,425,2026-08-22 23:59:59
SKU0000143,W007,677,17,44,1181,2026-08-22 23:59:59
SKU0000144,W014,234,40,104,309,2026-08-22 23:59:59
SKU0000145,W011,169,0,114,653,2026-08-22 23:59:59
SKU0000146,W004,785,42,43,249,2026-08-22 23:59:59
SKU0000147,W015,408,23,48,347,2026-08-22 23:59:59
SKU0000148,W003,365,61,144,676,2026-08-22 23:59:59
SKU0000149,W015,443,10,42,669,2026-08-22 23:59:59
SKU0000150,W002,687,24,66,210,2026-08-22 23:59:59
SKU0000151,W011,645,76,107,561,2026-08-22 23:59:59
SKU0000152,W015,463,55,40,961,2026-08-22 23:59:59
SKU0000153,W001,286,56,73,209,2026-08-22 23:59:59
SKU0000154,W004,403,75,136,1158,2026-08-22 23:59:59
SKU0000155,W007,748,2,23,439,2026-08-22 23:59:59
SKU0000156,W014,766,67,62,967,2026-08-22 23:59:59
SKU0000157,W006,630,47,71,463,2026-08-22 23:59:59
SKU0000158,W011,228,38,26,786,2026-08-22 23:59:59
SKU0000159,W006,595,19,40,536,2026-08-22 23:59:59
SKU0000160,W009,775,73,51,364,2026-08-22 23:59:59
SKU0000161,W006,61,8,50,1152,2026-08-22 23:59:59
SKU0000162,W012,537,30,118,770,2026-08-22 23:59:59
SKU0000163,W013,523,28,135,963,2026-08-22 23:59:59
SKU0000164,W001,228,25,88,699,2026-08-22 23:59:59
SKU0000165,W015,465,27,91,268,2026-08-22 23:59:59
SKU0000166,W004,612,46,78,796,2026-08-22 23:59:59
SKU0000167,W015,107,6,147,418,2026-08-22 23:59:59
SKU0000168,W005,690,33,35,590,2026-08-22 23:59:59
SKU0000169,W007,781,17,109,369,2026-08-22 23:59:59
SKU0000170,W014,403,29,24,760,2026-08-22 23:59:59
SKU0000171,W006,420,44,150,881,2026-08-22 23:59:59
SKU0000172,W015,76,48,30,1171,2026-08-22 23:59:59
SKU0000173,W011,238,18,68,736,2026-08-22 23:59:59
SKU0000174,W009,545,41,135,910,2026-08-22 23:59:59
SKU0000175,W001,97,6,91,813,2026-08-22 23:59:59
SKU0000176,W001,710,69,109,753,2026-08-22 23:59:59
SKU0000177,W004,363,15,61,565,2026-08-22 23:59:59
SKU0000178,W008,790,60,148,1190,2026-08-22 23:59:59
SKU0000179,W015,604,61,111,359,2026-08-22 23:59:59
SKU0000180,W006,386,30,138,402,2026-08-22 23:59:59
SKU0000181,W012,474,53,111,431,2026-08-22 23:59:59
SKU0000182,W001,562,71,52,349,2026-08-22 23:59:59
SKU0000183,W016,23,1,52,1158,2026-08-22 23:59:59
SKU0000184,W016,78,42,59,1149,2026-08-22 23:59:59
SKU0000185,W001,632,29,123,1193,2026-08-22 23:59:59
SKU0000186,W014,514,66,41,1142,2026-08-22 23:59:59
SKU0000187,W015,555,29,101,756,2026-08-22 23:59:59
SKU0000188,W014,229,79,123,769,2026-08-22 23:59:59
SKU0000189,W009,429,59,103,1011,2026-08-22 23:59:59
SKU0000190,W001,181,69,22,1047,2026-08-22 23:59:59
SKU0000191,W016,83,52,96,554,2026-08-22 23:59:59
SKU0000192,W005,654,33,67,780,2026-08-22 23:59:59
SKU0000193,W015,730,23,112,738,2026-08-22 23:59:59
SKU0000194,W001,633,26,131,1087,2026-08-22 23:59:59
SKU0000195,W001,741,35,89,800,2026-08-22 23:59:59
SKU0000196,W004,229,18,21,536,2026-08-22 23:59:59
SKU0000197,W001,272,0,62,848,2026-08-22 23:59:59
SKU0000198,W001,171,57,138,726,2026-08-22 23:59:59
SKU0000199,W009,113,50,52,577,2026-08-22 23:59:59
SKU0000200,W008,632,51,39,832,2026-08-22 23:59:59
SKU0000201,W016,177,54,136,523,2026-08-22 23:59:59
SKU0000202,W006,586,58,102,830,2026-08-22 23:59:59
SKU0000203,W013,17,16,139,318,2026-08-22 23:59:59
SKU0000204,W003,141,15,141,1140,2026-08-22 23:59:59
SKU0000205,W014,348,17,36,710,2026-08-22 23:59:59
SKU0000206,W009,646,58,122,1091,2026-08-22 23:59:59
SKU0000207,W015,430,61,112,1181,2026-08-22 23:59:59
SKU0000208,W011,112,21,61,1016,2026-08-22 23:59:59
SKU0000209,W009,399,39,90,697,2026-08-22 23:59:59
SKU0000210,W012,197,15,104,296,2026-08-22 23:59:59
SKU0000211,W009,604,29,34,227,2026-08-22 23:59:59
SKU0000212,W005,391,76,32,771,2026-08-22 23:59:59
SKU0000213,W013,208,9,87,357,2026-08-22 23:59:59
SKU0000214,W010,620,56,46,488,2026-08-22 23:59:59
SKU0000215,W013,202,22,63,1028,2026-08-22 23:59:59
SKU0000216,W002,571,63,26,1070,2026-08-22 23:59:59
SKU0000217,W009,505,50,43,247,2026-08-22 23:59:59
SKU0000218,W009,5,3,149,274,2026-08-22 23:59:59
SKU0000219,W014,732,28,64,306,2026-08-22 23:59:59
SKU0000220,W001,106,45,34,1154,2026-08-22 23:59:59
SKU0000221,W001,267,77,22,1142,2026-08-22 23:59:59
SKU0000222,W005,772,26,137,679,2026-08-22 23:59:59
SKU0000223,W013,38,9,147,554,2026-08-22 23:59:59
SKU0000224,W011,632,47,112,741,2026-08-22 23:59:59
SKU0000225,W005,170,78,54,854,2026-08-22 23:59:59
SKU0000226,W011,770,52,49,606,2026-08-22 23:59:59
SKU0000227,W012,710,31,77,710,2026-08-22 23:59:59
SKU0000228,W009,737,44,141,416,2026-08-22 23:59:59
SKU0000229,W016,8,5,109,762,2026-08-22 23:59:59
SKU0000230,W009,728,46,76,1119,2026-08-22 23:59:59
SKU0000231,W005,256,66,91,448,2026-08-22 23:59:59
SKU0000232,W002,658,42,71,799,2026-08-22 23:59:59
SKU0000233,W011,241,79,76,873,2026-08-22 23:59:59
SKU0000234,W015,4,2,109,1042,2026-08-22 23:59:59
SKU0000235,W015,267,58,127,1177,2026-08-22 23:59:59
SKU0000236,W008,295,32,80,933,2026-08-22 23:59:59
SKU0000237,W005,304,69,78,724,2026-08-22 23:59:59
SKU0000238,W006,198,58,21,1181,2026-08-22 23:59:59
SKU0000239,W013,636,72,95,485,2026-08-22 23:59:59
SKU0000240,W006,768,3,126,701,2026-08-22 23:59:59
SKU0000241,W006,272,7,50,743,2026-08-22 23:59:59
SKU0000242,W002,746,78,90,739,2026-08-22 23:59:59
SKU0000243,W016,682,72,83,343,2026-08-22 23:59:59
SKU0000244,W013,365,22,109,629,2026-08-22 23:59:59
SKU0000245,W014,376,59,55,693,2026-08-22 23:59:59
SKU0000246,W010,206,24,43,270,2026-08-22 23:59:59
SKU0000247,W006,309,68,60,1115,2026-08-22 23:59:59
SKU0000248,W010,229,37,142,922,2026-08-22 23:59:59
SKU0000249,W014,115,3,81,890,2026-08-22 23:59:59
SKU0000250,W011,508,11,133,211,2026-08-22 23:59:59
SKU0000251,W009,336,30,51,957,2026-08-22 23:59:59
SKU0000252,W008,150,32,105,848,2026-08-22 23:59:59
SKU0000253,W006,188,44,91,1029,2026-08-22 23:59:59
