device_id,user_id,device_type,platform,app_version,last_active_at,trusted
D0000001,U001666,Android,星购App,6.0.0,2025-01-27 03:40:55,1
D0000002,U004917,Android,微信小程序,5.9.1,2025-05-05 11:53:47,1
D0000003,U002807,iOS,星购App,6.0.0,2026-08-19 15:04:42,1
D0000004,U004128,Windows,星购App,6.0.0,2025-09-25 09:45:44,1
D0000005,U004927,Android,星购App,5.9.1,2026-06-08 03:16:31,1
D0000006,U001867,Android,星购App,web,2025-09-21 19:55:12,1
D0000007,U003072,iOS,星购App,6.0.0,2025-11-15 04:38:56,1
D0000008,U000987,Android,微信小程序,6.0.0,2025-03-28 13:16:04,1
D0000009,U003473,Android,星购App,6.0.0,2026-08-04 00:18:27,1
D0000010,U002424,Android,星购App,5.8.0,2026-08-07 03:01:51,1
D0000011,U002919,iOS,星购App,5.9.1,2026-02-14 09:17:18,1
D0000012,U001147,Windows,星购App,6.0.0,2026-08-21 13:19:14,1
D0000013,U001005,Android,星购App,5.9.1,2025-11-24 15:25:37,1
D0000014,U003247,iOS,星购App,5.9.1,2026-01-21 08:50:52,1
D0000015,U003619,Android,星购App,5.9.1,2026-08-01 04:44:44,1
D0000016,U002775,Android,网页,5.9.1,2026-06-06 21:12:40,1
D0000017,U004051,Android,星购App,web,2026-03-01 01:56:44,1
D0000018,U000587,Windows,星购App,5.8.0,2026-08-11 03:15:26,1
D0000019,U002568,Windows,星购App,web,2025-01-15 04:06:03,1
D0000020,U000683,Android,星购App,web,2025-02-15 23:12:20,1
D0000021,U004160,iOS,星购App,6.0.0,2026-01-17 18:59:50,1
D0000022,U003629,Android,星购App,web,2025-01-02 15:40:37,1
D0000023,U004071,Android,星购App,5.9.1,2026-04-15 01:44:43,1
D0000024,U001653,iOS,星购App,5.9.1,2026-08-18 19:24:10,1
D0000025,U002949,Android,星购App,5.9.1,2025-08-22 04:13:48,1
D0000026,U002034,Windows,网页,5.8.0,2025-02-23 12:24:21,1
D0000027,U000699,iOS,星购App,6.0.0,2025-07-29 18:43:08,1
D0000028,U001152,iOS,星购App,6.0.0,2025-07-29 00:48:55,1
D0000029,U000581,Android,网页,5.8.0,2026-08-09 21:48:01,1
D0000030,U002354,Android,星购App,5.8.0,2025-01-20 09:47:50,1
D0000031,U003322,iOS,星购App,6.0.0,2026-05-04 12:46:35,1
D0000032,U001655,Windows,星购App,5.8.0,2026-06-13 06:24:02,1
D0000033,U002463,iOS,微信小程序,6.0.0,2025-03-18 07:15:05,1
D0000034,U001672,Windows,星购App,6.0.0,2025-02-18 09:01:28,1
D0000035,U002701,Android,星购App,5.8.0,2025-09-18 16:25:45,1
D0000036,U000300,iOS,星购App,5.9.1,2025-02-19 21:34:05,1
D0000037,U004498,Windows,星购App,web,2026-08-02 19:23:46,1
D0000038,U003961,macOS,星购App,6.0.0,2026-04-21 19:16:21,1
D0000039,U004482,Android,网页,6.0.0,2025-01-13 18:40:37,1
D0000040,U000293,iOS,星购App,5.8.0,2026-03-08 20:07:16,1
D0000041,U000830,Android,星购App,5.8.0,2026-05-14 06:02:32,1
D0000042,U004126,macOS,星购App,6.0.0,2025-02-23 22:46:40,1
D0000043,U000980,Android,星购App,6.0.0,2026-03-19 18:24:46,1
D0000044,U003049,iOS,星购App,5.9.1,2025-02-15 07:05:23,1
D0000045,U004934,Android,微信小程序,6.0.0,2025-09-06 16:50:12,1
D0000046,U002032,Android,星购App,5.8.0,2025-09-21 23:06:44,1
D0000047,U002113,Android,星购App,6.0.0,2025-09-07 01:33:39,1
D0000048,U004204,iOS,网页,5.8.0,2026-01-08 06:25:22,1
D0000049,U001775,Android,星购App,6.0.0,2025-11-22 19:00:29,1
D0000050,U000173,macOS,星购App,web,2025-11-15 17:37:09,1
D0000051,U003950,Android,微信小程序,6.0.0,2025-02-01 22:15:57,1
D0000052,U000383,Android,星购App,5.9.1,2025-04-27 21:45:53,1
D0000053,U001962,Android,星购App,5.9.1,2025-05-23 19:01:14,1
D0000054,U002000,Windows,星购App,5.8.0,2026-08-20 02:59:00,1
D0000055,U002375,iOS,星购App,5.9.1,2026-07-31 11:16:45,1
D0000056,U004670,Android,星购App,5.9.1,2026-05-29 16:01:34,1
D0000057,U004877,iOS,星购App,web,2025-01-18 10:10:15,1
D0000058,U001341,Android,星购App,5.8.0,2025-04-22 22:52:41,1
D0000059,U000833,Android,网页,6.0.0,2025-05-25 12:49:49,1
D0000060,U003343,Android,星购App,5.8.0,2026-07-10 17:11:46,1
D0000061,U002116,Windows,星购App,5.9.1,2025-10-07 03:18:02,1
D0000062,U001715,Android,网页,6.0.0,2026-01-07 17:43:31,1
D0000063,U000913,Android,网页,6.0.0,2026-02-08 17:35:34,1
D0000064,U003782,Android,星购App,5.8.0,2026-02-21 08:58:42,1
D0000065,U000869,Windows,网页,6.0.0,2025-09-23 05:08:21,1
D0000066,U002937,iOS,星购App,6.0.0,2025-02-11 10:45:31,1
D0000067,U000257,Android,星购App,6.0.0,2026-05-21 18:19:24,1
D0000068,U004536,Windows,星购App,5.8.0,2025-02-10 06:52:05,1
D0000069,U000362,iOS,微信小程序,5.8.0,2025-01-03 01:54:54,1
D0000070,U004951,iOS,星购App,5.8.0,2025-09-02 11:49:31,1
D0000071,U002583,Android,星购App,6.0.0,2025-08-17 10:51:26,1
D0000072,U004256,iOS,星购App,5.9.1,2026-01-12 23:31:42,1
D0000073,U001816,iOS,网页,5.9.1,2026-07-26 01:59:51,1
D0000074,U002804,Android,星购App,5.8.0,2025-05-24 06:01:31,1
D0000075,U000880,Android,星购App,5.9.1,2025-03-18 15:00:51,1
D0000076,U004451,Android,星购App,5.9.1,2025-07-24 08:31:53,1
D0000077,U004146,Windows,网页,6.0.0,2025-10-25 08:47:06,1
D0000078,U001061,iOS,星购App,6.0.0,2025-05-15 22:53:44,1
D0000079,U002282,Windows,网页,6.0.0,2025-08-17 03:58:46,1
D0000080,U003329,Android,星购App,web,2026-05-19 21:54:54,1
D0000081,U000955,Android,微信小程序,5.9.1,2025-06-08 16:26:15,1
D0000082,U001185,Android,星购App,5.9.1,2025-11-27 20:49:20,1
D0000083,U003803,Windows,星购App,5.8.0,2025-04-07 11:35:30,1
D0000084,U002944,Android,微信小程序,6.0.0,2026-08-19 05:04:10,1
D0000085,U001067,Windows,星购App,5.8.0,2025-04-03 00:30:17,1
D0000086,U003788,iOS,微信小程序,6.0.0,2025-03-01 01:26:41,1
D0000087,U001922,iOS,星购App,web,2025-11-25 07:43:20,1
D0000088,U003337,iOS,微信小程序,5.8.0,2026-07-30 11:54:12,1
D0000089,U000612,Android,星购App,5.9.1,2025-09-01 13:35:15,1
D0000090,U003312,iOS,网页,6.0.0,2025-04-21 22:26:06,1
D0000091,U003663,Windows,微信小程序,5.8.0,2025-11-27 00:52:36,1
