session_id,user_id,device_id,channel_id,started_at,ended_at,duration_seconds,landing_page,converted
SES00000001,U002694,D0000974,CH09,2026-01-30 09:05:31,2026-01-30 09:11:08,337,home,0
SES00000002,U002279,D0002168,CH03,2026-06-30 07:27:08,2026-06-30 07:27:56,48,home,0
SES00000003,U000967,D0005673,CH08,2025-10-27 16:59:24,2025-10-27 17:04:07,283,product,0
SES00000004,U004701,D0001733,CH08,2026-03-22 10:38:53,2026-03-22 10:40:18,85,live,0
SES00000005,U002843,D0005367,CH02,2026-07-19 21:16:15,2026-07-19 21:18:06,111,search,0
SES00000006,U004079,D0006467,CH11,2025-12-07 11:15:50,2025-12-07 11:29:15,805,campaign,0
SES00000007,U002280,D0000974,CH02,2025-09-02 02:26:54,2025-09-02 02:27:26,32,product,1
SES00000008,U000770,D0003770,CH12,2025-10-02 09:48:58,2025-10-02 09:51:33,155,search,0
SES00000009,U000972,D0003390,CH06,2025-05-09 02:29:39,2025-05-09 02:35:17,338,home,1
SES00000010,U004415,D0000114,CH05,2026-03-23 00:36:30,2026-03-23 00:39:57,207,campaign,1
SES00000011,U004236,D0001875,CH04,2025-05-13 19:12:08,2025-05-13 19:14:39,151,campaign,0
SES00000012,U000958,D0004430,CH01,2026-04-15 06:56:40,2026-04-15 06:59:06,146,campaign,0
SES00000013,U000656,D0003551,CH01,2026-06-18 10:53:57,2026-06-18 10:56:16,139,product,0
SES00000014,U004969,D0004485,CH11,2026-06-13 22:07:41,2026-06-13 22:10:51,190,search,1
SES00000015,U002032,D0002608,CH01,2025-05-18 08:57:05,2025-05-18 09:01:35,270,home,0
SES00000016,U002680,D0004732,CH07,2025-04-05 16:02:38,2025-04-05 16:05:24,166,live,1
SES00000017,U003474,D0003697,CH04,2026-01-26 15:57:58,2026-01-26 16:00:29,151,product,0
SES00000018,U000931,D0001878,CH03,2026-08-21 06:06:36,2026-08-21 06:07:51,75,search,0
SES00000019,U002791,D0000570,CH01,2026-03-23 21:54:02,2026-03-23 21:55:32,90,campaign,0
SES00000020,U000976,D0003167,CH11,2026-01-29 13:48:27,2026-01-29 13:49:37,70,product,0
SES00000021,U004164,D0000049,CH02,2026-06-10 13:59:02,2026-06-10 13:59:39,37,home,0
SES00000022,U001339,D0002449,CH04,2025-06-25 03:08:05,2025-06-25 03:17:54,589,home,0
SES00000023,U000841,D0006472,CH04,2025-07-29 20:09:03,2025-07-29 20:10:13,70,search,0
SES00000024,U000338,D0006535,CH02,2026-06-08 02:53:56,2026-06-08 02:57:08,192,home,0
SES00000025,U001938,D0005546,CH09,2025-02-11 03:37:22,2025-02-11 03:42:42,320,home,0
SES00000026,U000967,D0000824,CH04,2026-06-07 01:37:26,2026-06-07 01:38:39,73,home,0
SES00000027,U004444,D0005283,CH01,2026-07-09 18:11:26,2026-07-09 18:12:24,58,search,0
SES00000028,,D0005991,CH01,2026-01-12 22:28:38,2026-01-12 22:32:57,259,product,0
SES00000029,U004581,D0005807,CH03,2025-11-04 02:58:43,2025-11-04 03:00:16,93,home,0
SES00000030,U003361,D0006742,CH04,2025-01-23 22:03:28,2025-01-23 22:07:18,230,home,0
SES00000031,U004616,D0000462,CH07,2026-06-30 10:39:30,2026-06-30 10:40:48,78,search,0
SES00000032,U004870,D0000331,CH08,2025-04-24 07:52:15,2025-04-24 07:55:42,207,home,0
SES00000033,U003876,D0005004,CH01,2025-04-26 00:16:51,2025-04-26 00:19:59,188,home,0
SES00000034,U003126,D0003584,CH02,2025-11-02 16:23:46,2025-11-02 16:33:03,557,home,0
SES00000035,,D0005772,CH01,2025-05-10 17:37:10,2025-05-10 17:37:31,21,search,1
SES00000036,U002804,D0000368,CH04,2025-11-27 02:50:37,2025-11-27 02:52:35,118,live,0
SES00000037,U000777,D0006579,CH02,2025-09-29 06:09:38,2025-09-29 06:14:46,308,home,0
SES00000038,U004179,D0004603,CH03,2025-12-31 02:32:57,2025-12-31 02:36:28,211,search,1
SES00000039,U003816,D0002350,CH01,2026-06-06 00:17:40,2026-06-06 00:24:44,424,search,0
SES00000040,U001105,D0002555,CH03,2026-06-12 13:29:38,2026-06-12 13:31:01,83,home,1
SES00000041,U003100,D0002286,CH04,2025-06-30 23:21:10,2025-06-30 23:22:34,84,search,0
SES00000042,U004924,D0001537,CH05,2026-06-28 23:06:50,2026-06-28 23:08:44,114,product,0
SES00000043,,D0003129,CH08,2025-05-10 06:11:18,2025-05-10 06:15:37,259,product,0
SES00000044,U003567,D0004066,CH01,2025-08-07 07:21:41,2025-08-07 07:24:07,146,product,0
SES00000045,U000220,D0002086,CH06,2025-08-25 01:17:58,2025-08-25 01:22:15,257,home,0
SES00000046,U000495,D0005699,CH01,2025-10-28 17:14:25,2025-10-28 17:24:31,606,campaign,0
SES00000047,U004397,D0002205,CH04,2025-01-16 12:53:42,2025-01-16 12:55:06,84,home,1
SES00000048,U001210,D0005861,CH07,2026-03-22 14:31:46,2026-03-22 14:35:11,205,home,0
SES00000049,U003098,D0002364,CH08,2025-07-04 19:33:42,2025-07-04 19:41:44,482,campaign,0
SES00000050,U003087,D0000295,CH10,2025-01-02 17:49:07,2025-01-02 17:53:09,242,product,0
SES00000051,U002543,D0003207,CH02,2025-11-17 05:30:46,2025-11-17 05:34:14,208,home,0
SES00000052,U003042,D0005113,CH09,2025-10-25 02:35:28,2025-10-25 02:36:49,81,product,0
SES00000053,U000066,D0004914,CH07,2025-05-28 07:06:39,2025-05-28 07:08:48,129,product,1
SES00000054,,D0005981,CH08,2026-01-25 16:12:05,2026-01-25 16:13:44,99,campaign,0
SES00000055,U001070,D0003349,CH04,2025-08-27 18:23:52,2025-08-27 18:25:08,76,campaign,1
SES00000056,U001789,D0003881,CH02,2026-03-07 23:37:02,2026-03-07 23:43:42,400,live,0
SES00000057,U000864,D0005891,CH09,2025-06-30 21:27:41,2025-06-30 21:28:35,54,campaign,0
SES00000058,U002841,D0006011,CH02,2026-02-23 12:57:12,2026-02-23 12:57:39,27,product,0
SES00000059,U000827,D0000462,CH07,2026-07-15 13:07:04,2026-07-15 13:08:43,99,product,1
SES00000060,U004362,D0000508,CH01,2026-04-29 15:49:05,2026-04-29 15:50:35,90,home,0
SES00000061,U003287,D0003459,CH03,2025-05-09 21:40:25,2025-05-09 21:42:06,101,product,0
SES00000062,U002392,D0001032,CH03,2025-01-24 20:17:42,2025-01-24 20:22:04,262,product,1
SES00000063,U004347,D0000781,CH06,2025-08-09 20:59:56,2025-08-09 21:06:48,412,campaign,0
SES00000064,U002081,D0006641,CH02,2026-08-10 13:37:47,2026-08-10 13:44:00,373,product,0
SES00000065,U000691,D0001824,CH01,2025-05-21 18:47:32,2025-05-21 18:53:13,341,product,0
SES00000066,U000309,D0005010,CH02,2025-07-02 13:55:01,2025-07-02 13:56:27,86,home,0
SES00000067,U002429,D0005791,CH02,2025-06-18 20:37:56,2025-06-18 20:40:00,124,home,0
SES00000068,U004552,D0005940,CH03,2026-07-20 12:22:48,2026-07-20 12:36:35,827,campaign,0
SES00000069,U002077,D0001540,CH08,2025-07-20 07:17:30,2025-07-20 07:17:55,25,campaign,0
SES00000070,U001902,D0006148,CH01,2026-08-01 01:01:56,2026-08-01 01:04:04,128,product,0
SES00000071,U003708,D0002474,CH02,2025-12-08 21:25:15,2025-12-08 21:26:36,81,live,0
SES00000072,U000473,D0002311,CH02,2025-01-21 08:06:39,2025-01-21 08:11:50,311,search,0
SES00000073,U002668,D0005748,CH01,2025-03-11 20:36:51,2025-03-11 20:42:47,356,home,1
SES00000074,U003589,D0003005,CH07,2025-06-16 20:22:48,2025-06-16 20:23:38,50,campaign,0
SES00000075,U000298,D0000197,CH11,2025-06-29 14:42:16,2025-06-29 14:43:00,44,product,0
SES00000076,,D0005695,CH03,2025-03-07 14:03:50,2025-03-07 14:05:05,75,home,0
SES00000077,U001533,D0003686,CH04,2025-11-09 06:18:04,2025-11-09 06:22:13,249,campaign,0
SES00000078,U002075,D0005240,CH08,2025-10-20 01:50:54,2025-10-20 01:51:43,49,product,0
SES00000079,U003062,D0001022,CH04,2025-09-20 07:20:43,2025-09-20 07:22:56,133,search,0
SES00000080,U003513,D0002162,CH08,2026-06-15 19:29:22,2026-06-15 19:31:03,101,home,0
SES00000081,U000919,D0004369,CH04,2025-09-20 19:06:38,2025-09-20 19:10:45,247,search,0
