relation_id,user_id,tag_id,score,assigned_at,source
UTR00000001,U003010,TAG02,0.6176,2025-01-25 03:42:00,model
UTR00000002,U000883,TAG08,0.745,2026-01-20 06:55:21,rule
UTR00000003,U001581,TAG13,0.5508,2025-06-16 22:50:56,model
UTR00000004,U003251,TAG07,0.6701,2026-06-02 11:07:43,rule
UTR00000005,U002248,TAG03,0.9608,2025-12-28 17:06:15,manual
UTR00000006,U002120,TAG09,0.998,2026-01-28 19:17:02,rule
UTR00000007,U003284,TAG12,0.7641,2026-08-11 04:12:28,rule
UTR00000008,U000253,TAG04,0.8476,2025-11-06 22:18:06,rule
UTR00000009,U002176,TAG16,0.561,2026-06-15 07:10:23,model
UTR00000010,U000989,TAG01,0.603,2026-04-01 09:40:25,rule
UTR00000011,U004484,TAG03,0.7086,2026-05-20 17:23:21,rule
UTR00000012,U000793,TAG07,0.8359,2025-07-29 07:31:37,rule
UTR00000013,U000337,TAG09,0.6505,2026-05-22 17:05:18,model
UTR00000014,U002978,TAG08,0.9464,2025-12-14 11:21:33,rule
UTR00000015,U004763,TAG04,0.5637,2025-11-12 17:24:46,model
UTR00000016,U003081,TAG14,0.682,2025-07-31 10:22:04,model
UTR00000017,U001128,TAG15,0.999,2025-07-26 01:22:05,rule
UTR00000018,U002437,TAG02,0.6488,2025-09-20 03:48:40,model
UTR00000019,U003991,TAG11,0.8277,2025-12-20 17:01:19,manual
UTR00000020,U004925,TAG06,0.6909,2025-01-19 19:53:00,rule
UTR00000021,U000822,TAG02,0.6519,2025-03-21 10:04:59,rule
UTR00000022,U002996,TAG05,0.9048,2025-08-10 16:15:50,rule
UTR00000023,U002803,TAG02,0.9916,2025-12-25 11:21:36,rule
UTR00000024,U000769,TAG15,0.9772,2025-04-16 13:26:18,rule
UTR00000025,U002668,TAG03,0.661,2025-05-02 21:03:30,rule
UTR00000026,U003225,TAG11,0.5752,2025-11-26 22:45:23,rule
UTR00000027,U004604,TAG08,0.6885,2025-06-13 10:53:21,rule
UTR00000028,U003226,TAG16,0.6515,2025-02-04 18:47:30,rule
UTR00000029,U004965,TAG16,0.8694,2026-06-23 17:05:57,rule
UTR00000030,U003581,TAG12,0.6474,2025-01-07 05:44:39,rule
UTR00000031,U003710,TAG13,0.8169,2025-02-24 12:40:46,model
